# PIENU \\(2017)  (HNLimits id: pienu_2017)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.20055840e-03  4.95034524e-04
1.34108335e-03  4.37571338e-04
1.46742798e-03  3.76835869e-04
1.57772884e-03  3.32237540e-04
1.63655597e-03  2.92429123e-04
1.69048084e-03  2.60848860e-04
1.87921787e-03  2.25814377e-04
1.98216534e-03  1.94517508e-04
2.11599706e-03  1.81089643e-04
2.59985018e-03  1.25534849e-04
2.70279765e-03  1.12845350e-04
2.82780530e-03  1.01586737e-04
2.99877164e-03  8.98633454e-05
3.21753502e-03  7.90300445e-05
3.36051762e-03  6.97059472e-05
3.66020915e-03  5.98000842e-05
3.88669360e-03  4.99714663e-05
4.00250950e-03  5.24951236e-05
4.80035242e-03  3.58632662e-05
5.04852936e-03  3.19286384e-05
5.31508979e-03  2.87161481e-05
5.60248481e-03  2.57068739e-05
6.00283610e-03  2.28511525e-05
6.46038042e-03  2.00963762e-05
6.82069658e-03  1.80386128e-05
7.19245134e-03  1.62073187e-05
8.50997103e-03  1.14910719e-05
8.98259352e-03  1.03168422e-05
9.44585715e-03  9.36307988e-06
9.96059451e-03  8.42154328e-06
1.04753319e-02  7.62127027e-06
1.09900692e-02  6.90308832e-06
1.15562803e-02  6.26446046e-06
1.20195440e-02  5.80108307e-06
1.38505383e-02  4.38313323e-06
1.44982024e-02  3.93823836e-06
1.52709683e-02  3.58676406e-06
1.60276323e-02  3.22938299e-06
1.68659942e-02  2.92789180e-06
1.78051920e-02  2.65097285e-06
2.01682324e-02  2.09191604e-06
2.11965759e-02  1.86947956e-06
2.23142913e-02  1.71894776e-06
2.33718426e-02  1.56604106e-06
2.39357140e-02  1.45991918e-06
2.47335569e-02  1.39991560e-06
2.69469276e-02  1.17200384e-06
2.80793498e-02  1.08661896e-06
2.91946141e-02  9.97741846e-07
2.98980885e-02  9.48044758e-07
3.08589316e-02  9.03337050e-07
3.17854588e-02  8.54170290e-07
3.31237760e-02  7.72807729e-07
3.42561982e-02  7.33243344e-07
3.53886204e-02  6.82535760e-07
3.65210426e-02  6.39394881e-07
3.76534648e-02  6.05695311e-07
3.83226234e-02  5.94230337e-07
4.04330466e-02  5.20655780e-07
4.15654688e-02  4.95576379e-07
4.26978910e-02  4.71329579e-07
4.38303132e-02  4.43652862e-07
4.49627354e-02  4.23629724e-07
4.56318940e-02  4.13136411e-07
4.78452646e-02  3.71769634e-07
4.89776868e-02  3.54425887e-07
5.01101090e-02  3.39239172e-07
5.12425312e-02  3.27038459e-07
5.23749534e-02  3.14273982e-07
5.30955858e-02  3.07181648e-07
5.53604302e-02  2.78448969e-07
5.64928524e-02  2.68648397e-07
5.76252746e-02  2.59605871e-07
5.87576968e-02  2.48482078e-07
5.98901190e-02  2.38213981e-07
6.08096789e-02  2.32213363e-07
6.19730107e-02  2.87108974e-08
6.19730107e-02  2.24973855e-07
6.25779432e-02  2.75964247e-08
6.31363425e-02  2.67360757e-08
6.36482085e-02  3.10766834e-08
6.42066077e-02  2.87108974e-08
6.47458081e-02  2.32549977e-08
6.52262297e-02  1.72405109e-08
6.58095987e-02  1.46829117e-08
6.63243361e-02  1.32760071e-08
6.65302310e-02  1.14393509e-08
6.67361259e-02  9.77082869e-09
6.68905472e-02  8.79599035e-09
6.74052845e-02  7.91378955e-09
6.79200219e-02  7.00460515e-09
6.84347593e-02  6.14221962e-09
6.89494966e-02  5.35152433e-09
6.94127603e-02  4.68855265e-09
6.99789714e-02  4.14869171e-09
7.04937087e-02  3.76763130e-09
7.09569723e-02  3.43809417e-09
7.17103607e-02  3.08216313e-09
7.23673527e-02  3.78085439e-09
7.28100269e-02  4.29849978e-09
7.32732905e-02  5.04356780e-09
7.38703858e-02  5.86874343e-09
7.42770284e-02  6.94352129e-09
7.45601339e-02  8.02313170e-09
7.47969131e-02  8.92012550e-09
7.50233975e-02  1.02082392e-08
7.52292925e-02  1.11287479e-08
7.54866612e-02  1.28189344e-08
7.56582403e-02  1.42604280e-08
7.58469773e-02  1.62389108e-08
7.64646622e-02  1.86818165e-08
7.74426632e-02  1.86001805e-08
7.80088743e-02  1.67200096e-08
7.85750854e-02  1.48406502e-08
7.92442439e-02  1.28414097e-08
7.97589813e-02  1.12999348e-08
8.01192975e-02  1.00749989e-08
8.08914035e-02  8.64324788e-09
8.20238257e-02  8.22691240e-09
8.31562479e-02  7.70078166e-09
8.42457753e-02  6.80802314e-09
8.54210923e-02  6.75806399e-09
8.65535145e-02  6.46848924e-09
8.76859367e-02  6.82838191e-09
8.88183589e-02  7.24858778e-09
8.99507811e-02  7.85561172e-09
9.07743609e-02  8.49315779e-09
9.15324287e-02  9.62412039e-09
9.26274154e-02  1.03473604e-08
9.37598376e-02  1.05050936e-08
9.48922599e-02  1.13125385e-08
9.56423057e-02  1.25334461e-08
9.63849982e-02  1.39464715e-08
9.73629992e-02  1.52125018e-08
9.82380527e-02  1.40537669e-08
9.87601435e-02  1.25491384e-08
9.95248961e-02  1.13486265e-08
1.00657318e-01  1.17813831e-08
1.01789741e-01  1.20278301e-08
1.02690531e-01  1.09611830e-08
1.03642795e-01  1.04633532e-08
1.04686977e-01  9.81985442e-09
1.05032586e-01  9.43443393e-09
1.05804692e-01  1.04984040e-08
1.06216482e-01  1.17054088e-08
1.06473851e-01  1.27071465e-08
1.06662588e-01  1.44701280e-08
1.07065799e-01  1.61325857e-08
1.07400378e-01  1.74940331e-08
1.07657747e-01  1.99793909e-08
1.07760694e-01  2.20644432e-08
1.08100421e-01  2.56968934e-08
1.08996064e-01  2.86952234e-08
1.10077012e-01  2.65433056e-08
1.10849118e-01  2.36141928e-08
1.11784224e-01  2.20483443e-08
1.12908068e-01  1.99423052e-08
1.13823156e-01  2.00183165e-08
1.14194911e-01  2.20644432e-08
1.14503753e-01  2.46173654e-08
1.15121438e-01  2.83008492e-08
1.15805304e-01  2.90565291e-08
1.16717124e-01  2.68173543e-08
1.17849546e-01  2.61843436e-08
1.18966130e-01  2.35863665e-08
1.19964649e-01  2.57911875e-08
1.20474707e-01  2.88211664e-08
1.20732076e-01  3.34778868e-08
1.21085038e-01  3.86977051e-08
1.21349760e-01  4.58878807e-08
1.21658603e-01  5.19288730e-08
1.22018919e-01  6.15897773e-08
1.22996920e-01  6.71099222e-08
1.24077868e-01  6.71099222e-08
1.24695553e-01  7.45475526e-08
1.25099990e-01  8.21901114e-08
1.25416186e-01  8.88200775e-08
1.25570607e-01  9.95317615e-08
1.25827976e-01  1.12763122e-07
1.26232412e-01  1.28153664e-07
1.26703029e-01  1.39325620e-07
1.26960398e-01  1.53551527e-07
1.27435100e-01  1.77081415e-07
1.27989872e-01  1.99478132e-07
1.28864926e-01  2.21074241e-07
1.29842927e-01  2.42771375e-07
1.30820928e-01  2.52470843e-07
1.31453320e-01  2.27592208e-07
1.32004824e-01  2.03047742e-07
1.32982825e-01  1.86256989e-07
1.33806405e-01  1.98029510e-07
1.33960826e-01  2.13255351e-07
1.34149563e-01  2.46413267e-07
1.34527037e-01  2.75526679e-07
1.34629984e-01  3.36280827e-07
1.34712342e-01  3.84706767e-07
1.35000595e-01  4.50243707e-07
1.35144722e-01  4.85808824e-07
1.35247669e-01  5.43444457e-07
