# $\pi$ universality \\(Bryman-Shrock)  (HNLimits id: pienu_lowmass)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
3.96721307e-04  2.34047180e-03
4.38104259e-04  1.91448859e-03
4.73193079e-04  1.64147991e-03
5.11093911e-04  1.39606943e-03
5.52026850e-04  1.20670509e-03
5.96240974e-04  1.03045318e-03
6.43996391e-04  8.79944701e-04
6.95573342e-04  7.60588064e-04
7.51285923e-04  6.46875875e-04
8.11458214e-04  5.54630491e-04
8.76446995e-04  4.79399821e-04
9.46655180e-04  3.98876581e-04
1.11716690e-03  3.03451941e-04
1.39152531e-03  1.90455970e-04
1.50298325e-03  1.61328230e-04
1.62335814e-03  1.38882916e-04
1.75337393e-03  1.19560379e-04
1.89381201e-03  1.01685430e-04
2.04548530e-03  8.78927100e-05
2.20930952e-03  7.56643511e-05
2.38627007e-03  6.40924821e-05
2.57738796e-03  5.51754073e-05
2.78380808e-03  4.76913563e-05
3.00678952e-03  4.02346088e-05
3.24759993e-03  3.47771436e-05
3.50769657e-03  3.00599348e-05
3.78865490e-03  2.54626625e-05
4.09209069e-03  2.19200868e-05
4.41982166e-03  1.89468229e-05
4.77384684e-03  1.59844061e-05
5.15617890e-03  1.38162643e-05
5.56913150e-03  1.19422115e-05
6.01520596e-03  1.01158070e-05
6.49696765e-03  8.70841250e-06
7.01730252e-03  7.52719415e-06
7.57935977e-03  6.40183633e-06
8.18640886e-03  5.48892572e-06
8.84204919e-03  4.74440199e-06
9.55019902e-03  4.10086625e-06
1.03151477e-02  3.47369260e-06
1.11412945e-02  2.99040383e-06
1.20335883e-02  2.58478227e-06
1.29973661e-02  2.22516604e-06
1.40384248e-02  1.88485611e-06
1.51627219e-02  1.63579169e-06
1.63771140e-02  1.40820685e-06
2.01911907e-02  9.66301419e-07
2.50188139e-02  6.24046766e-07
2.70224548e-02  5.43779212e-07
2.91865579e-02  4.73836013e-07
3.15241280e-02  4.07912038e-07
3.40485831e-02  3.59781638e-07
3.67752567e-02  3.16050002e-07
3.97201580e-02  2.79887781e-07
4.29009519e-02  2.46863233e-07
4.63364641e-02  2.17735320e-07
5.00475893e-02  1.87366427e-07
5.83825894e-02  1.55876566e-07
6.55316404e-02  1.41700027e-07
7.07785563e-02  1.28827900e-07
7.64429639e-02  1.27502581e-07
8.25600895e-02  1.28507518e-07
8.91660672e-02  1.31898121e-07
9.62977958e-02  1.45596431e-07
1.03993218e-01  1.88701548e-07
1.12303175e-01  2.46888545e-07
1.19750920e-01  3.65315263e-07
1.21242890e-01  6.51926630e-07
1.22776181e-01  1.25487420e-06
1.24328256e-01  2.44494261e-06
1.25899952e-01  4.76362042e-06
1.27492138e-01  9.16935145e-06
1.29103830e-01  1.78651677e-05
1.30735896e-01  3.48077199e-05
1.32389240e-01  6.70003461e-05
1.34064475e-01  1.26642071e-04
1.35763559e-01  2.28039947e-04
1.37476011e-01  4.75911050e-04
1.38724895e-01  7.86695569e-04
