# T2K  (HNLimits id: t2k)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.40100000e-01  4.60467989e-07
1.50000000e-01  2.35384058e-07
1.60000000e-01  1.17619725e-07
1.70000000e-01  6.90907666e-08
1.80000000e-01  4.34977485e-08
1.90000000e-01  3.00754748e-08
2.00000000e-01  2.17544538e-08
2.10000000e-01  1.60911871e-08
2.20000000e-01  1.27849704e-08
2.30000000e-01  1.11313329e-08
2.40000000e-01  8.11729347e-09
2.50000000e-01  6.60254587e-09
2.60000000e-01  5.49054200e-09
2.70000000e-01  4.74360305e-09
2.80000000e-01  4.02621799e-09
2.90000000e-01  3.42960381e-09
3.00000000e-01  3.00621097e-09
3.10000000e-01  2.71062712e-09
3.20000000e-01  2.43125730e-09
3.30000000e-01  1.97021793e-09
3.40000000e-01  1.84018283e-09
3.50000000e-01  1.63264928e-09
3.60000000e-01  1.38744534e-09
3.70000000e-01  1.23747346e-09
3.80000000e-01  1.20640065e-09
3.90000000e-01  1.05824444e-09
4.00000000e-01  9.98330631e-10
4.10000000e-01  9.61834353e-10
4.20000000e-01  9.11575548e-10
4.30000000e-01  8.99170590e-10
4.40000000e-01  8.91822501e-10
4.50000000e-01  9.68684127e-10
4.60000000e-01  9.83061767e-10
4.70000000e-01  1.14163523e-09
4.80000000e-01  1.42947875e-09
4.90000000e-01  2.48656579e-09
