# TRIUMF  (HNLimits id: triumf)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
4.90645008e-02  1.22645993e-07
4.99434010e-02  1.32945506e-07
5.19864839e-02  1.61249368e-07
5.40266991e-02  1.67998562e-07
5.55537285e-02  1.46745202e-07
5.65697356e-02  1.20524467e-07
5.74150833e-02  9.53532819e-08
5.80908282e-02  7.68541236e-08
5.87668749e-02  6.29430585e-08
5.96121220e-02  4.95326871e-08
6.06278272e-02  4.00363113e-08
6.18140661e-02  3.33711854e-08
6.35106229e-02  2.84984731e-08
6.52109028e-02  2.96467842e-08
6.62338782e-02  3.52288268e-08
6.69182265e-02  4.48002212e-08
6.76585724e-02  5.50323101e-08
6.82864702e-02  7.07327275e-08
6.91407735e-02  8.99577548e-08
7.06740416e-02  1.09373594e-07
7.20312166e-02  9.60397419e-08
7.27066596e-02  7.61786681e-08
7.33814989e-02  5.85217749e-08
7.47366614e-02  4.61879195e-08
7.62682189e-02  5.12889519e-08
7.78024933e-02  6.57750967e-08
7.98429097e-02  6.92630799e-08
8.18812633e-02  6.53817172e-08
8.32363252e-02  5.13275878e-08
8.39120700e-02  4.13697012e-08
8.50962461e-02  3.09110800e-08
8.58744427e-02  2.84128738e-08
8.70265037e-02  3.84518459e-08
8.75984542e-02  5.13005990e-08
8.81703041e-02  6.80787072e-08
8.86853011e-02  8.93830829e-08
8.98109743e-02  1.18160260e-07
9.09407460e-02  1.20175805e-07
9.15776561e-02  1.05603647e-07
9.25931601e-02  8.44516865e-08
9.36238960e-02  7.01343339e-08
9.52751128e-02  7.19349286e-08
9.75283292e-02  5.32085416e-08
9.87065103e-02  6.48774015e-08
1.00317188e-01  8.42383912e-08
1.01963929e-01  6.81551554e-08
1.03096170e-01  7.90102078e-08
1.04321768e-01  9.30007166e-08
1.06358713e-01  8.14725868e-08
1.07886900e-01  7.56672964e-08
1.08732902e-01  6.19762235e-08
1.09408043e-01  4.83791642e-08
1.10294858e-01  4.08764652e-08
1.11165065e-01  4.40180088e-08
1.12036660e-01  5.10222175e-08
1.13169518e-01  6.11158061e-08
1.13862875e-01  5.58759542e-08
1.14504430e-01  4.30156578e-08
1.15861001e-01  3.65819450e-08
1.17222654e-01  4.07271652e-08
1.17907304e-01  5.26278100e-08
1.18761708e-01  6.72898995e-08
1.19104536e-01  7.85592512e-08
1.20554624e-01  6.18415025e-08
1.21253073e-01  7.40596501e-08
1.22212785e-01  9.16533951e-08
1.23425117e-01  7.41386398e-08
1.24645320e-01  9.10153491e-08
1.25859196e-01  7.98978336e-08
1.26998021e-01  1.17804685e-07
1.28293479e-01  1.44179782e-07
1.29487868e-01  1.85118013e-07
1.30917012e-01  2.15502934e-07
1.31260218e-01  1.71419096e-07
