# ATLAS \\(2024)  (HNLimits id: atlas_2024)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
4.95106e+01  4.11569e-01
5.90855e+01  3.56467e-01
6.73215e+01  3.18464e-01
8.48598e+01  2.61445e-01
1.00000e+02  2.26442e-01
1.32026e+02  1.92837e-01
1.93651e+02  1.53911e-01
2.48245e+02  1.32930e-01
4.02827e+02  1.16767e-01
4.99292e+02  1.13522e-01
7.57429e+02  1.17758e-01
9.03908e+02  1.24587e-01
1.00000e+03  1.24587e-01
1.26052e+03  1.39061e-01
1.50429e+03  1.43440e-01
1.75043e+03  1.61465e-01
1.99442e+03  1.72278e-01
2.48245e+03  2.02301e-01
2.97503e+03  2.24536e-01
3.64119e+03  2.64409e-01
4.62858e+03  3.20264e-01
5.93347e+03  3.96763e-01
7.32347e+03  4.77875e-01
9.19257e+03  6.02118e-01
1.08784e+04  7.17083e-01
1.38283e+04  9.08624e-01
1.53628e+04  9.97186e-01
