# BEBC\\(Barouki et al)  (HNLimits id: bebc_barouki)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.49434e-01  9.89919e-01
1.49434e-01  1.56621e-04
1.50388e-01  9.62811e-05
1.69374e-01  4.76708e-05
1.97639e-01  1.81040e-05
2.40384e-01  8.81675e-06
2.77579e-01  4.78448e-06
3.14775e-01  3.16422e-06
3.51970e-01  2.19986e-06
3.89166e-01  1.58907e-06
4.26361e-01  1.16259e-06
4.63557e-01  8.95098e-07
5.00752e-01  7.19082e-07
5.37948e-01  5.58360e-07
5.75143e-01  4.46184e-07
6.12339e-01  3.62275e-07
6.49534e-01  2.95085e-07
6.86730e-01  2.42925e-07
7.23925e-01  2.05588e-07
7.61121e-01  1.79819e-07
7.98316e-01  1.61515e-07
8.35512e-01  1.38445e-07
8.72707e-01  1.19430e-07
9.09903e-01  1.05240e-07
9.47098e-01  9.54362e-08
9.84293e-01  8.53579e-08
1.02149e+00  7.75709e-08
1.05868e+00  7.10207e-08
1.09588e+00  6.49545e-08
1.13308e+00  6.08767e-08
1.17027e+00  5.58548e-08
1.20747e+00  5.16299e-08
1.24466e+00  5.03294e-08
1.28186e+00  4.65719e-08
1.31905e+00  4.42085e-08
1.35625e+00  4.30950e-08
1.39344e+00  4.11259e-08
1.43064e+00  4.05616e-08
1.46783e+00  4.09514e-08
1.50503e+00  4.24584e-08
1.54223e+00  4.25940e-08
1.57942e+00  4.25940e-08
1.61662e+00  4.47284e-08
1.65381e+00  4.85947e-08
1.69101e+00  5.10297e-08
1.72820e+00  5.60927e-08
1.76540e+00  6.56486e-08
1.80259e+00  8.12849e-08
1.83979e+00  1.01829e-07
1.89918e+00  1.52573e-07
1.91357e+00  2.14391e-07
1.93379e+00  5.65648e-07
1.94010e+00  1.16962e-06
1.93785e+00  2.84415e-06

# top
1.49434e-01  9.89919e-01
1.93785e+00  2.84415e-06
1.93362e+00  6.20110e-06
1.93176e+00  1.86938e-05
1.93048e+00  6.71778e-05
1.92840e+00  9.32409e-05
1.89953e+00  1.38662e-04
1.82626e+00  2.10912e-04
1.78907e+00  2.55111e-04
1.75187e+00  3.05636e-04
1.71468e+00  3.62680e-04
1.67748e+00  4.29001e-04
1.64029e+00  5.02619e-04
1.60309e+00  5.78940e-04
1.56590e+00  6.81178e-04
1.52870e+00  7.91312e-04
1.49150e+00  9.15354e-04
1.45431e+00  1.08620e-03
1.41711e+00  1.26585e-03
1.37992e+00  1.54584e-03
1.34272e+00  1.93243e-03
1.30553e+00  2.25923e-03
1.26833e+00  2.77365e-03
1.23114e+00  3.36204e-03
1.19394e+00  3.98107e-03
1.15675e+00  4.82561e-03
1.11955e+00  5.76903e-03
1.08235e+00  6.90424e-03
1.04516e+00  8.41348e-03
1.00796e+00  1.04507e-02
9.70768e-01  1.30503e-02
9.33572e-01  1.62794e-02
8.93479e-01  2.09653e-02
8.59181e-01  2.64603e-02
8.21986e-01  3.38962e-02
7.84790e-01  4.40258e-02
7.47595e-01  5.86601e-02
7.10400e-01  7.94995e-02
6.73204e-01  1.06377e-01
6.36009e-01  1.40985e-01
5.98813e-01  1.93524e-01
5.61618e-01  2.76296e-01
5.24422e-01  4.14238e-01
4.70579e-01  7.41042e-01
4.47257e-01  9.92683e-01
