# Belle  (HNLimits id: belle)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
4.99798e-01  9.89434e-01
5.01215e-01  5.18053e-02
5.01215e-01  1.09860e-02
5.01215e-01  2.32974e-03
5.02552e-01  3.20024e-04
5.41643e-01  2.64678e-04
5.72297e-01  2.44972e-04
6.04687e-01  2.08055e-04
6.38909e-01  1.85098e-04
6.75068e-01  1.65242e-04
7.13274e-01  1.47262e-04
7.53641e-01  1.32144e-04
7.96294e-01  1.18578e-04
8.41360e-01  1.06222e-04
8.88977e-01  9.58103e-05
9.39289e-01  8.62706e-05
9.92448e-01  7.80825e-05
1.04862e+00  7.07931e-05
1.10796e+00  6.42947e-05
1.17067e+00  5.83928e-05
1.23692e+00  5.34906e-05
1.30693e+00  4.91687e-05
1.38089e+00  4.52737e-05
1.45904e+00  4.19029e-05
1.54162e+00  3.91179e-05
1.62887e+00  3.69602e-05
1.72105e+00  3.48615e-05
1.81846e+00  3.34522e-05
1.98081e+00  3.30998e-05
2.00450e+00  2.73485e-05
2.14501e+00  2.69730e-05
2.26640e+00  2.76401e-05
2.39467e+00  2.91533e-05
2.53020e+00  3.25266e-05
2.67339e+00  3.84511e-05
2.82469e+00  5.07142e-05
2.98456e+00  8.01225e-05
3.16952e+00  1.61812e-04
3.28075e+00  3.61687e-04

# top
3.28075e+00  3.61687e-04
3.23103e+00  8.00274e-04
3.04491e+00  2.20882e-03
2.88181e+00  4.31894e-03
2.72745e+00  7.68290e-03
2.58136e+00  1.32050e-02
2.44309e+00  2.12973e-02
2.31223e+00  3.38795e-02
2.18838e+00  5.18053e-02
2.08170e+00  7.47079e-02
1.96022e+00  1.11918e-01
1.85523e+00  1.62531e-01
1.75585e+00  2.34013e-01
1.66180e+00  3.35199e-01
1.57279e+00  4.75209e-01
1.46604e+00  7.44988e-01
1.40881e+00  9.81155e-01
4.99798e-01  9.89434e-01
