# Borexino  (HNLimits id: borexino)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.45156e+01  7.71488e-05
1.44918e+01  6.76833e-05
1.44330e+01  5.85326e-05
1.43623e+01  4.84347e-05
1.42916e+01  4.02517e-05
1.42209e+01  3.35233e-05
1.41503e+01  2.77400e-05
1.40796e+01  2.31030e-05
1.39856e+01  1.91830e-05
1.38683e+01  1.67073e-05
1.37510e+01  1.45323e-05
1.36337e+01  1.27222e-05
1.34930e+01  1.09139e-05
1.33289e+01  9.50340e-06
1.31649e+01  8.29811e-06
1.29892e+01  7.20234e-06
1.27901e+01  6.30912e-06
1.25676e+01  5.46630e-06
1.23218e+01  4.88677e-06
1.20643e+01  4.43790e-06
1.18070e+01  4.10906e-06
1.15496e+01  3.84950e-06
1.12924e+01  3.71589e-06
1.10351e+01  3.61863e-06
1.07779e+01  3.57808e-06
1.05208e+01  3.54839e-06
1.02636e+01  3.56257e-06
1.00065e+01  3.61055e-06
9.74941e+00  3.70672e-06
9.49234e+00  3.81216e-06
9.23526e+00  3.91370e-06
8.97819e+00  4.03211e-06
8.72115e+00  4.20561e-06
8.46412e+00  4.38658e-06
8.20707e+00  4.55658e-06
7.95004e+00  4.75265e-06
7.69303e+00  5.00979e-06
7.43606e+00  5.32753e-06
7.17911e+00  5.73231e-06
6.92216e+00  6.16060e-06
6.66522e+00  6.64034e-06
6.40828e+00  7.15745e-06
6.15135e+00  7.73295e-06
5.89447e+00  8.50310e-06
5.63764e+00  9.50484e-06
5.38082e+00  1.06809e-05
5.12402e+00  1.20872e-05
4.86725e+00  1.38158e-05
4.61050e+00  1.59126e-05
4.37714e+00  1.83624e-05
4.16714e+00  2.10863e-05
3.98051e+00  2.41700e-05
3.81731e+00  2.81396e-05
3.66576e+00  3.24758e-05
3.51422e+00  3.73765e-05
3.35100e+00  4.33550e-05
3.18778e+00  5.01972e-05
3.03623e+00  5.77278e-05
2.89640e+00  6.71065e-05
2.76825e+00  7.78417e-05
2.65174e+00  8.86776e-05
2.53524e+00  1.01676e-04
2.41881e+00  1.19166e-04
2.30239e+00  1.40026e-04
2.18597e+00  1.64538e-04
2.08120e+00  1.90862e-04
1.99978e+00  2.19975e-04
1.93008e+00  2.55172e-04
1.86039e+00  2.97277e-04
1.79069e+00  3.45585e-04
1.72099e+00  4.00880e-04
1.65129e+00  4.66024e-04
1.58160e+00  5.42921e-04
1.51194e+00  6.39118e-04
1.46572e+00  7.71769e-04
1.41951e+00  9.30617e-04
1.37331e+00  1.12579e-03
1.32712e+00  1.37218e-03
1.28089e+00  1.64484e-03
1.24247e+00  1.98660e-03
1.21978e+00  2.51704e-03
1.22413e+00  2.94511e-03
1.19749e+00  3.65991e-03
1.20184e+00  4.28235e-03
1.17519e+00  5.32171e-03
1.17954e+00  6.22677e-03
1.15293e+00  7.83860e-03
1.15728e+00  9.17171e-03
1.14617e+00  1.12033e-02
1.13106e+00  1.31934e-02
1.13542e+00  1.54705e-02
1.13583e+00  1.78310e-02
1.13624e+00  2.05516e-02
1.13665e+00  2.36873e-02
1.12549e+00  2.83793e-02
1.12590e+00  3.27094e-02
1.11469e+00  3.86860e-02
1.11510e+00  4.45886e-02
1.11551e+00  5.13918e-02
1.11593e+00  5.92331e-02
1.11634e+00  6.82708e-02
1.10513e+00  8.07450e-02

# top
1.09393e+00  9.54984e-02
6.66949e+00  9.37344e-02
6.82103e+00  8.11318e-02
6.96090e+00  7.07758e-02
7.11244e+00  6.13448e-02
7.27565e+00  5.27395e-02
7.43885e+00  4.52995e-02
7.61374e+00  3.88017e-02
7.80031e+00  3.32362e-02
7.98689e+00  2.84690e-02
8.17346e+00  2.43856e-02
8.36004e+00  2.09047e-02
8.54663e+00  1.80222e-02
8.73325e+00  1.56378e-02
8.91987e+00  1.36127e-02
9.10649e+00  1.18690e-02
9.29312e+00  1.03403e-02
9.47974e+00  9.00847e-03
9.67805e+00  7.84121e-03
9.88803e+00  6.78923e-03
1.00980e+01  5.88682e-03
1.03080e+01  5.10436e-03
1.05180e+01  4.42590e-03
1.07280e+01  3.83486e-03
1.09380e+01  3.32276e-03
1.11480e+01  2.89353e-03
1.13580e+01  2.53061e-03
1.15797e+01  2.19615e-03
1.18014e+01  1.91356e-03
1.20114e+01  1.67596e-03
1.22213e+01  1.44799e-03
1.24196e+01  1.25563e-03
1.26179e+01  1.08707e-03
1.28279e+01  9.33165e-04
1.30145e+01  8.11364e-04
1.31777e+01  7.00770e-04
1.33409e+01  6.01912e-04
1.34925e+01  5.21225e-04
1.36323e+01  4.49829e-04
1.37722e+01  3.86545e-04
1.39120e+01  3.32164e-04
1.40284e+01  2.86816e-04
1.41097e+01  2.35952e-04
1.41793e+01  1.94420e-04
1.42489e+01  1.61236e-04
1.43185e+01  1.33716e-04
1.43880e+01  1.10180e-04
1.44576e+01  9.07863e-05
1.45156e+01  7.71488e-05
