# CHARM  (HNLimits id: charm)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.60528e-01  2.85732e-05
1.79918e-01  2.08003e-05
1.96847e-01  1.53851e-05
2.15236e-01  1.18750e-05
2.35340e-01  9.35693e-06
2.57327e-01  6.97785e-06
2.81373e-01  5.02765e-06
3.07661e-01  3.73644e-06
3.37652e-01  2.91881e-06
3.67831e-01  2.15070e-06
4.02184e-01  1.73597e-06
4.39748e-01  1.38682e-06
4.82350e-01  1.13375e-06
5.25720e-01  9.19209e-07
5.74812e-01  7.67928e-07
6.28487e-01  6.43756e-07
6.87174e-01  5.37809e-07
7.54469e-01  4.40022e-07
8.21504e-01  3.74579e-07
8.98216e-01  3.12502e-07
9.82068e-01  2.77562e-07
1.05630e+00  2.58841e-07
1.13350e+00  2.39892e-07
1.21643e+00  1.88376e-07
1.29836e+00  1.50177e-07
1.36248e+00  1.20659e-07
1.48711e+00  1.09300e-07
1.63964e+00  1.07562e-07
1.78055e+00  1.19756e-07
1.94642e+00  1.69017e-07
2.01974e+00  2.72774e-07
2.04672e+00  5.38051e-07
2.04702e+00  3.69187e-07
