# CMS \\(2022)  (HNLimits id: cms_2022)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.11498e+00  1.99455e-02
1.11498e+00  1.10163e-03
2.09944e+00  9.23078e-05
3.10379e+00  2.60328e-05
4.13797e+00  1.19122e-05
4.31077e+00  1.99455e-02
5.07272e+00  6.37332e-06
5.15083e+00  5.76183e-03
6.09695e+00  2.93811e-06
6.60646e+00  1.36930e-03
7.11125e+00  1.54873e-06
7.77242e+00  4.67970e-04
8.97458e+00  1.60803e-04
9.15973e+00  9.12826e-07
9.88707e+00  7.98923e-05
1.00547e+01  8.34804e-07
1.11883e+01  8.34804e-07
1.15020e+01  2.34577e-05
1.21330e+01  8.99334e-07
1.30880e+01  6.66711e-06
1.30976e+01  1.09958e-06

# top
1.11498e+00  1.99455e-02
1.11498e+00  1.10163e-03
2.09944e+00  9.23078e-05
3.10379e+00  2.60328e-05
4.13797e+00  1.19122e-05
4.31077e+00  1.99455e-02
5.07272e+00  6.37332e-06
5.15083e+00  5.76183e-03
6.09695e+00  2.93811e-06
6.60646e+00  1.36930e-03
7.11125e+00  1.54873e-06
7.77242e+00  4.67970e-04
8.97458e+00  1.60803e-04
9.15973e+00  9.12826e-07
9.88707e+00  7.98923e-05
1.00547e+01  8.34804e-07
1.11883e+01  8.34804e-07
1.15020e+01  2.34577e-05
1.21330e+01  8.99334e-07
1.30880e+01  6.66711e-06
1.30976e+01  1.09958e-06
