# CMS \\(2024-I)  (HNLimits id: cms_2024_1)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
9.98630e-01  4.72073e-04
9.98630e-01  8.13628e-05
1.38356e+00  4.38231e-05
1.78904e+00  2.25887e-05
1.98904e+00  1.63276e-05
1.99863e+00  4.72073e-04
2.12192e+00  2.97053e-04
2.17260e+00  1.31061e-05
2.22055e+00  2.07578e-04
2.33151e+00  1.08087e-05
2.33151e+00  1.36951e-04
2.44247e+00  9.03539e-05
2.49589e+00  8.79427e-06
2.56164e+00  5.76297e-05
2.59452e+00  8.58857e-06
2.64384e+00  4.15153e-05
2.69863e+00  9.60238e-06
2.80411e+00  1.38815e-05
2.84932e+00  1.86291e-05

# top
9.98630e-01  4.72073e-04
9.98630e-01  8.13628e-05
1.38356e+00  4.38231e-05
1.78904e+00  2.25887e-05
1.98904e+00  1.63276e-05
1.99863e+00  4.72073e-04
2.12192e+00  2.97053e-04
2.17260e+00  1.31061e-05
2.22055e+00  2.07578e-04
2.33151e+00  1.08087e-05
2.33151e+00  1.36951e-04
2.44247e+00  9.03539e-05
2.49589e+00  8.79427e-06
2.56164e+00  5.76297e-05
2.59452e+00  8.58857e-06
2.64384e+00  4.15153e-05
2.69863e+00  9.60238e-06
2.80411e+00  1.38815e-05
2.84932e+00  1.86291e-05
