# CMS \\(2024-II)  (HNLimits id: cms_2024_2)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.00437e+01  2.35881e-05
1.06448e+01  1.92599e-05
1.19732e+01  1.32750e-05
1.34674e+01  9.83075e-06
1.51481e+01  7.72106e-06
1.70385e+01  6.11272e-06
1.91648e+01  5.10783e-06
2.15564e+01  4.68858e-06
2.42465e+01  4.55425e-06
2.72724e+01  4.49320e-06
2.96509e+01  4.46115e-06
3.04377e+01  4.16799e-06
3.45040e+01  4.62676e-06
3.91066e+01  4.90914e-06
4.35819e+01  5.67791e-06
4.87699e+01  7.42760e-06
5.39205e+01  1.04340e-05
6.01377e+01  1.51639e-05
6.24693e+01  3.08766e-05
6.53316e+01  5.05555e-05
6.77972e+01  8.42359e-05
7.48055e+01  3.17574e-04
7.48056e+01  1.00000e+00
8.60195e+01  1.00000e+00
8.60195e+01  1.13593e-03
9.97820e+01  8.80338e-04
1.24119e+02  2.27999e-03
1.26858e+02  1.99018e-03
1.46332e+02  2.50037e-03
1.64593e+02  3.01812e-03
1.85133e+02  3.61888e-03
2.08237e+02  4.65228e-03
2.47380e+02  7.49098e-03
2.51737e+02  1.55554e-02
2.97995e+02  2.22722e-02
3.35183e+02  2.94319e-02
3.96373e+02  4.61537e-02
4.05119e+02  3.63819e-02
4.82406e+02  5.19837e-02
6.03459e+02  8.02312e-02
6.78767e+02  1.09889e-01
7.63474e+02  1.54546e-01
8.58751e+02  2.20305e-01
9.65918e+02  3.24822e-01
1.11045e+03  5.15439e-01
1.22204e+03  7.52119e-01
1.35147e+03  1.18522e+00
1.48769e+03  1.87527e+00
