# Cosmology  (HNLimits id: cosmo)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
9.74591e-01  3.88674e-11
9.74591e-04  3.88674e-11

# top
3.45903e-04  8.50000e-01
3.45903e-03  8.40915e-01
3.70060e-03  7.44434e-01
3.96095e-03  6.25159e-01
4.23568e-03  4.95636e-01
4.53157e-03  4.03841e-01
4.84813e-03  3.28106e-01
5.18680e-03  2.66957e-01
5.54914e-03  2.17203e-01
5.93678e-03  1.76723e-01
6.35151e-03  1.43787e-01
6.79520e-03  1.16989e-01
7.26990e-03  9.51854e-02
7.77775e-03  7.74455e-02
8.32108e-03  6.30119e-02
8.90236e-03  5.12682e-02
9.52425e-03  4.17133e-02
1.01895e-02  3.45266e-02
1.09013e-02  2.91145e-02
1.16627e-02  2.47623e-02
1.24773e-02  2.09405e-02
1.33488e-02  1.78102e-02
1.42812e-02  1.50615e-02
1.52787e-02  1.27734e-02
1.63459e-02  1.08329e-02
1.74876e-02  9.18725e-03
1.87091e-02  7.73605e-03
2.00159e-02  6.49547e-03
2.14140e-02  5.45384e-03
2.29098e-02  4.55964e-03
2.45101e-02  3.80660e-03
2.62221e-02  3.19159e-03
2.80537e-02  2.67595e-03
3.00134e-02  2.21175e-03
3.21102e-02  1.75380e-03
3.43535e-02  1.37879e-03
3.67536e-02  1.08397e-03
3.93214e-02  8.53408e-04
4.20686e-02  6.69968e-04
4.50077e-02  5.28219e-04
4.81521e-02  4.15272e-04
5.15164e-02  3.21379e-04
5.51160e-02  2.43785e-04
5.89671e-02  1.84925e-04
6.30873e-02  1.40076e-04
6.74954e-02  1.06104e-04
7.19462e-02  8.07181e-05
8.16473e-02  4.65809e-05
9.02474e-02  2.84795e-05
9.81622e-02  2.05674e-05
1.07729e-01  1.27586e-05
1.18018e-01  8.91406e-06
1.27610e-01  6.48178e-06
1.36900e-01  4.34348e-06
1.39628e-01  3.35357e-06
1.43094e-01  2.16819e-06
1.48158e-01  1.00114e-06
1.57157e-01  4.45643e-07
1.61255e-01  2.90905e-07
1.66617e-01  1.95824e-07
1.72174e-01  1.29383e-07
1.75936e-01  9.09729e-08
1.84638e-01  6.42706e-08
1.91916e-01  4.65003e-08
2.19685e-01  2.20692e-08
2.62894e-01  9.14648e-09
2.94853e-01  5.16106e-09
3.11183e-01  4.00519e-09
3.31337e-01  3.20844e-09
3.54488e-01  2.47947e-09
3.79255e-01  1.91612e-09
4.05753e-01  1.48501e-09
4.34101e-01  1.16082e-09
4.64429e-01  9.19151e-10
4.96877e-01  7.14391e-10
5.31591e-01  5.64050e-10
5.68730e-01  4.44075e-10
6.08466e-01  3.44162e-10
6.50974e-01  2.73294e-10
6.96455e-01  2.14242e-10
7.45115e-01  1.65802e-10
7.95228e-01  1.23044e-10
8.30300e-01  9.16536e-11
8.79509e-01  6.78745e-11
9.35219e-01  4.84586e-11
9.74591e-01  3.88674e-11
