# $^{20}F$ $\beta$-decay  (HNLimits id: f_decay)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
3.69468e-01  6.17595e-03
4.29331e-01  4.86416e-03
4.77684e-01  4.16127e-03
5.34423e-01  3.51083e-03
5.97887e-01  2.98045e-03
6.68815e-01  2.60764e-03
7.48134e-01  2.30184e-03
8.36777e-01  2.08763e-03
1.04221e+00  1.80499e-03
1.17047e+00  1.70285e-03
1.30885e+00  1.64992e-03
1.46969e+00  1.62523e-03
1.69935e+00  1.66404e-03
1.90492e+00  1.72682e-03
2.12960e+00  1.79095e-03
2.38057e+00  1.90252e-03
2.63820e+00  2.02967e-03
