# $K$ universality \\(Bryman-Shrock)  (HNLimits id: kenu)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
3.94200e-01  1.76207e-02
4.37754e-01  1.39908e-02
4.72813e-01  1.20931e-02
5.10681e-01  1.04106e-02
5.51583e-01  8.89000e-03
5.95761e-01  7.62227e-03
6.43476e-01  6.56180e-03
6.95017e-01  5.55826e-03
7.50680e-01  4.80433e-03
8.16027e-01  4.05307e-03
8.81386e-01  3.46108e-03
9.95751e-01  2.64244e-03
1.07550e+00  2.27726e-03
1.35516e+00  1.45523e-03
1.46369e+00  1.26293e-03
1.58092e+00  1.08722e-03
1.71538e+00  9.30019e-04
1.84429e+00  8.10642e-04
1.97927e+00  6.92252e-04
2.20138e+00  5.69070e-04
2.51601e+00  4.32781e-04
3.02333e+00  3.02534e-04
3.51365e+00  2.20591e-04
4.22213e+00  1.54204e-04
4.89408e+00  1.13085e-04
5.28607e+00  9.65681e-05
5.70943e+00  8.31327e-05
6.16670e+00  7.15666e-05
6.66064e+00  6.06215e-05
7.19409e+00  5.23987e-05
7.77028e+00  4.49266e-05
8.39265e+00  3.82098e-05
9.06480e+00  3.30270e-05
9.79081e+00  2.84320e-05
1.05750e+01  2.40837e-05
1.14220e+01  2.08170e-05
1.23368e+01  1.78484e-05
1.33249e+01  1.51800e-05
1.43921e+01  1.31210e-05
1.55448e+01  1.12955e-05
1.67899e+01  9.56797e-06
1.81345e+01  8.27016e-06
1.95869e+01  7.14839e-06
2.11558e+01  6.03071e-06
2.28502e+01  5.21269e-06
2.46802e+01  4.50564e-06
2.66571e+01  3.80116e-06
2.87920e+01  3.28557e-06
3.10979e+01  2.83991e-06
3.35887e+01  2.41533e-06
3.62790e+01  2.07090e-06
3.91845e+01  1.79000e-06
4.23227e+01  1.54720e-06
4.57127e+01  1.31058e-06
4.93738e+01  1.12824e-06
5.33281e+01  9.75204e-07
5.75991e+01  8.42927e-07
6.22122e+01  7.28591e-07
6.71949e+01  6.24693e-07
7.25768e+01  5.33450e-07
7.83895e+01  4.59232e-07
8.46677e+01  3.96941e-07
9.14482e+01  3.47286e-07
9.87718e+01  3.02617e-07
1.19110e+02  2.25232e-07
1.45182e+02  1.61531e-07
1.56808e+02  1.43628e-07
1.69365e+02  1.26170e-07
1.83765e+02  1.15418e-07
2.11296e+02  9.49385e-08
2.30474e+02  8.86759e-08
2.48922e+02  8.47991e-08
2.68848e+02  8.07647e-08
2.90368e+02  7.69222e-08
3.05658e+02  7.78486e-08
3.38999e+02  9.88740e-08
3.66071e+02  1.23569e-07
4.00490e+02  1.47359e-07
4.04867e+02  2.76908e-07
4.16112e+02  7.75869e-07
4.18312e+02  1.58593e-06
4.31472e+02  5.26112e-06
4.36935e+02  9.76515e-06
4.42469e+02  1.79066e-05
4.48071e+02  3.32363e-05
4.53746e+02  6.13168e-05
4.59494e+02  1.11758e-04
4.65311e+02  2.08696e-04
4.71203e+02  3.85017e-04
4.79503e+02  8.34765e-04
4.82079e+02  1.38272e-03
4.90033e+02  3.07430e-03
