# L3 \\(2001)  (HNLimits id: l3)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
8.03370e+01  1.62932e-03
8.12625e+01  1.74861e-03
8.28368e+01  2.05369e-03
8.44112e+01  2.45392e-03
8.57008e+01  2.79836e-03
8.75599e+01  2.55756e-03
8.89918e+01  2.23338e-03
9.07086e+01  2.42427e-03
9.24253e+01  2.07684e-03
9.44267e+01  1.74532e-03
9.60011e+01  1.88673e-03
9.70059e+01  2.11514e-03
9.81532e+01  2.44494e-03
1.00582e+02  2.24893e-03
1.01729e+02  2.50614e-03
1.03303e+02  2.76230e-03
1.04593e+02  2.98930e-03
1.06025e+02  2.74529e-03
1.06700e+02  2.32856e-03
1.07854e+02  1.76353e-03
1.09286e+02  1.77900e-03
1.10433e+02  2.10755e-03
1.11745e+02  2.02739e-03
1.12435e+02  2.32584e-03
1.14009e+02  2.41662e-03
1.15441e+02  2.82527e-03
1.16558e+02  2.55228e-03
1.17390e+02  3.25772e-03
1.18574e+02  4.54118e-03
1.19534e+02  5.50600e-03
1.20824e+02  4.54628e-03
1.22256e+02  4.31187e-03
1.23972e+02  4.71469e-03
1.25547e+02  4.20134e-03
1.26522e+02  4.63826e-03
1.28005e+02  3.57959e-03
1.29580e+02  2.71327e-03
1.31297e+02  3.07588e-03
1.32586e+02  3.32917e-03
1.34160e+02  3.90502e-03
1.35735e+02  4.32481e-03
1.36867e+02  4.68468e-03
1.38569e+02  6.47901e-03
1.39858e+02  5.77403e-03
1.41717e+02  6.34243e-03
1.43292e+02  5.77451e-03
1.44581e+02  4.70747e-03
1.45729e+02  5.80127e-03
1.47130e+02  4.72568e-03
1.48690e+02  4.01492e-03
1.49836e+02  5.02149e-03
1.50452e+02  5.63216e-03
1.51884e+02  5.14105e-03
1.53743e+02  5.67097e-03
1.54575e+02  6.20813e-03
1.55550e+02  5.74808e-03
1.56988e+02  1.00994e-02
1.58375e+02  1.35512e-02
1.59665e+02  1.32038e-02
1.61239e+02  1.34713e-02
1.62956e+02  1.37855e-02
1.64673e+02  1.79570e-02
1.65962e+02  1.62989e-02
1.67064e+02  1.39843e-02
1.68511e+02  1.08718e-02
1.69516e+02  1.25540e-02
1.70618e+02  1.23317e-02
1.71375e+02  1.75960e-02
1.73347e+02  2.39544e-02
1.74494e+02  2.14673e-02
1.76353e+02  3.14690e-02
1.77500e+02  2.99487e-02
1.78647e+02  3.59371e-02
1.80222e+02  3.55472e-02
1.81654e+02  2.88693e-02
1.82943e+02  3.48036e-02
1.86368e+02  2.89414e-02
1.87696e+02  3.62175e-02
1.88822e+02  3.58208e-02
1.89652e+02  4.25620e-02
1.90711e+02  4.39679e-02
1.91530e+02  5.18618e-02
1.93438e+02  4.41366e-02
1.94270e+02  5.08002e-02
1.94773e+02  6.22541e-02
1.95478e+02  8.50327e-02
1.96565e+02  9.20528e-02
1.98536e+02  1.28860e-01
1.99136e+02  1.62140e-01
1.99765e+02  2.10765e-01
2.00425e+02  2.70425e-01
2.01228e+02  2.87954e-01
2.01668e+02  3.60593e-01
2.02109e+02  4.70015e-01
2.02487e+02  6.04655e-01
2.02802e+02  7.40697e-01
2.03402e+02  1.00702e+00
