# LSND \\(Ema et al)  (HNLimits id: lsnd_ema)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.00873e+01  1.56475e-05
1.11672e+01  1.17213e-05
1.23806e+01  8.83054e-06
1.33182e+01  7.20025e-06
1.43109e+01  5.93906e-06
1.53588e+01  4.87489e-06
1.64619e+01  4.05526e-06
1.79878e+01  3.13988e-06
1.99956e+01  2.37982e-06
2.12601e+01  2.03044e-06
2.24836e+01  1.74077e-06
2.36868e+01  1.54316e-06
2.50153e+01  1.31938e-06
2.66250e+01  1.11185e-06
2.77333e+01  1.03298e-06
2.87264e+01  9.35093e-07
3.02095e+01  8.19559e-07
3.18494e+01  7.14740e-07
3.31777e+01  6.62198e-07
3.46617e+01  5.95239e-07
3.69234e+01  5.10185e-07
3.93501e+01  4.42990e-07
4.05635e+01  4.14308e-07
4.17768e+01  3.90658e-07
4.29902e+01  3.68960e-07
4.42035e+01  3.49893e-07
4.54169e+01  3.33168e-07
4.66302e+01  3.18280e-07
4.78436e+01  3.05302e-07
4.90570e+01  2.93570e-07
5.02703e+01  2.82981e-07
5.14837e+01  2.73667e-07
5.26970e+01  2.65741e-07
5.39104e+01  2.57624e-07
5.51237e+01  2.51392e-07
5.63371e+01  2.45110e-07
5.75504e+01  2.40158e-07
5.87638e+01  2.36269e-07
5.99771e+01  2.32823e-07
6.11905e+01  2.31874e-07
6.24038e+01  2.31307e-07
6.36172e+01  2.32443e-07
6.48305e+01  2.36269e-07
6.60439e+01  2.42522e-07
6.72572e+01  2.50163e-07
6.84706e+01  2.58889e-07
6.96840e+01  2.70999e-07
7.08973e+01  2.83212e-07
7.21107e+01  2.97187e-07
7.33240e+01  3.13894e-07
7.45374e+01  3.32082e-07
7.57507e+01  3.56816e-07
7.69641e+01  3.82454e-07
7.81774e+01  4.12283e-07
7.93908e+01  4.47716e-07
8.06041e+01  4.95410e-07
8.18175e+01  5.44171e-07
8.30308e+01  6.02140e-07
8.42442e+01  6.77250e-07
8.54575e+01  7.74269e-07
8.66709e+01  9.01228e-07
8.78842e+01  1.06453e-06
8.90424e+01  1.26763e-06
9.02006e+01  1.54841e-06
9.13037e+01  1.87604e-06
9.21586e+01  2.26169e-06
9.29031e+01  2.78992e-06
9.37304e+01  3.38949e-06
9.45761e+01  4.15520e-06
9.51644e+01  5.10334e-06
9.59365e+01  6.21799e-06
9.67638e+01  7.58462e-06
9.75911e+01  9.17185e-06
9.83081e+01  1.10138e-05
9.89699e+01  1.33194e-05
9.97571e+01  1.62928e-05
1.00389e+02  2.03602e-05
1.00912e+02  2.54637e-05
1.01439e+02  3.20320e-05
1.01838e+02  3.95379e-05
1.02316e+02  5.05369e-05
1.03234e+02  9.85887e-05
