# NA62  (HNLimits id: na62)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.44000e+02  2.20202e-09
1.49000e+02  8.16746e-10
1.53800e+02  1.47054e-09
1.58400e+02  2.51995e-09
1.62800e+02  2.53303e-09
1.67000e+02  2.22901e-09
1.71100e+02  2.23763e-09
1.75100e+02  1.10229e-09
1.78900e+02  1.86608e-09
1.82600e+02  1.47194e-09
1.86200e+02  1.68133e-09
1.89700e+02  1.37793e-09
1.93100e+02  1.59934e-09
1.96400e+02  8.61348e-10
1.99600e+02  6.50406e-10
2.02800e+02  4.34763e-10
2.05900e+02  4.88442e-10
2.08900e+02  5.98187e-10
2.11900e+02  1.34270e-09
2.14800e+02  1.62849e-09
2.17600e+02  1.64648e-09
2.20400e+02  1.00427e-09
2.23100e+02  6.89644e-10
2.25800e+02  6.04740e-10
2.28400e+02  5.57603e-10
2.31000e+02  6.66521e-10
2.33500e+02  6.07256e-10
2.36000e+02  8.21787e-10
2.38500e+02  8.34372e-10
2.40900e+02  1.07100e-09
2.43300e+02  8.04486e-10
2.45600e+02  7.27420e-10
2.47900e+02  4.88723e-10
2.50200e+02  5.25481e-10
2.52400e+02  5.01442e-10
2.54600e+02  1.00625e-09
2.56800e+02  6.67085e-10
2.59000e+02  9.03876e-10
2.61100e+02  1.14141e-09
2.63200e+02  1.09109e-09
2.65300e+02  7.43078e-10
2.67300e+02  4.96511e-10
2.69300e+02  4.91887e-10
2.71300e+02  5.75625e-10
2.73300e+02  5.97210e-10
2.75200e+02  1.00093e-09
2.77100e+02  8.38399e-10
2.79000e+02  7.81794e-10
2.80900e+02  8.29846e-10
2.82800e+02  5.50289e-10
2.84600e+02  9.51274e-10
2.86400e+02  5.37579e-10
2.88200e+02  8.25639e-10
2.90000e+02  6.56649e-10
2.91800e+02  7.79103e-10
2.93500e+02  6.98302e-10
2.95200e+02  5.70922e-10
2.96900e+02  7.96653e-10
2.98600e+02  6.20834e-10
3.00300e+02  5.53550e-10
3.02000e+02  7.82739e-10
3.03600e+02  9.39260e-10
3.05200e+02  1.02555e-09
3.06800e+02  6.04831e-10
3.08400e+02  4.81319e-10
3.10000e+02  5.30981e-10
3.11600e+02  9.24362e-10
3.13100e+02  1.03811e-09
3.14600e+02  6.93267e-10
3.16100e+02  5.41730e-10
3.17600e+02  5.25111e-10
3.19100e+02  7.00348e-10
3.20600e+02  8.51864e-10
3.22100e+02  1.29672e-09
3.23500e+02  1.18471e-09
3.24900e+02  9.21145e-10
3.26300e+02  4.75840e-10
3.27700e+02  5.02891e-10
3.29100e+02  4.31363e-10
3.30500e+02  4.71631e-10
3.31900e+02  7.45604e-10
3.33300e+02  1.06157e-09
3.34600e+02  7.64944e-10
3.35900e+02  7.55183e-10
3.37200e+02  7.90994e-10
3.38500e+02  7.27588e-10
