# PIENU \\(2017)  (HNLimits id: pienu_2017)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.20056e+00  4.95035e-04
1.34108e+00  4.37571e-04
1.46743e+00  3.76836e-04
1.57773e+00  3.32238e-04
1.63656e+00  2.92429e-04
1.69048e+00  2.60849e-04
1.87922e+00  2.25814e-04
1.98217e+00  1.94518e-04
2.11600e+00  1.81090e-04
2.59985e+00  1.25535e-04
2.70280e+00  1.12845e-04
2.82781e+00  1.01587e-04
2.99877e+00  8.98633e-05
3.21754e+00  7.90300e-05
3.36052e+00  6.97059e-05
3.66021e+00  5.98001e-05
3.88669e+00  4.99715e-05
4.00251e+00  5.24951e-05
4.80035e+00  3.58633e-05
5.04853e+00  3.19286e-05
5.31509e+00  2.87161e-05
5.60248e+00  2.57069e-05
6.00284e+00  2.28512e-05
6.46038e+00  2.00964e-05
6.82070e+00  1.80386e-05
7.19245e+00  1.62073e-05
8.50997e+00  1.14911e-05
8.98259e+00  1.03168e-05
9.44586e+00  9.36308e-06
9.96059e+00  8.42154e-06
1.04753e+01  7.62127e-06
1.09901e+01  6.90309e-06
1.15563e+01  6.26446e-06
1.20195e+01  5.80108e-06
1.38505e+01  4.38313e-06
1.44982e+01  3.93824e-06
1.52710e+01  3.58676e-06
1.60276e+01  3.22938e-06
1.68660e+01  2.92789e-06
1.78052e+01  2.65097e-06
2.01682e+01  2.09192e-06
2.11966e+01  1.86948e-06
2.23143e+01  1.71895e-06
2.33718e+01  1.56604e-06
2.39357e+01  1.45992e-06
2.47336e+01  1.39992e-06
2.69469e+01  1.17200e-06
2.80793e+01  1.08662e-06
2.91946e+01  9.97742e-07
2.98981e+01  9.48045e-07
3.08589e+01  9.03337e-07
3.17855e+01  8.54170e-07
3.31238e+01  7.72808e-07
3.42562e+01  7.33243e-07
3.53886e+01  6.82536e-07
3.65210e+01  6.39395e-07
3.76535e+01  6.05695e-07
3.83226e+01  5.94230e-07
4.04330e+01  5.20656e-07
4.15655e+01  4.95576e-07
4.26979e+01  4.71330e-07
4.38303e+01  4.43653e-07
4.49627e+01  4.23630e-07
4.56319e+01  4.13136e-07
4.78453e+01  3.71770e-07
4.89777e+01  3.54426e-07
5.01101e+01  3.39239e-07
5.12425e+01  3.27038e-07
5.23750e+01  3.14274e-07
5.30956e+01  3.07182e-07
5.53604e+01  2.78449e-07
5.64929e+01  2.68648e-07
5.76253e+01  2.59606e-07
5.87577e+01  2.48482e-07
5.98901e+01  2.38214e-07
6.08097e+01  2.32213e-07
6.19730e+01  2.87109e-08
6.19730e+01  2.24974e-07
6.25779e+01  2.75964e-08
6.31363e+01  2.67361e-08
6.36482e+01  3.10767e-08
6.42066e+01  2.87109e-08
6.47458e+01  2.32550e-08
6.52262e+01  1.72405e-08
6.58096e+01  1.46829e-08
6.63243e+01  1.32760e-08
6.65302e+01  1.14394e-08
6.67361e+01  9.77083e-09
6.68905e+01  8.79599e-09
6.74053e+01  7.91379e-09
6.79200e+01  7.00461e-09
6.84348e+01  6.14222e-09
6.89495e+01  5.35152e-09
6.94128e+01  4.68855e-09
6.99790e+01  4.14869e-09
7.04937e+01  3.76763e-09
7.09570e+01  3.43809e-09
7.17104e+01  3.08216e-09
7.23674e+01  3.78085e-09
7.28100e+01  4.29850e-09
7.32733e+01  5.04357e-09
7.38704e+01  5.86874e-09
7.42770e+01  6.94352e-09
7.45601e+01  8.02313e-09
7.47969e+01  8.92013e-09
7.50234e+01  1.02082e-08
7.52293e+01  1.11287e-08
7.54867e+01  1.28189e-08
7.56582e+01  1.42604e-08
7.58470e+01  1.62389e-08
7.64647e+01  1.86818e-08
7.74427e+01  1.86002e-08
7.80089e+01  1.67200e-08
7.85751e+01  1.48407e-08
7.92442e+01  1.28414e-08
7.97590e+01  1.12999e-08
8.01193e+01  1.00750e-08
8.08914e+01  8.64325e-09
8.20238e+01  8.22691e-09
8.31562e+01  7.70078e-09
8.42458e+01  6.80802e-09
8.54211e+01  6.75806e-09
8.65535e+01  6.46849e-09
8.76859e+01  6.82838e-09
8.88184e+01  7.24859e-09
8.99508e+01  7.85561e-09
9.07744e+01  8.49316e-09
9.15324e+01  9.62412e-09
9.26274e+01  1.03474e-08
9.37598e+01  1.05051e-08
9.48923e+01  1.13125e-08
9.56423e+01  1.25334e-08
9.63850e+01  1.39465e-08
9.73630e+01  1.52125e-08
9.82381e+01  1.40538e-08
9.87601e+01  1.25491e-08
9.95249e+01  1.13486e-08
1.00657e+02  1.17814e-08
1.01790e+02  1.20278e-08
1.02691e+02  1.09612e-08
1.03643e+02  1.04634e-08
