# $\pi$ universality \\(Bryman-Shrock)  (HNLimits id: pienu_lowmass)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
3.96721e-01  2.34047e-03
4.38104e-01  1.91449e-03
4.73193e-01  1.64148e-03
5.11094e-01  1.39607e-03
5.52027e-01  1.20671e-03
5.96241e-01  1.03045e-03
6.43996e-01  8.79945e-04
6.95573e-01  7.60588e-04
7.51286e-01  6.46876e-04
8.11458e-01  5.54630e-04
8.76447e-01  4.79400e-04
9.46655e-01  3.98877e-04
1.11717e+00  3.03452e-04
1.39153e+00  1.90456e-04
1.50298e+00  1.61328e-04
1.62336e+00  1.38883e-04
1.75337e+00  1.19560e-04
1.89381e+00  1.01685e-04
2.04549e+00  8.78927e-05
2.20931e+00  7.56644e-05
2.38627e+00  6.40925e-05
2.57739e+00  5.51754e-05
2.78381e+00  4.76914e-05
3.00679e+00  4.02346e-05
3.24760e+00  3.47771e-05
3.50770e+00  3.00599e-05
3.78865e+00  2.54627e-05
4.09209e+00  2.19201e-05
4.41982e+00  1.89468e-05
4.77385e+00  1.59844e-05
5.15618e+00  1.38163e-05
5.56913e+00  1.19422e-05
6.01521e+00  1.01158e-05
6.49697e+00  8.70841e-06
7.01730e+00  7.52719e-06
7.57936e+00  6.40184e-06
8.18641e+00  5.48893e-06
8.84205e+00  4.74440e-06
9.55020e+00  4.10087e-06
1.03151e+01  3.47369e-06
1.11413e+01  2.99040e-06
1.20336e+01  2.58478e-06
1.29974e+01  2.22517e-06
1.40384e+01  1.88486e-06
1.51627e+01  1.63579e-06
1.63771e+01  1.40821e-06
2.01912e+01  9.66301e-07
2.50188e+01  6.24047e-07
2.70225e+01  5.43779e-07
2.91866e+01  4.73836e-07
3.15241e+01  4.07912e-07
3.40486e+01  3.59782e-07
3.67753e+01  3.16050e-07
3.97202e+01  2.79888e-07
4.29010e+01  2.46863e-07
4.63365e+01  2.17735e-07
5.00476e+01  1.87366e-07
5.83826e+01  1.55877e-07
6.55316e+01  1.41700e-07
7.07786e+01  1.28828e-07
7.64430e+01  1.27503e-07
8.25601e+01  1.28508e-07
8.91661e+01  1.31898e-07
9.62978e+01  1.45596e-07
1.03993e+02  1.88702e-07
1.12303e+02  2.46889e-07
1.19751e+02  3.65315e-07
1.21243e+02  6.51927e-07
1.22776e+02  1.25487e-06
1.24328e+02  2.44494e-06
1.25900e+02  4.76362e-06
1.27492e+02  9.16935e-06
1.29104e+02  1.78652e-05
1.30736e+02  3.48077e-05
1.32389e+02  6.70003e-05
1.34064e+02  1.26642e-04
1.35764e+02  2.28040e-04
1.37476e+02  4.75911e-04
1.38725e+02  7.86696e-04
