# T2K  (HNLimits id: t2k)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.40100e+02  4.60468e-07
1.50000e+02  2.35384e-07
1.60000e+02  1.17620e-07
1.70000e+02  6.90908e-08
1.80000e+02  4.34977e-08
1.90000e+02  3.00755e-08
2.00000e+02  2.17545e-08
2.10000e+02  1.60912e-08
2.20000e+02  1.27850e-08
2.30000e+02  1.11313e-08
2.40000e+02  8.11729e-09
2.50000e+02  6.60255e-09
2.60000e+02  5.49054e-09
2.70000e+02  4.74360e-09
2.80000e+02  4.02622e-09
2.90000e+02  3.42960e-09
3.00000e+02  3.00621e-09
3.10000e+02  2.71063e-09
3.20000e+02  2.43126e-09
3.30000e+02  1.97022e-09
3.40000e+02  1.84018e-09
3.50000e+02  1.63265e-09
3.60000e+02  1.38745e-09
3.70000e+02  1.23747e-09
3.80000e+02  1.20640e-09
3.90000e+02  1.05824e-09
4.00000e+02  9.98331e-10
4.10000e+02  9.61834e-10
4.20000e+02  9.11576e-10
4.30000e+02  8.99171e-10
4.40000e+02  8.91823e-10
4.50000e+02  9.68684e-10
4.60000e+02  9.83062e-10
4.70000e+02  1.14164e-09
4.80000e+02  1.42948e-09
4.90000e+02  2.48657e-09
