# TRIUMF  (HNLimits id: triumf)
# Source: mhostert/Heavy-Neutrino-Limits sheet Ue4
# Flavor: Ue
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
4.90645e+01  1.22646e-07
4.99434e+01  1.32946e-07
5.19865e+01  1.61249e-07
5.40267e+01  1.67999e-07
5.55537e+01  1.46745e-07
5.65697e+01  1.20524e-07
5.74151e+01  9.53533e-08
5.80908e+01  7.68541e-08
5.87669e+01  6.29431e-08
5.96121e+01  4.95327e-08
6.06278e+01  4.00363e-08
6.18141e+01  3.33712e-08
6.35106e+01  2.84985e-08
6.52109e+01  2.96468e-08
6.62339e+01  3.52288e-08
6.69182e+01  4.48002e-08
6.76586e+01  5.50323e-08
6.82865e+01  7.07327e-08
6.91408e+01  8.99578e-08
7.06740e+01  1.09374e-07
7.20312e+01  9.60397e-08
7.27067e+01  7.61787e-08
7.33815e+01  5.85218e-08
7.47367e+01  4.61879e-08
7.62682e+01  5.12890e-08
7.78025e+01  6.57751e-08
7.98429e+01  6.92631e-08
8.18813e+01  6.53817e-08
8.32363e+01  5.13276e-08
8.39121e+01  4.13697e-08
8.50962e+01  3.09111e-08
8.58744e+01  2.84129e-08
8.70265e+01  3.84518e-08
8.75985e+01  5.13006e-08
8.81703e+01  6.80787e-08
8.86853e+01  8.93831e-08
8.98110e+01  1.18160e-07
9.09407e+01  1.20176e-07
9.15777e+01  1.05604e-07
9.25932e+01  8.44517e-08
9.36239e+01  7.01343e-08
9.52751e+01  7.19349e-08
9.75283e+01  5.32085e-08
9.87065e+01  6.48774e-08
1.00317e+02  8.42384e-08
1.01964e+02  6.81552e-08
1.03096e+02  7.90102e-08
1.04322e+02  9.30007e-08
1.06359e+02  8.14726e-08
1.07887e+02  7.56673e-08
1.08733e+02  6.19762e-08
1.09408e+02  4.83792e-08
1.10295e+02  4.08765e-08
1.11165e+02  4.40180e-08
1.12037e+02  5.10222e-08
1.13170e+02  6.11158e-08
1.13863e+02  5.58760e-08
1.14504e+02  4.30157e-08
1.15861e+02  3.65819e-08
1.17223e+02  4.07272e-08
1.17907e+02  5.26278e-08
1.18762e+02  6.72899e-08
1.19105e+02  7.85593e-08
1.20555e+02  6.18415e-08
1.21253e+02  7.40597e-08
1.22213e+02  9.16534e-08
1.23425e+02  7.41386e-08
1.24645e+02  9.10153e-08
1.25859e+02  7.98978e-08
1.26998e+02  1.17805e-07
1.28293e+02  1.44180e-07
1.29488e+02  1.85118e-07
1.30917e+02  2.15503e-07
1.31260e+02  1.71419e-07
