# ATLAS \\(2022)  (HNLimits id: atlas_2022)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.28519e+01  4.94757e-07
1.28511e+01  4.93962e-07
1.28400e+01  4.83821e-07
1.28333e+01  4.78527e-07
1.28274e+01  4.73888e-07
1.28148e+01  4.65208e-07
1.28133e+01  4.64159e-07
1.27975e+01  4.54630e-07
1.27963e+01  4.53969e-07
1.27801e+01  4.45296e-07
1.27778e+01  4.44192e-07
1.27608e+01  4.36154e-07
1.27593e+01  4.35467e-07
1.27407e+01  4.27598e-07
1.27398e+01  4.27199e-07
1.27222e+01  4.20478e-07
1.27168e+01  4.18429e-07
1.27037e+01  4.13908e-07
1.26917e+01  4.09838e-07
1.26852e+01  4.07780e-07
1.26667e+01  4.02057e-07
1.26646e+01  4.01424e-07
1.26481e+01  3.96783e-07
1.26352e+01  3.93183e-07
1.26296e+01  3.91748e-07
1.26111e+01  3.87032e-07
1.26035e+01  3.85111e-07
1.25926e+01  3.82569e-07
1.25741e+01  3.78296e-07
1.25693e+01  3.77204e-07
1.25556e+01  3.74282e-07
1.25370e+01  3.70393e-07
1.25326e+01  3.69460e-07
1.25185e+01  3.66735e-07
1.25000e+01  3.63180e-07
1.24930e+01  3.61875e-07
1.24815e+01  3.59867e-07
1.24630e+01  3.56801e-07
1.24480e+01  3.54446e-07
1.24444e+01  3.53930e-07
1.24259e+01  3.51347e-07
1.24074e+01  3.48908e-07
1.23934e+01  3.47169e-07
1.23889e+01  3.46641e-07
1.23704e+01  3.44603e-07
1.23519e+01  3.42689e-07
1.23333e+01  3.40895e-07
1.23239e+01  3.40041e-07
1.23148e+01  3.39265e-07
1.22963e+01  3.37790e-07
1.22778e+01  3.36418e-07
1.22593e+01  3.35145e-07
1.22407e+01  3.33969e-07
1.22252e+01  3.33060e-07
1.22222e+01  3.32896e-07
1.22037e+01  3.31960e-07
1.21852e+01  3.31106e-07
1.21667e+01  3.30331e-07
1.21481e+01  3.29633e-07
1.21296e+01  3.29009e-07
1.21111e+01  3.28456e-07
1.20926e+01  3.27971e-07
1.20741e+01  3.27553e-07
1.20556e+01  3.27198e-07
1.20370e+01  3.26904e-07
1.20185e+01  3.26668e-07
1.20000e+01  3.26488e-07
1.19815e+01  3.26362e-07
1.19630e+01  3.26288e-07
1.19444e+01  3.26262e-07
1.19259e+01  3.26283e-07
1.19074e+01  3.26349e-07
1.18889e+01  3.26458e-07
1.18704e+01  3.26607e-07
1.18519e+01  3.26794e-07
1.18333e+01  3.27018e-07
1.18148e+01  3.27276e-07
1.17963e+01  3.27567e-07
1.17778e+01  3.27888e-07
1.17593e+01  3.28237e-07
1.17407e+01  3.28609e-07
1.17222e+01  3.29000e-07
1.17037e+01  3.29410e-07
1.16852e+01  3.29838e-07
1.16667e+01  3.30285e-07
1.16481e+01  3.30748e-07
1.16296e+01  3.31229e-07
1.16111e+01  3.31726e-07
1.15926e+01  3.32238e-07
1.15741e+01  3.32766e-07
1.15556e+01  3.33323e-07
1.15370e+01  3.33912e-07
1.15185e+01  3.34516e-07
1.15000e+01  3.35134e-07
1.14815e+01  3.35765e-07
1.14630e+01  3.36410e-07
1.14444e+01  3.37067e-07
1.14259e+01  3.37737e-07
1.14074e+01  3.38419e-07
1.13889e+01  3.39112e-07
1.13704e+01  3.39817e-07
1.13519e+01  3.40560e-07
1.13333e+01  3.41327e-07
1.13148e+01  3.42104e-07
1.12963e+01  3.42891e-07
1.12778e+01  3.43688e-07
1.12593e+01  3.44495e-07
1.12407e+01  3.45311e-07
1.12222e+01  3.46135e-07
1.12037e+01  3.46968e-07
1.11852e+01  3.47845e-07
1.11667e+01  3.48741e-07
1.11481e+01  3.49645e-07
1.11296e+01  3.50556e-07
1.11111e+01  3.51475e-07
1.10926e+01  3.52400e-07
1.10741e+01  3.53332e-07
1.10556e+01  3.54271e-07
1.10521e+01  3.54446e-07
1.10370e+01  3.55257e-07
1.10185e+01  3.56260e-07
1.10000e+01  3.57267e-07
1.09815e+01  3.58281e-07
1.09630e+01  3.59299e-07
1.09444e+01  3.60323e-07
1.09259e+01  3.61351e-07
1.09074e+01  3.62411e-07
1.08889e+01  3.63504e-07
1.08704e+01  3.64600e-07
1.08519e+01  3.65701e-07
1.08333e+01  3.66805e-07
1.08148e+01  3.67913e-07
1.07963e+01  3.69023e-07
1.07778e+01  3.70174e-07
1.07593e+01  3.71351e-07
1.07407e+01  3.72532e-07
1.07222e+01  3.73714e-07
1.07037e+01  3.74898e-07
1.06852e+01  3.76085e-07
1.06667e+01  3.77278e-07
1.06481e+01  3.78544e-07
1.06296e+01  3.79812e-07
1.06111e+01  3.81082e-07
1.05926e+01  3.82353e-07
1.05741e+01  3.83625e-07
1.05556e+01  3.84898e-07
1.05370e+01  3.86243e-07
1.05185e+01  3.87603e-07
1.05000e+01  3.88964e-07
1.04815e+01  3.90326e-07
1.04630e+01  3.91688e-07
1.04444e+01  3.93051e-07
1.04259e+01  3.94496e-07
1.04074e+01  3.95951e-07
1.03889e+01  3.97406e-07
1.03704e+01  3.98862e-07
1.03519e+01  4.00317e-07
1.03378e+01  4.01424e-07
1.03333e+01  4.01795e-07
1.03148e+01  4.03349e-07
1.02963e+01  4.04902e-07
1.02778e+01  4.06454e-07
1.02593e+01  4.08007e-07
1.02407e+01  4.09559e-07
1.02222e+01  4.11189e-07
1.02037e+01  4.12808e-07
1.01852e+01  4.14369e-07
1.01667e+01  4.15866e-07
1.01481e+01  4.17302e-07
1.01296e+01  4.18690e-07
1.01111e+01  4.20071e-07
1.00926e+01  4.21398e-07
1.00741e+01  4.22692e-07
1.00556e+01  4.23982e-07
1.00370e+01  4.25269e-07
1.00185e+01  4.26553e-07
1.00000e+01  4.27865e-07
9.98148e+00  4.29268e-07
9.96296e+00  4.30785e-07
9.94444e+00  4.32410e-07
9.92593e+00  4.34136e-07
9.90741e+00  4.35958e-07
9.88889e+00  4.37955e-07
9.87037e+00  4.39987e-07
9.85185e+00  4.42022e-07
9.83333e+00  4.44059e-07
9.81481e+00  4.46130e-07
9.79630e+00  4.48254e-07
9.77778e+00  4.50378e-07
9.75926e+00  4.52501e-07
9.74074e+00  4.54626e-07
9.72222e+00  4.56838e-07
9.70370e+00  4.59049e-07
9.68519e+00  4.61259e-07
9.66667e+00  4.63470e-07
9.64815e+00  4.65741e-07
9.62963e+00  4.68038e-07
9.61111e+00  4.70337e-07
9.59259e+00  4.72636e-07
9.57407e+00  4.74975e-07
9.55556e+00  4.77383e-07
9.53704e+00  4.79791e-07
9.51852e+00  4.82199e-07
9.50000e+00  4.84648e-07
9.48148e+00  4.87180e-07
9.46296e+00  4.89711e-07
9.44444e+00  4.92243e-07
9.42593e+00  4.94814e-07
9.40741e+00  4.97471e-07
9.38889e+00  5.00126e-07
9.37037e+00  5.02779e-07
9.35967e+00  5.04316e-07
9.35185e+00  5.05486e-07
9.33333e+00  5.08268e-07
9.31481e+00  5.11046e-07
9.29630e+00  5.13821e-07
9.28920e+00  5.14887e-07
9.27778e+00  5.16677e-07
9.25926e+00  5.19582e-07
9.24074e+00  5.22482e-07
9.22222e+00  5.25377e-07
9.22030e+00  5.25679e-07
9.20370e+00  5.28395e-07
9.18519e+00  5.31423e-07
9.16667e+00  5.34443e-07
9.15284e+00  5.36698e-07
9.14815e+00  5.37495e-07
9.12963e+00  5.40651e-07
9.11111e+00  5.43799e-07
9.09259e+00  5.46938e-07
9.08665e+00  5.47947e-07
9.07407e+00  5.50174e-07
9.05556e+00  5.53451e-07
9.03704e+00  5.56718e-07
9.02162e+00  5.59433e-07
9.01852e+00  5.60001e-07
9.00000e+00  5.63408e-07
8.98148e+00  5.66804e-07
8.96296e+00  5.70187e-07
8.95765e+00  5.71159e-07
8.94444e+00  5.73677e-07
8.92593e+00  5.77202e-07
8.90741e+00  5.80714e-07
8.89464e+00  5.83131e-07
8.88889e+00  5.84265e-07
8.87037e+00  5.87921e-07
8.85185e+00  5.91562e-07
8.83333e+00  5.95186e-07
8.83248e+00  5.95353e-07
8.81481e+00  5.98966e-07
8.79630e+00  6.02737e-07
8.77778e+00  6.06490e-07
8.77116e+00  6.07832e-07
8.75926e+00  6.10345e-07
8.74074e+00  6.14246e-07
8.72222e+00  6.18129e-07
8.71054e+00  6.20573e-07
8.70370e+00  6.22062e-07
8.68519e+00  6.26096e-07
8.66667e+00  6.30108e-07
8.65057e+00  6.33580e-07
8.64815e+00  6.34124e-07
8.62963e+00  6.38290e-07
8.61111e+00  6.42433e-07
8.59259e+00  6.46552e-07
8.59121e+00  6.46861e-07
8.57407e+00  6.50836e-07
8.55556e+00  6.55110e-07
8.53704e+00  6.59358e-07
8.53241e+00  6.60419e-07
8.51852e+00  6.63737e-07
8.50000e+00  6.68142e-07
8.48148e+00  6.72519e-07
8.47410e+00  6.74262e-07
8.46296e+00  6.76999e-07
8.44444e+00  6.81535e-07
8.42593e+00  6.86042e-07
8.41624e+00  6.88395e-07
8.40741e+00  6.90625e-07
8.38889e+00  6.95293e-07
8.37037e+00  6.99929e-07
8.35877e+00  7.02824e-07
8.35185e+00  7.04619e-07
8.33333e+00  7.09419e-07
8.31481e+00  7.14185e-07
8.30166e+00  7.17556e-07
8.29630e+00  7.18985e-07
8.27778e+00  7.23917e-07
8.25926e+00  7.28813e-07
8.24487e+00  7.32597e-07
8.24074e+00  7.33727e-07
8.22222e+00  7.38790e-07
8.20370e+00  7.43815e-07
8.18837e+00  7.47952e-07
8.18519e+00  7.48845e-07
8.16667e+00  7.54040e-07
8.14815e+00  7.59195e-07
8.13211e+00  7.63630e-07
8.12963e+00  7.64343e-07
8.11111e+00  7.69669e-07
8.09259e+00  7.74953e-07
8.07607e+00  7.79636e-07
8.07407e+00  7.80223e-07
8.05556e+00  7.85680e-07
8.03704e+00  7.91092e-07
8.02020e+00  7.95978e-07
8.01852e+00  7.96485e-07
8.00000e+00  8.02072e-07
7.98148e+00  8.07614e-07
7.96448e+00  8.12662e-07
7.96296e+00  8.13130e-07
7.94444e+00  8.18845e-07
7.92593e+00  8.24503e-07
7.90877e+00  8.29696e-07
7.90741e+00  8.30125e-07
7.88889e+00  8.35940e-07
7.87037e+00  8.41696e-07
7.85285e+00  8.47087e-07
7.85185e+00  8.47405e-07
7.83333e+00  8.53315e-07
7.81481e+00  8.59161e-07
7.79662e+00  8.64842e-07
7.79630e+00  8.64948e-07
7.77778e+00  8.70945e-07
7.75926e+00  8.76875e-07
7.74074e+00  8.82738e-07
7.74000e+00  8.82970e-07
7.72222e+00  8.88805e-07
