# BEBC  (HNLimits id: bebc)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
2.72029e-01  9.76354e-05
2.77253e-01  6.80178e-05
2.96789e-01  1.01637e-04
3.16784e-01  2.76076e-05
3.49586e-01  1.01637e-04
3.53561e-01  1.54052e-05
3.82873e-01  1.02277e-04
2.99115e-01  3.76527e-05
3.94574e-01  9.26083e-06
4.42857e-01  1.01637e-04
4.44372e-01  5.51214e-06
4.76284e-01  1.01637e-04
5.05021e-01  3.32185e-06
5.61012e-01  1.01637e-04
5.84515e-01  1.91441e-06
6.08872e-01  1.01637e-04
6.61230e-01  1.22453e-06
7.10692e-01  1.01637e-04
7.54853e-01  7.79381e-07
7.71320e-01  1.01637e-04
8.47641e-01  5.54954e-07
9.15399e-01  4.17341e-07
9.00298e-01  1.02500e-04
9.82483e-01  3.46385e-07
1.03698e+00  1.01704e-04
1.21292e+00  1.86220e-07
1.18281e+00  9.86316e-05
1.28765e+00  9.67135e-05
1.35845e+00  1.37317e-07
1.41887e+00  9.52837e-05
1.45462e+00  1.19692e-07
1.56777e+00  8.40270e-05
1.59510e+00  1.09883e-07
1.70267e+00  6.66449e-05
1.72192e+00  1.16308e-07
1.93174e+00  3.29430e-05
1.87711e+00  4.29830e-05
1.81805e+00  1.44386e-07
1.89396e+00  2.79563e-07
1.96575e+00  2.45035e-05
1.92747e+00  4.87855e-07
1.96020e+00  1.55022e-06
1.96159e+00  8.46443e-07
2.01006e+00  9.88101e-06
1.99331e+00  5.29749e-06
1.98049e+00  2.81284e-06

# top
2.72029e-01  9.76354e-05
2.77253e-01  6.80178e-05
2.96789e-01  1.01637e-04
3.16784e-01  2.76076e-05
3.49586e-01  1.01637e-04
3.53561e-01  1.54052e-05
3.82873e-01  1.02277e-04
2.99115e-01  3.76527e-05
3.94574e-01  9.26083e-06
4.42857e-01  1.01637e-04
4.44372e-01  5.51214e-06
4.76284e-01  1.01637e-04
5.05021e-01  3.32185e-06
5.61012e-01  1.01637e-04
5.84515e-01  1.91441e-06
6.08872e-01  1.01637e-04
6.61230e-01  1.22453e-06
7.10692e-01  1.01637e-04
7.54853e-01  7.79381e-07
7.71320e-01  1.01637e-04
8.47641e-01  5.54954e-07
9.15399e-01  4.17341e-07
9.00298e-01  1.02500e-04
9.82483e-01  3.46385e-07
1.03698e+00  1.01704e-04
1.21292e+00  1.86220e-07
1.18281e+00  9.86316e-05
1.28765e+00  9.67135e-05
1.35845e+00  1.37317e-07
1.41887e+00  9.52837e-05
1.45462e+00  1.19692e-07
1.56777e+00  8.40270e-05
1.59510e+00  1.09883e-07
1.70267e+00  6.66449e-05
1.72192e+00  1.16308e-07
1.93174e+00  3.29430e-05
1.87711e+00  4.29830e-05
1.81805e+00  1.44386e-07
1.89396e+00  2.79563e-07
1.96575e+00  2.45035e-05
1.92747e+00  4.87855e-07
1.96020e+00  1.55022e-06
1.96159e+00  8.46443e-07
2.01006e+00  9.88101e-06
1.99331e+00  5.29749e-06
1.98049e+00  2.81284e-06
