# CHARM-II  (HNLimits id: charmii)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
2.55778e-01  3.65296e-03
2.69182e-01  3.08037e-03
2.85669e-01  2.62822e-03
3.07071e-01  2.10861e-03
3.24389e-01  1.79843e-03
3.42698e-01  1.54562e-03
3.62026e-01  1.31876e-03
3.82462e-01  1.13410e-03
4.04006e-01  9.56763e-04
4.28385e-01  8.17429e-04
4.52550e-01  6.98782e-04
4.79876e-01  6.00736e-04
5.14515e-01  5.08641e-04
5.51666e-01  4.32164e-04
5.87046e-01  3.59632e-04
6.22512e-01  3.10830e-04
6.60059e-01  2.64386e-04
6.99890e-01  2.25883e-04
7.42150e-01  1.94193e-04
7.86875e-01  1.63787e-04
8.34317e-01  1.38758e-04
8.84686e-01  1.19079e-04
9.38124e-01  1.02737e-04
9.98400e-01  8.71743e-05
1.01923e+00  4.03399e-02
1.04128e+00  3.44986e-02
1.06378e+00  2.93333e-02
1.09072e+00  2.45800e-02
1.12245e+00  2.04025e-02
1.13929e+00  6.30674e-05
1.15468e+00  1.74372e-02
1.18894e+00  1.45658e-02
1.21705e+00  5.37917e-05
1.22352e+00  1.20688e-02
1.25922e+00  1.01793e-02
1.29961e+00  8.45391e-03
1.30019e+00  4.63539e-05
1.33356e+00  7.02370e-03
1.36243e+00  6.01566e-03
1.38667e+00  5.09913e-03
1.38900e+00  3.98815e-05
1.42115e+00  4.33321e-03
1.44717e+00  3.65808e-03
1.49496e+00  3.43780e-05
1.50074e+00  2.82902e-03
1.55247e+00  2.14858e-03
1.59263e+00  1.79966e-03
1.62130e+00  3.05032e-05
1.62181e+00  1.52236e-03
1.66220e+00  1.30187e-03
1.69281e+00  1.11886e-03
1.73480e+00  9.41552e-04
1.75886e+00  2.85758e-05
1.76669e+00  8.03829e-04
1.80455e+00  6.63763e-04
1.84353e+00  5.64070e-04
1.87886e+00  4.58097e-04
1.90869e+00  2.82462e-05
1.92341e+00  3.84824e-04
1.97090e+00  3.17837e-04
2.00679e+00  2.63722e-04
2.04349e+00  2.21685e-04
2.05899e+00  3.12730e-05
2.07091e+00  1.86066e-04
2.09226e+00  1.59150e-04
2.13468e+00  1.29811e-04
2.16134e+00  3.71366e-05
2.17772e+00  1.03880e-04
2.18745e+00  4.29969e-05
2.19115e+00  8.31797e-05
2.20992e+00  6.95345e-05
2.21012e+00  5.12352e-05
2.21645e+00  6.09145e-05
1.06650e+00  7.38259e-05
9.94562e-01  4.79892e-02
9.71284e-01  5.72552e-02
9.18186e-01  8.29145e-02
2.40371e-01  8.11203e-02
2.36425e-01  4.64438e-03

# top
2.55778e-01  3.65296e-03
2.69182e-01  3.08037e-03
2.85669e-01  2.62822e-03
3.07071e-01  2.10861e-03
3.24389e-01  1.79843e-03
3.42698e-01  1.54562e-03
3.62026e-01  1.31876e-03
3.82462e-01  1.13410e-03
4.04006e-01  9.56763e-04
4.28385e-01  8.17429e-04
4.52550e-01  6.98782e-04
4.79876e-01  6.00736e-04
5.14515e-01  5.08641e-04
5.51666e-01  4.32164e-04
5.87046e-01  3.59632e-04
6.22512e-01  3.10830e-04
6.60059e-01  2.64386e-04
6.99890e-01  2.25883e-04
7.42150e-01  1.94193e-04
7.86875e-01  1.63787e-04
8.34317e-01  1.38758e-04
8.84686e-01  1.19079e-04
9.38124e-01  1.02737e-04
9.98400e-01  8.71743e-05
1.01923e+00  4.03399e-02
1.04128e+00  3.44986e-02
1.06378e+00  2.93333e-02
1.09072e+00  2.45800e-02
1.12245e+00  2.04025e-02
1.13929e+00  6.30674e-05
1.15468e+00  1.74372e-02
1.18894e+00  1.45658e-02
1.21705e+00  5.37917e-05
1.22352e+00  1.20688e-02
1.25922e+00  1.01793e-02
1.29961e+00  8.45391e-03
1.30019e+00  4.63539e-05
1.33356e+00  7.02370e-03
1.36243e+00  6.01566e-03
1.38667e+00  5.09913e-03
1.38900e+00  3.98815e-05
1.42115e+00  4.33321e-03
1.44717e+00  3.65808e-03
1.49496e+00  3.43780e-05
1.50074e+00  2.82902e-03
1.55247e+00  2.14858e-03
1.59263e+00  1.79966e-03
1.62130e+00  3.05032e-05
1.62181e+00  1.52236e-03
1.66220e+00  1.30187e-03
1.69281e+00  1.11886e-03
1.73480e+00  9.41552e-04
1.75886e+00  2.85758e-05
1.76669e+00  8.03829e-04
1.80455e+00  6.63763e-04
1.84353e+00  5.64070e-04
1.87886e+00  4.58097e-04
1.90869e+00  2.82462e-05
1.92341e+00  3.84824e-04
1.97090e+00  3.17837e-04
2.00679e+00  2.63722e-04
2.04349e+00  2.21685e-04
2.05899e+00  3.12730e-05
2.07091e+00  1.86066e-04
2.09226e+00  1.59150e-04
2.13468e+00  1.29811e-04
2.16134e+00  3.71366e-05
2.17772e+00  1.03880e-04
2.18745e+00  4.29969e-05
2.19115e+00  8.31797e-05
2.20992e+00  6.95345e-05
2.21012e+00  5.12352e-05
2.21645e+00  6.09145e-05
1.06650e+00  7.38259e-05
9.94562e-01  4.79892e-02
9.71284e-01  5.72552e-02
9.18186e-01  8.29145e-02
2.40371e-01  8.11203e-02
2.36425e-01  4.64438e-03
