# CMS \\(8TeV)  (HNLimits id: cms_2016)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
4.04159e+01  2.08347e-05
4.94097e+01  2.56438e-05
5.79427e+01  4.86351e-05
6.11914e+01  7.30703e-05
6.33707e+01  1.13210e-04
6.51842e+01  1.64058e-04
6.72873e+01  2.44332e-04
6.92178e+01  3.33381e-04
7.15955e+01  4.66588e-04
7.67311e+01  7.91785e-04
7.97110e+01  1.06223e-03
8.21935e+01  1.49057e-03
8.48573e+01  2.14615e-03
8.95742e+01  5.31987e-03
9.35267e+01  3.81297e-03
9.99769e+01  2.38759e-03
1.08696e+02  2.15021e-03
1.24436e+02  1.83345e-03
1.32976e+02  2.25796e-03
1.46582e+02  3.20555e-03
1.58120e+02  4.75881e-03
1.68365e+02  6.71487e-03
1.80996e+02  9.22333e-03
1.99485e+02  1.22756e-02
2.13555e+02  1.44929e-02
2.30118e+02  1.71369e-02
2.44037e+02  1.94179e-02
2.61696e+02  2.42602e-02
2.80629e+02  3.16685e-02
3.07674e+02  4.48732e-02
3.33693e+02  6.23164e-02
3.59959e+02  8.75109e-02
3.82507e+02  1.17401e-01
4.15575e+02  1.90681e-01
4.39763e+02  2.62578e-01
4.69271e+02  3.73722e-01
4.96836e+02  5.10995e-01
