# CMS \\(2018-dilepton)  (HNLimits id: cms_2018_dilepton)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
2.02142e+01  3.83878e-05
2.17448e+01  3.59078e-05
2.41886e+01  3.28403e-05
2.69071e+01  2.98708e-05
3.01827e+01  2.71565e-05
3.39991e+01  2.54593e-05
3.82981e+01  2.32642e-05
4.31406e+01  2.35584e-05
4.92095e+01  2.49514e-05
5.28277e+01  3.28386e-05
5.66161e+01  4.64135e-05
5.97991e+01  6.56927e-05
6.19961e+01  1.01499e-04
6.40423e+01  1.65974e-04
6.60845e+01  2.53762e-04
6.76770e+01  3.77106e-04
6.96087e+01  5.46907e-04
7.17507e+01  8.26053e-04
7.47634e+01  1.16016e-03
7.73984e+01  1.68187e-03
8.08231e+01  2.42127e-03
8.50165e+01  4.17116e-03
9.96225e+01  2.17667e-03
1.10356e+02  2.19900e-03
1.23273e+02  2.27743e-03
1.37365e+02  3.04167e-03
1.49898e+02  4.07457e-03
1.72423e+02  4.37689e-03
1.97504e+02  4.78912e-03
2.20622e+02  5.06884e-03
2.47480e+02  5.41733e-03
2.77608e+02  6.72475e-03
3.04361e+02  8.47306e-03
3.28277e+02  1.25053e-02
3.43170e+02  1.61921e-02
3.62433e+02  2.16705e-02
4.00413e+02  3.60229e-02
4.54628e+02  3.87293e-02
5.10205e+02  4.01420e-02
5.88994e+02  5.53763e-02
6.41446e+02  7.82901e-02
7.01921e+02  1.21782e-01
7.50737e+02  1.01407e-01
8.00389e+02  8.97783e-02
8.50156e+02  1.33808e-01
8.73426e+02  1.68265e-01
8.96322e+02  2.10589e-01
9.63895e+02  2.48369e-01
1.03332e+03  3.07704e-01
1.09506e+03  3.72822e-01
1.19768e+03  4.81051e-01
1.26434e+03  5.77371e-01
1.42012e+03  9.86055e-01
