# CMS \\(2018)  (HNLimits id: cms_2018_trilepton)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
9.95295e-01  1.57827e-02
1.09019e+00  1.12016e-02
1.31193e+00  6.31193e-03
1.55329e+00  3.85619e-03
1.82168e+00  2.35931e-03
2.13191e+00  1.47198e-03
2.51876e+00  9.31009e-04
2.98996e+00  5.96209e-04
3.48257e+00  3.90526e-04
4.04274e+00  2.65552e-04
4.64948e+00  1.77842e-04
5.36610e+00  1.26259e-04
6.33982e+00  8.53283e-05
7.52586e+00  5.57934e-05
8.72427e+00  3.67154e-05
1.04057e+01  2.74326e-05
1.19487e+01  2.14696e-05
1.32441e+01  2.00163e-05
1.51237e+01  1.84295e-05
1.78680e+01  1.58139e-05
2.09108e+01  1.51272e-05
2.45882e+01  1.61736e-05
2.89124e+01  1.73779e-05
3.39970e+01  1.80830e-05
3.99758e+01  1.86633e-05
4.97610e+01  1.87803e-05
5.90701e+01  2.80258e-05
6.24901e+01  4.28906e-05
6.62820e+01  7.86998e-05
6.85375e+01  1.30013e-04
7.08466e+01  2.13768e-04
7.33116e+01  3.64186e-04
7.62356e+01  7.52808e-04
8.03337e+01  1.36614e-03
8.92036e+01  2.62529e-03
1.02599e+02  4.39433e-03
1.20643e+02  6.15769e-03
1.41860e+02  7.83296e-03
1.66807e+02  8.28074e-03
1.96143e+02  8.93020e-03
2.31734e+02  1.17773e-02
2.71197e+02  1.51373e-02
3.20067e+02  2.05266e-02
3.76675e+02  2.72780e-02
4.39700e+02  3.85287e-02
5.18456e+02  5.92199e-02
6.12204e+02  8.87335e-02
7.09574e+02  1.43683e-01
8.42912e+02  2.45750e-01
9.79860e+02  4.20958e-01
1.18353e+03  8.49100e-01
