# CMS \\(2022)  (HNLimits id: cms_2022)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.09927e+00  1.98133e-02
4.39225e+00  1.98133e-02
4.65375e+00  1.46131e-02
5.01211e+00  9.52826e-03
5.69007e+00  4.26178e-03
6.10654e+00  2.58453e-03
6.97821e+00  1.24291e-03
7.19128e+00  1.02942e-03
7.65617e+00  6.66369e-04
8.37288e+00  3.49580e-04
8.68281e+00  2.67345e-04
9.11864e+00  1.82067e-04
9.36077e+00  1.55230e-04
9.85472e+00  1.11217e-04
1.01259e+01  9.27836e-05
1.05617e+01  6.69597e-05
1.11041e+01  4.39776e-05
1.13850e+01  3.66888e-05
1.20823e+01  2.39223e-05
1.23923e+01  1.92471e-05
1.31768e+01  1.10147e-05
1.40969e+01  5.41344e-06
1.46295e+01  3.03136e-06
1.50944e+01  1.78581e-06
1.50944e+01  9.50527e-07
1.50944e+01  9.50527e-07
1.40969e+01  5.80635e-07
1.20920e+01  3.67775e-07
1.11138e+01  3.25138e-07
1.00678e+01  3.20458e-07
9.12833e+00  3.52123e-07
8.13075e+00  4.01197e-07
7.12349e+00  4.91474e-07
5.11864e+00  1.02198e-06
4.08232e+00  1.83835e-06
3.09443e+00  4.08040e-06
2.09685e+00  1.37898e-05
1.09927e+00  1.22206e-04

# top
1.09927e+00  1.98133e-02
4.39225e+00  1.98133e-02
4.65375e+00  1.46131e-02
5.01211e+00  9.52826e-03
5.69007e+00  4.26178e-03
6.10654e+00  2.58453e-03
6.97821e+00  1.24291e-03
7.19128e+00  1.02942e-03
7.65617e+00  6.66369e-04
8.37288e+00  3.49580e-04
8.68281e+00  2.67345e-04
9.11864e+00  1.82067e-04
9.36077e+00  1.55230e-04
9.85472e+00  1.11217e-04
1.01259e+01  9.27836e-05
1.05617e+01  6.69597e-05
1.11041e+01  4.39776e-05
1.13850e+01  3.66888e-05
1.20823e+01  2.39223e-05
1.23923e+01  1.92471e-05
1.31768e+01  1.10147e-05
1.40969e+01  5.41344e-06
1.46295e+01  3.03136e-06
1.50944e+01  1.78581e-06
1.50944e+01  9.50527e-07
1.50944e+01  9.50527e-07
1.40969e+01  5.80635e-07
1.20920e+01  3.67775e-07
1.11138e+01  3.25138e-07
1.00678e+01  3.20458e-07
9.12833e+00  3.52123e-07
8.13075e+00  4.01197e-07
7.12349e+00  4.91474e-07
5.11864e+00  1.02198e-06
4.08232e+00  1.83835e-06
3.09443e+00  4.08040e-06
2.09685e+00  1.37898e-05
1.09927e+00  1.22206e-04
