# CMS \\(2024-I)  (HNLimits id: cms_2024_1)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
9.95995e-01  5.18963e-04
9.95995e-01  9.96748e-05
1.20175e+00  6.27510e-05
1.41017e+00  3.97633e-05
1.61858e+00  2.52790e-05
1.82166e+00  1.62287e-05
1.99222e+00  5.18963e-04
1.99934e+00  1.10120e-05
2.09657e+00  3.66213e-04
2.14213e+00  9.29467e-06
2.30228e+00  7.61840e-06
2.33736e+00  1.65378e-04
2.50778e+00  5.96575e-06
2.52196e+00  9.02172e-05
2.70518e+00  5.15115e-05
2.79317e+00  5.00178e-06
2.99931e+00  2.25885e-05
2.99971e+00  5.04953e-06
3.09674e+00  6.30053e-06
3.19601e+00  1.12851e-05

# top
9.95995e-01  5.18963e-04
9.95995e-01  9.96748e-05
1.20175e+00  6.27510e-05
1.41017e+00  3.97633e-05
1.61858e+00  2.52790e-05
1.82166e+00  1.62287e-05
1.99222e+00  5.18963e-04
1.99934e+00  1.10120e-05
2.09657e+00  3.66213e-04
2.14213e+00  9.29467e-06
2.30228e+00  7.61840e-06
2.33736e+00  1.65378e-04
2.50778e+00  5.96575e-06
2.52196e+00  9.02172e-05
2.70518e+00  5.15115e-05
2.79317e+00  5.00178e-06
2.99931e+00  2.25885e-05
2.99971e+00  5.04953e-06
3.09674e+00  6.30053e-06
3.19601e+00  1.12851e-05
