# CMS \\(2024-II)  (HNLimits id: cms_2024_2)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.00593e+01  1.85879e-05
1.24491e+01  8.23883e-06
1.50826e+01  4.84280e-06
1.76615e+01  3.83826e-06
2.02445e+01  2.94273e-06
2.51661e+01  2.49250e-06
3.01069e+01  2.49250e-06
3.99035e+01  2.66367e-06
4.05914e+01  2.84660e-06
4.98235e+01  3.53246e-06
6.01272e+01  6.42233e-06
7.51477e+01  1.96458e-04
7.53461e+01  1.00000e+00
8.56383e+01  1.00000e+00
8.58309e+01  1.44097e-03
1.00507e+02  1.16119e-03
1.24991e+02  3.53246e-03
1.26050e+02  2.57666e-03
1.50805e+02  3.04210e-03
1.99899e+02  4.76304e-03
2.02499e+02  6.97831e-03
2.53928e+02  1.00555e-02
2.98669e+02  1.40163e-02
4.01042e+02  3.00861e-02
5.15958e+02  4.86968e-02
6.01686e+02  5.94345e-02
7.57771e+02  1.04528e-01
9.02811e+02  1.66400e-01
1.00461e+03  2.60535e-01
1.20716e+03  4.21697e-01
1.50106e+03  9.05171e-01
