# CMS \\(2024-III)  (HNLimits id: cms_2024_3)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.00000e+00  5.87360e-05
1.02000e+00  4.03850e-05
1.04000e+00  4.39190e-05
1.06000e+00  6.48110e-05
1.08000e+00  5.70680e-05
1.10000e+00  4.46110e-05
1.12000e+00  4.41350e-05
1.14000e+00  3.72290e-05
1.16000e+00  4.21220e-05
1.18000e+00  4.59470e-05
1.20000e+00  4.63490e-05
1.22000e+00  3.96240e-05
1.24000e+00  3.83200e-05
1.26000e+00  3.25640e-05
1.28000e+00  3.65420e-05
1.30000e+00  4.33710e-05
1.32000e+00  5.47050e-05
1.34000e+00  4.15960e-05
1.36000e+00  3.77690e-05
1.38000e+00  2.71830e-05
1.40000e+00  2.29360e-05
1.42000e+00  2.04950e-05
1.44000e+00  2.17400e-05
1.46000e+00  2.38800e-05
1.48000e+00  2.88240e-05
1.50000e+00  3.14760e-05
1.53000e+00  3.08080e-05
1.56000e+00  3.64200e-05
1.59000e+00  2.60030e-05
1.62000e+00  2.20210e-05
1.65000e+00  2.49500e-05
1.68000e+00  2.28160e-05
1.71000e+00  2.46100e-05
1.74000e+00  2.66140e-05
1.80000e+00  2.31040e-05
1.83000e+00  2.48800e-05
1.86000e+00  2.72930e-05
1.89000e+00  2.75970e-05
1.92000e+00  2.75520e-05
1.95000e+00  2.02550e-05
1.98000e+00  2.13810e-05
2.00000e+00  2.60060e-05
2.05000e+00  2.43270e-05
2.10000e+00  2.04780e-05
2.15000e+00  2.02930e-05
2.20000e+00  2.56850e-05
2.25000e+00  2.70750e-05
2.30000e+00  3.33910e-05
2.35000e+00  3.85030e-05
2.40000e+00  2.96360e-05
2.45000e+00  2.33680e-05
2.50000e+00  5.23800e-05
2.55000e+00  2.72330e-05
2.60000e+00  3.31150e-05
2.65000e+00  3.17830e-05
2.70000e+00  3.91130e-05
2.75000e+00  6.28270e-05
2.80000e+00  3.87640e-05
2.85000e+00  4.17360e-05
2.90000e+00  4.90500e-05
2.95000e+00  4.49330e-05
3.00000e+00  5.46650e-05
