# DELPHI \\(short)  (HNLimits id: delphi_short)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.81047e+00  1.00000e-02
1.96427e+00  6.37022e-03
2.11851e+00  4.13448e-03
2.47858e+00  1.61301e-03
2.87212e+00  6.65117e-04
3.51442e+00  2.01750e-04
4.14537e+00  8.09118e-05
4.54176e+00  4.99819e-05
4.75394e+00  4.03034e-05
5.07437e+00  3.08755e-05
5.32879e+00  2.70241e-05
5.59597e+00  2.41429e-05
5.93432e+00  2.13490e-05
6.33432e+00  1.94678e-05
6.86488e+00  1.81928e-05
7.19350e+00  1.79353e-05
7.75357e+00  1.80105e-05
9.10052e+00  1.83768e-05
1.08192e+01  1.87506e-05
1.25773e+01  1.91319e-05
1.41147e+01  1.95210e-05
1.55386e+01  2.00522e-05
1.68511e+01  2.04915e-05
1.88316e+01  2.11582e-05
2.15912e+01  2.24715e-05
2.39664e+01  2.34119e-05
2.56947e+01  2.41166e-05
2.77481e+01  2.43606e-05
3.25648e+01  2.46429e-05
3.79822e+01  2.48560e-05
4.10177e+01  2.53615e-05
4.63151e+01  2.78679e-05
5.09095e+01  3.21676e-05
5.38119e+01  3.71307e-05
5.65099e+01  4.41978e-05
5.85334e+01  5.13118e-05
6.24064e+01  7.37242e-05
6.45949e+01  9.53298e-05
6.79721e+01  1.53733e-04
7.02598e+01  2.28804e-04
7.16234e+01  2.95767e-04
7.25471e+01  3.69092e-04
7.34827e+01  4.65255e-04
7.49088e+01  6.35658e-04
7.61183e+01  8.54023e-04
7.73474e+01  1.18656e-03
7.83449e+01  1.54157e-03
7.93553e+01  1.96287e-03
8.03710e+01  2.38152e-03
