# BNL-E949  (HNLimits id: e949)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.78043e+02  8.77876e-08
1.81506e+02  7.00540e-08
1.84352e+02  5.41828e-08
1.86181e+02  4.00140e-08
1.87604e+02  2.99380e-08
1.88824e+02  2.27847e-08
1.90247e+02  1.73407e-08
1.91743e+02  1.34394e-08
1.94037e+02  1.49857e-08
1.95839e+02  1.20378e-08
1.98570e+02  1.26666e-08
2.02701e+02  1.21467e-08
2.04995e+02  1.47543e-08
2.06714e+02  1.90795e-08
2.08941e+02  2.46572e-08
2.11111e+02  2.46543e-08
2.13150e+02  2.60340e-08
2.15189e+02  2.11020e-08
2.17078e+02  1.54806e-08
2.19266e+02  1.61979e-08
2.20741e+02  1.16751e-08
2.22164e+02  8.81686e-09
2.23587e+02  6.57623e-09
2.24971e+02  5.19762e-09
2.28466e+02  3.48030e-09
2.30479e+02  4.35024e-09
2.32008e+02  5.98449e-09
2.33751e+02  7.86063e-09
2.34768e+02  1.01695e-08
2.35927e+02  1.49072e-08
2.39245e+02  1.43031e-08
2.40928e+02  1.34394e-08
2.42712e+02  1.45265e-08
2.44241e+02  1.30276e-08
2.46556e+02  1.02249e-08
2.47808e+02  9.32384e-09
2.49195e+02  6.77981e-09
2.51121e+02  6.72516e-09
2.52905e+02  7.44083e-09
2.53627e+02  5.58194e-09
2.54434e+02  3.93183e-09
2.55858e+02  2.26631e-09
2.57691e+02  1.83636e-09
2.59168e+02  2.88997e-09
2.60805e+02  6.83061e-09
2.62258e+02  1.01793e-08
2.64118e+02  8.96815e-09
2.65392e+02  7.85724e-09
2.67176e+02  9.39665e-09
2.68457e+02  1.13689e-08
2.71509e+02  8.89865e-09
2.72986e+02  5.70290e-09
2.74822e+02  8.36175e-09
2.76351e+02  1.00000e-08
2.77252e+02  1.07120e-08
2.78899e+02  1.00781e-08
2.80173e+02  6.99189e-09
2.80583e+02  5.60715e-09
2.80919e+02  3.99143e-09
2.82893e+02  1.39806e-09
2.84333e+02  1.19081e-09
2.85951e+02  1.68509e-09
2.86531e+02  2.81475e-09
2.87309e+02  4.02466e-09
2.88047e+02  6.61813e-09
2.89114e+02  1.05517e-08
2.89857e+02  1.46400e-08
2.91282e+02  1.93792e-08
2.92421e+02  1.57426e-08
2.94190e+02  4.08777e-09
2.95145e+02  2.86224e-09
2.96513e+02  3.87863e-09
2.97175e+02  4.86794e-09
2.98267e+02  7.55750e-09
2.99059e+02  1.29586e-08
