# KEK  (HNLimits id: kek)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
4.49468e+01  7.09508e-04
4.91292e+01  2.70266e-04
5.26260e+01  1.31300e-04
5.63718e+01  6.34118e-05
6.16425e+01  3.15212e-05
6.92857e+01  1.70810e-05
7.94997e+01  8.94897e-06
9.24824e+01  5.21170e-06
1.07585e+02  3.31691e-06
1.25154e+02  2.30694e-06
1.45593e+02  1.57881e-06
1.69369e+02  1.03221e-06
1.97028e+02  7.51497e-07
2.29203e+02  5.99521e-07
2.66634e+02  6.19544e-07
3.06826e+02  1.01655e-06
