# LSND \\(Ema et al)  (HNLimits id: lsnd_ema)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.14536e+01  1.49819e-05
1.23256e+01  1.23380e-05
1.31976e+01  1.03220e-05
1.40697e+01  8.72645e-06
1.49418e+01  7.45539e-06
1.58140e+01  6.42541e-06
1.66862e+01  5.58637e-06
1.75585e+01  4.94259e-06
1.84307e+01  4.34252e-06
1.93030e+01  3.86906e-06
2.01753e+01  3.47446e-06
2.10477e+01  3.14201e-06
2.19201e+01  2.87387e-06
2.27925e+01  2.60116e-06
2.45373e+01  2.20679e-06
2.62824e+01  1.95932e-06
2.71549e+01  1.82054e-06
2.97726e+01  1.59114e-06
3.41363e+01  1.53644e-06
3.50090e+01  1.49404e-06
3.58815e+01  1.42263e-06
3.67541e+01  1.36414e-06
3.76267e+01  1.31725e-06
3.84994e+01  1.26974e-06
3.93720e+01  1.22824e-06
4.02446e+01  1.19225e-06
4.11173e+01  1.15935e-06
4.19900e+01  1.12933e-06
4.28626e+01  1.10587e-06
4.37353e+01  1.08290e-06
4.46080e+01  1.06226e-06
4.54807e+01  1.05117e-06
4.63535e+01  1.03838e-06
4.72262e+01  1.02395e-06
4.80989e+01  1.01681e-06
4.89717e+01  1.01681e-06
4.98444e+01  1.01681e-06
5.07172e+01  1.01681e-06
5.15900e+01  1.01681e-06
5.24627e+01  1.01859e-06
5.33356e+01  1.03838e-06
5.42084e+01  1.04750e-06
5.50812e+01  1.06041e-06
5.59540e+01  1.07723e-06
5.68269e+01  1.09432e-06
5.76997e+01  1.11363e-06
5.85725e+01  1.13328e-06
5.94454e+01  1.15328e-06
6.03182e+01  1.17980e-06
6.11911e+01  1.20483e-06
6.20640e+01  1.23470e-06
6.29368e+01  1.26089e-06
6.38097e+01  1.28989e-06
6.46825e+01  1.31955e-06
6.55554e+01  1.35700e-06
6.64283e+01  1.39308e-06
6.73012e+01  1.43512e-06
6.81740e+01  1.47586e-06
6.90469e+01  1.52573e-06
6.99198e+01  1.57453e-06
7.07927e+01  1.62774e-06
7.16656e+01  1.68569e-06
7.25385e+01  1.74570e-06
7.34115e+01  1.81736e-06
7.42844e+01  1.89196e-06
7.51573e+01  1.96619e-06
7.60303e+01  2.06127e-06
7.69032e+01  2.15341e-06
7.77762e+01  2.25360e-06
7.86491e+01  2.36672e-06
7.95221e+01  2.49423e-06
8.03951e+01  2.62860e-06
8.12681e+01  2.77993e-06
8.21411e+01  2.95027e-06
8.30141e+01  3.14201e-06
8.38871e+01  3.34623e-06
8.47602e+01  3.60131e-06
8.56333e+01  3.86906e-06
8.65063e+01  4.18590e-06
8.73794e+01  4.55252e-06
8.82526e+01  4.96860e-06
8.91257e+01  5.43220e-06
8.99988e+01  5.97030e-06
9.08720e+01  6.65416e-06
9.17453e+01  7.46844e-06
9.26185e+01  8.35308e-06
9.34918e+01  9.60766e-06
9.43651e+01  1.10121e-05
9.52385e+01  1.27773e-05
9.61120e+01  1.51664e-05
9.69855e+01  1.83520e-05
9.78591e+01  2.25986e-05
9.87328e+01  2.84181e-05
9.95338e+01  3.64303e-05
1.00189e+02  4.54127e-05
1.00772e+02  5.66099e-05
1.01355e+02  7.30163e-05
1.01865e+02  9.36847e-05
1.02302e+02  1.19261e-04
1.02813e+02  1.61687e-04
1.03177e+02  2.02260e-04
1.03469e+02  2.67579e-04
1.03907e+02  3.94541e-04
1.04464e+02  9.42701e-04
1.04202e+02  6.03967e-04
3.29514e+01  1.48529e-06
3.13157e+01  1.50131e-06
2.83422e+01  1.68032e-06
1.00624e+01  2.09087e-05
