# $\mu$BooNE  (HNLimits id: microboone_2023)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
9.87373e+00  9.78614e-03
1.01949e+01  3.25991e-03
1.20242e+01  2.16337e-03
1.38042e+01  1.46812e-03
1.55841e+01  9.99219e-04
1.73641e+01  6.80079e-04
1.92925e+01  4.50134e-04
2.19645e+01  3.24810e-04
2.52313e+01  2.45174e-04
2.84982e+01  1.85948e-04
3.17650e+01  1.41029e-04
3.50318e+01  1.06621e-04
3.82987e+01  8.06080e-05
4.15655e+01  6.11358e-05
4.48323e+01  4.62201e-05
4.80992e+01  3.49991e-05
5.13664e+01  2.79749e-05
5.46343e+01  2.40194e-05
5.79022e+01  2.07219e-05
6.11700e+01  1.77355e-05
6.44380e+01  1.53007e-05
6.77058e+01  1.31582e-05
7.09737e+01  1.13157e-05
7.42416e+01  9.73120e-06
7.75095e+01  8.36858e-06
8.07774e+01  7.20822e-06
8.40452e+01  6.17919e-06
8.73131e+01  5.33936e-06
9.05810e+01  4.57713e-06
9.38489e+01  3.94876e-06
9.71168e+01  3.39043e-06
1.00385e+02  2.93896e-06
1.03653e+02  2.64253e-06
1.06921e+02  2.37978e-06
1.10190e+02  2.14999e-06
1.13458e+02  1.93621e-06
1.16726e+02  1.74369e-06
1.19994e+02  1.57281e-06
1.23263e+02  1.41643e-06
1.26531e+02  1.27762e-06
1.29799e+02  1.15058e-06
1.33067e+02  1.03783e-06
1.36336e+02  9.36125e-07
1.39604e+02  8.43045e-07
1.42872e+02  7.59220e-07
1.46140e+02  6.84818e-07
1.49636e+02  6.04703e-07
1.50292e+02  2.18683e-07
1.54451e+02  1.84495e-07
1.57719e+02  1.63009e-07
1.60987e+02  1.44484e-07
1.64255e+02  1.27862e-07
1.67524e+02  1.13151e-07
1.70792e+02  1.00133e-07
1.74060e+02  8.87538e-08
1.77328e+02  7.84179e-08
1.80596e+02  7.01728e-08
1.83864e+02  6.34977e-08
1.87133e+02  5.78243e-08
1.90401e+02  5.27416e-08
1.93669e+02  4.81056e-08
1.96938e+02  4.37378e-08
2.00206e+02  4.05329e-08
2.03475e+02  4.02856e-08
2.06745e+02  4.02955e-08
2.10014e+02  4.03053e-08
2.13283e+02  4.03151e-08
2.16552e+02  4.03249e-08
2.19821e+02  4.00790e-08
2.23090e+02  3.79784e-08
2.26358e+02  3.56462e-08
2.29627e+02  3.33509e-08
2.32895e+02  3.13029e-08
2.36164e+02  2.92873e-08
2.39433e+02  2.74451e-08
2.42701e+02  2.48739e-08
2.44640e+02  2.32885e-08
