# $\mu$BooNE \\(Kelly-Machado)  (HNLimits id: microboone_higgs)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
2.01192e+01  3.79443e-03
2.08941e+01  3.28625e-03
2.16713e+01  2.85067e-03
2.25034e+01  2.49247e-03
2.38704e+01  2.01078e-03
2.48732e+01  1.72189e-03
2.56510e+01  1.54590e-03
2.69640e+01  1.27585e-03
2.81049e+01  1.08779e-03
2.90742e+01  9.53411e-04
3.05336e+01  7.75966e-04
3.18579e+01  6.55816e-04
3.29232e+01  5.78546e-04
3.45107e+01  4.73489e-04
3.59371e+01  4.05814e-04
3.72466e+01  3.52565e-04
3.91531e+01  2.85918e-04
4.08098e+01  2.43409e-04
4.22173e+01  2.13273e-04
4.43364e+01  1.73583e-04
4.62124e+01  1.47643e-04
4.85069e+01  1.23250e-04
5.15677e+01  9.58265e-05
5.38807e+01  7.91633e-05
5.67454e+01  6.25382e-05
5.91259e+01  5.19986e-05
6.10712e+01  4.51040e-05
6.38955e+01  3.61894e-05
6.66619e+01  2.98871e-05
6.87664e+01  2.60772e-05
7.20823e+01  2.08236e-05
7.51889e+01  1.71997e-05
7.75041e+01  1.50363e-05
8.14713e+01  1.18325e-05
8.50586e+01  9.43202e-06
8.79466e+01  7.94288e-06
9.16506e+01  6.42823e-06
9.63418e+01  4.90325e-06
1.00000e+02  4.09432e-06
1.05928e+02  3.26062e-06
1.12612e+02  2.56577e-06
1.18006e+02  2.09279e-06
1.24122e+02  1.65824e-06
1.30990e+02  1.34318e-06
1.36035e+02  1.20598e-06
1.40009e+02  1.10903e-06
1.48042e+02  8.02263e-07
1.53468e+02  6.94807e-07
1.61690e+02  5.59986e-07
1.67013e+02  4.90824e-07
1.73078e+02  4.25997e-07
1.81102e+02  3.55146e-07
1.88416e+02  3.00286e-07
1.94619e+02  2.56951e-07
1.99585e+02  2.30676e-07
