# NA3  (HNLimits id: na3)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
5.99988e-01  6.05300e-03
5.99988e-01  3.44251e-01
5.99988e-01  1.25357e-01
5.99988e-01  7.56459e-02
5.99988e-01  4.56481e-02
5.99988e-01  2.20634e-02
5.99988e-01  1.00308e-02
5.99988e-01  2.07736e-01
5.99988e-01  3.57426e-03
5.99988e-01  1.77087e-03
6.14290e-01  6.63814e-01
6.54120e-01  6.98205e-01
6.96531e-01  6.85104e-01
7.41693e-01  5.51586e-01
7.89783e-01  4.21328e-01
8.40990e-01  3.29367e-01
8.85032e-01  2.62955e-01
9.61099e-01  1.89363e-01
1.02342e+00  1.41037e-01
1.08977e+00  1.01139e-01
1.16043e+00  7.22233e-02
1.23567e+00  5.24502e-02
1.31579e+00  3.73759e-02
1.40110e+00  2.62997e-02
1.49194e+00  1.88202e-02
1.58868e+00  1.33549e-02
1.69168e+00  8.80369e-03
1.80137e+00  5.71863e-03
1.91817e+00  3.70686e-03
1.99890e+00  2.27965e-03
2.00598e+00  1.71801e-03
2.00283e+00  5.20009e-04
2.00283e+00  8.58553e-04
2.00283e+00  1.11318e-04
2.00283e+00  1.84471e-04
2.00283e+00  3.05697e-04
2.00059e+00  3.84094e-05
2.00059e+00  2.44947e-03
1.99968e+00  5.38426e-05
1.97162e+00  2.32190e-05
1.85885e+00  2.02686e-05
1.74110e+00  1.86846e-05
1.63937e+00  1.87502e-05
1.53955e+00  2.17721e-05
1.44581e+00  2.71564e-05
1.35777e+00  3.40151e-05
1.27510e+00  4.23379e-05
1.19746e+00  5.30308e-05
1.12455e+00  6.60063e-05
1.05607e+00  8.23298e-05
9.91768e-01  1.02474e-04
9.31379e-01  1.24629e-04
8.74668e-01  1.54471e-04
8.21409e-01  1.82412e-04
7.71394e-01  2.20452e-04
7.24424e-01  2.67737e-04
6.80314e-01  3.73408e-04
6.41403e-01  5.97083e-04
6.07097e-01  9.76162e-04

# top
5.99988e-01  6.05300e-03
5.99988e-01  3.44251e-01
5.99988e-01  1.25357e-01
5.99988e-01  7.56459e-02
5.99988e-01  4.56481e-02
5.99988e-01  2.20634e-02
5.99988e-01  1.00308e-02
5.99988e-01  2.07736e-01
5.99988e-01  3.57426e-03
5.99988e-01  1.77087e-03
6.14290e-01  6.63814e-01
6.54120e-01  6.98205e-01
6.96531e-01  6.85104e-01
7.41693e-01  5.51586e-01
7.89783e-01  4.21328e-01
8.40990e-01  3.29367e-01
8.85032e-01  2.62955e-01
9.61099e-01  1.89363e-01
1.02342e+00  1.41037e-01
1.08977e+00  1.01139e-01
1.16043e+00  7.22233e-02
1.23567e+00  5.24502e-02
1.31579e+00  3.73759e-02
1.40110e+00  2.62997e-02
1.49194e+00  1.88202e-02
1.58868e+00  1.33549e-02
1.69168e+00  8.80369e-03
1.80137e+00  5.71863e-03
1.91817e+00  3.70686e-03
1.99890e+00  2.27965e-03
2.00598e+00  1.71801e-03
2.00283e+00  5.20009e-04
2.00283e+00  8.58553e-04
2.00283e+00  1.11318e-04
2.00283e+00  1.84471e-04
2.00283e+00  3.05697e-04
2.00059e+00  3.84094e-05
2.00059e+00  2.44947e-03
1.99968e+00  5.38426e-05
1.97162e+00  2.32190e-05
1.85885e+00  2.02686e-05
1.74110e+00  1.86846e-05
1.63937e+00  1.87502e-05
1.53955e+00  2.17721e-05
1.44581e+00  2.71564e-05
1.35777e+00  3.40151e-05
1.27510e+00  4.23379e-05
1.19746e+00  5.30308e-05
1.12455e+00  6.60063e-05
1.05607e+00  8.23298e-05
9.91768e-01  1.02474e-04
9.31379e-01  1.24629e-04
8.74668e-01  1.54471e-04
8.21409e-01  1.82412e-04
7.71394e-01  2.20452e-04
7.24424e-01  2.67737e-04
6.80314e-01  3.73408e-04
6.41403e-01  5.97083e-04
6.07097e-01  9.76162e-04
