# NuTeV  (HNLimits id: nutev)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
2.10305e-01  7.56949e-06
2.18727e-01  4.25592e-06
2.26594e-01  3.30328e-06
2.37526e-01  2.10546e-06
2.50948e-01  1.29937e-06
2.60998e-01  1.00373e-06
2.75746e-01  5.97253e-07
2.86789e-01  4.54932e-07
3.00625e-01  2.91189e-07
3.20116e-01  1.84302e-07
3.32936e-01  1.44177e-07
3.57879e-01  8.78120e-08
3.77509e-01  8.21390e-08
3.84993e-01  1.29412e-07
3.88028e-01  2.20559e-07
3.88028e-01  2.88748e-07
3.88028e-01  5.29365e-07
3.89555e-01  7.10750e-07
4.03567e-01  9.22687e-07
4.48700e-01  7.32003e-07
4.77793e-01  6.46526e-07
5.41760e-01  4.81531e-07
5.74626e-01  4.27353e-07
6.41403e-01  3.53398e-07
7.18757e-01  2.95511e-07
7.65360e-01  2.60455e-07
8.61038e-01  1.96865e-07
9.13273e-01  1.68474e-07
1.00747e+00  1.27073e-07
1.11575e+00  9.82981e-08
1.18809e+00  9.03617e-08
1.36848e+00  7.44552e-08
1.45721e+00  6.78701e-08
1.63063e+00  6.35302e-08
1.78028e+00  8.79600e-08
1.78307e+00  1.15025e-07
1.79090e+00  7.61546e-07

# top
1.79090e+00  7.61546e-07
1.70056e+00  1.52475e-06
1.60120e+00  2.07467e-06
1.49194e+00  3.24813e-06
1.39561e+00  4.80441e-06
1.33138e+00  6.11081e-06
1.23567e+00  9.78535e-06
1.18344e+00  1.21577e-05
1.09836e+00  1.92703e-05
1.02744e+00  2.87200e-05
9.80154e-01  3.64067e-05
9.09694e-01  5.80538e-05
8.71240e-01  7.31326e-05
8.08610e-01  1.09890e-04
7.59373e-01  1.68392e-04
7.27274e-01  2.10731e-04
6.72347e-01  3.47037e-04
6.41403e-01  4.47388e-04
5.95295e-01  6.81123e-04
5.59047e-01  1.00324e-03
5.35416e-01  1.25851e-03
4.94979e-01  2.05368e-03
4.72198e-01  2.61463e-03
4.38253e-01  4.05796e-03
4.11568e-01  5.97705e-03
3.94171e-01  7.55218e-03
3.64401e-01  1.23180e-02
3.47630e-01  1.56524e-02
3.23909e-01  2.41560e-02
3.01807e-01  3.40941e-02
2.90187e-01  4.72114e-02
2.70386e-01  7.07192e-02
2.58956e-01  8.65531e-02
2.40054e-01  1.39328e-01
2.19634e-01  2.37590e-01
2.10305e-01  3.00000e-01
