# PIENU  (HNLimits id: pienu_he)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.56647e+01  5.95707e-06
1.61303e+01  4.18395e-06
1.65749e+01  3.45431e-06
1.70088e+01  3.35241e-06
1.74320e+01  3.71168e-06
1.78345e+01  4.31112e-06
1.82371e+01  4.83065e-06
1.86399e+01  4.88885e-06
1.90120e+01  4.49568e-06
1.94048e+01  3.96442e-06
1.97665e+01  3.58069e-06
2.01281e+01  3.45431e-06
2.04896e+01  3.49593e-06
2.08408e+01  3.47506e-06
2.11922e+01  3.27306e-06
2.15333e+01  2.88628e-06
2.18643e+01  2.38294e-06
2.21953e+01  1.95563e-06
2.25261e+01  1.72453e-06
2.28463e+01  1.71423e-06
2.31559e+01  1.93235e-06
2.34653e+01  2.45537e-06
2.37641e+01  3.33240e-06
2.40735e+01  4.10945e-06
2.43730e+01  4.28538e-06
2.46725e+01  4.33702e-06
2.49719e+01  4.57718e-06
2.52507e+01  4.80180e-06
2.55401e+01  4.49568e-06
2.58296e+01  3.89383e-06
2.61085e+01  3.91722e-06
2.63767e+01  4.57718e-06
2.66553e+01  5.09815e-06
2.69242e+01  4.41564e-06
2.71939e+01  2.73483e-06
2.74530e+01  1.79836e-06
2.77111e+01  1.90934e-06
2.79789e+01  2.70227e-06
2.82368e+01  3.21479e-06
2.85048e+01  4.06053e-06
2.87528e+01  3.89383e-06
2.89901e+01  4.46884e-06
