# PIENU\\(low $\mu$ energy)  (HNLimits id: pienu_le)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
2.81476e+01  1.03442e-05
2.83035e+01  1.02538e-05
2.84593e+01  1.01132e-05
2.86152e+01  9.91225e-06
2.87710e+01  9.82557e-06
2.89269e+01  9.66662e-06
2.90827e+01  9.52217e-06
2.92385e+01  9.46262e-06
2.93944e+01  9.32122e-06
2.95502e+01  9.25132e-06
2.97060e+01  9.21656e-06
2.98618e+01  9.17042e-06
3.00177e+01  9.10165e-06
3.01735e+01  9.05609e-06
3.03293e+01  9.07884e-06
3.04851e+01  9.05609e-06
3.06409e+01  9.09024e-06
3.07967e+01  9.11308e-06
3.09525e+01  9.15893e-06
3.11083e+01  9.19346e-06
3.12641e+01  9.27456e-06
3.14199e+01  9.37988e-06
3.15757e+01  9.49830e-06
3.17315e+01  9.63030e-06
3.18872e+01  9.81325e-06
3.20430e+01  1.00374e-05
3.21988e+01  1.02538e-05
3.23545e+01  1.05407e-05
3.25102e+01  1.10001e-05
3.26660e+01  1.13934e-05
3.28217e+01  1.18750e-05
3.29774e+01  1.25963e-05
3.31330e+01  1.36642e-05
3.32905e+01  1.47805e-05
3.34287e+01  1.63894e-05
3.36348e+01  2.00905e-05
3.38196e+01  3.40298e-05
