# PSI  (HNLimits id: psi)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.00055e+00  1.14873e-02
1.12481e+00  9.82117e-03
1.19419e+00  8.43142e-03
1.25369e+00  7.29823e-03
1.31318e+00  6.34346e-03
1.38260e+00  5.35670e-03
1.46192e+00  4.43570e-03
1.54123e+00  3.70730e-03
1.61063e+00  3.14679e-03
1.67025e+00  2.58164e-03
1.71989e+00  2.22545e-03
1.76955e+00  1.91051e-03
1.82913e+00  1.59346e-03
1.88874e+00  1.30728e-03
1.93844e+00  1.09936e-03
1.97821e+00  9.53560e-04
2.02795e+00  7.83912e-04
2.08759e+00  6.37840e-04
2.13726e+00  5.43074e-04
2.17701e+00  4.73972e-04
2.22669e+00  4.01891e-04
2.27637e+00  3.41476e-04
2.31613e+00  2.96187e-04
2.35591e+00  2.55320e-04
2.39249e+00  2.12070e-04
2.43557e+00  1.81682e-04
2.46544e+00  1.59547e-04
2.50534e+00  1.30352e-04
2.55507e+00  1.08049e-04
2.59489e+00  9.14277e-05
2.63472e+00  7.68860e-05
2.67130e+00  6.35989e-05
2.71122e+00  5.13221e-05
2.75431e+00  4.37870e-05
2.81390e+00  3.64454e-05
2.91231e+00  4.06585e-05
2.99088e+00  4.77582e-05
3.07957e+00  4.96294e-05
3.14903e+00  4.11724e-05
3.19868e+00  3.54187e-05
3.28778e+00  3.05329e-05
3.40590e+00  3.44162e-05
3.52424e+00  3.48480e-05
3.63307e+00  3.00414e-05
3.89944e+00  2.97393e-05
4.01764e+00  3.21670e-05
4.13612e+00  3.07428e-05
4.22486e+00  3.11921e-05
4.28376e+00  3.57425e-05
4.35245e+00  4.22439e-05
4.44091e+00  4.88289e-05
4.54916e+00  5.51295e-05
4.66751e+00  5.58212e-05
4.78590e+00  5.52536e-05
4.90438e+00  5.26985e-05
4.98358e+00  4.63754e-05
5.02345e+00  3.82821e-05
5.06323e+00  3.30000e-05
5.10305e+00  2.79236e-05
5.12638e+00  2.41700e-05
5.16293e+00  2.02420e-05
5.18297e+00  1.75571e-05
5.24244e+00  1.54184e-05
5.33093e+00  1.75954e-05
5.37992e+00  2.04975e-05
5.42892e+00  2.38784e-05
5.49758e+00  2.86322e-05
5.58606e+00  3.28099e-05
5.66463e+00  3.85390e-05
5.75310e+00  4.44364e-05
5.85187e+00  4.19028e-05
5.91140e+00  3.57880e-05
5.95124e+00  3.00959e-05
5.99099e+00  2.62664e-05
6.04067e+00  2.22719e-05
6.12974e+00  1.94387e-05
6.20888e+00  1.75712e-05
6.23229e+00  1.46851e-05
6.25246e+00  1.19484e-05
6.30901e+00  8.84192e-06
6.32701e+00  1.02613e-05
6.37062e+00  1.31930e-05
6.40630e+00  1.65706e-05
6.44191e+00  2.14669e-05
6.48086e+00  2.71581e-05
6.50341e+00  3.36562e-05
6.58173e+00  4.41909e-05
6.70001e+00  4.63421e-05
6.80870e+00  4.25879e-05
6.87811e+00  3.60374e-05
6.91791e+00  3.08734e-05
6.94789e+00  2.58026e-05
6.97784e+00  2.18332e-05
7.03044e+00  1.76916e-05
7.03775e+00  1.56323e-05
7.09602e+00  2.39589e-05
7.15465e+00  3.09429e-05
7.23382e+00  2.74558e-05
7.26374e+00  2.37162e-05
7.35275e+00  2.12618e-05
7.43161e+00  2.18409e-05
7.46157e+00  1.84429e-05
7.47170e+00  1.63299e-05
7.50161e+00  1.40766e-05
7.53150e+00  1.22854e-05
7.56147e+00  1.03526e-05
7.64363e+00  8.51351e-06
7.72599e+00  9.81332e-06
7.74858e+00  1.19871e-05
7.81731e+00  1.38554e-05
7.88600e+00  1.64365e-05
7.92164e+00  2.09663e-05
7.94414e+00  2.66341e-05
7.99308e+00  3.18046e-05
8.08164e+00  3.51895e-05
8.21004e+00  3.25736e-05
8.29912e+00  2.84299e-05
8.37840e+00  2.40572e-05
8.44786e+00  1.98798e-05
8.53510e+00  1.62829e-05
8.54711e+00  1.50804e-05
8.63558e+00  1.73343e-05
8.73464e+00  1.43542e-05
8.84329e+00  1.34607e-05
8.89302e+00  1.11392e-05
