# T2K  (HNLimits id: t2k)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.40000e+02  7.29890e-07
1.50000e+02  5.44055e-07
1.60000e+02  3.81453e-07
1.70000e+02  2.84887e-07
1.80000e+02  2.13262e-07
1.90000e+02  1.53471e-07
2.00000e+02  1.13632e-07
2.10000e+02  9.07861e-08
2.20000e+02  7.04407e-08
2.30000e+02  5.29269e-08
2.40000e+02  4.15395e-08
2.50000e+02  1.54634e-08
2.60000e+02  8.89283e-09
2.70000e+02  6.06747e-09
2.80000e+02  4.52733e-09
2.90000e+02  3.53781e-09
3.00000e+02  2.76344e-09
3.10000e+02  2.28572e-09
3.20000e+02  1.84738e-09
3.30000e+02  1.55381e-09
3.40000e+02  1.31802e-09
3.50000e+02  1.10060e-09
3.60000e+02  9.60219e-10
3.70000e+02  8.74800e-10
3.80000e+02  8.13963e-10
