# T2K \\(Arg\"uelles et al)  (HNLimits id: t2k_lowmass)
# Source: mhostert/Heavy-Neutrino-Limits sheet Umu4
# Flavor: Umu
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
3.84182e+02  1.54454e-07
3.83557e+02  1.42355e-07
3.81425e+02  1.11831e-07
3.80503e+02  1.03375e-07
3.76825e+02  9.28181e-08
3.73146e+02  8.83128e-08
3.72189e+02  8.75273e-08
3.69468e+02  8.49595e-08
3.65789e+02  8.25538e-08
3.62110e+02  8.09156e-08
3.58432e+02  7.99150e-08
3.54753e+02  7.94410e-08
3.51075e+02  7.92759e-08
3.47396e+02  7.92327e-08
3.43717e+02  7.93622e-08
3.40039e+02  7.96973e-08
3.36360e+02  8.08234e-08
3.32682e+02  8.21548e-08
3.29003e+02  8.37309e-08
3.25324e+02  8.56385e-08
3.22063e+02  8.75273e-08
3.21646e+02  8.77310e-08
3.17967e+02  8.96461e-08
3.14289e+02  9.17660e-08
3.10610e+02  9.41183e-08
3.06931e+02  9.66299e-08
3.03253e+02  9.93882e-08
2.99574e+02  1.02321e-07
2.95896e+02  1.04641e-07
2.92217e+02  1.07221e-07
2.88538e+02  1.11217e-07
2.88151e+02  1.11831e-07
2.84860e+02  1.16770e-07
2.81181e+02  1.22993e-07
2.77502e+02  1.27781e-07
2.73824e+02  1.31968e-07
2.70145e+02  1.36602e-07
2.67175e+02  1.42355e-07
2.66467e+02  1.43433e-07
2.62788e+02  1.49354e-07
2.59109e+02  1.56285e-07
2.55431e+02  1.65100e-07
2.51752e+02  1.75218e-07
2.49374e+02  1.80554e-07
2.48074e+02  1.82974e-07
2.44395e+02  1.88008e-07
2.40716e+02  1.93649e-07
2.37038e+02  2.01596e-07
2.33359e+02  2.10948e-07
2.29681e+02  2.21824e-07
2.28133e+02  2.28183e-07
2.26002e+02  2.36682e-07
2.22323e+02  2.52946e-07
2.18645e+02  2.73815e-07
2.16755e+02  2.87360e-07
2.14966e+02  3.00064e-07
2.11288e+02  3.29833e-07
2.07609e+02  3.46598e-07
2.03930e+02  3.55488e-07
2.02169e+02  3.60627e-07
2.00252e+02  3.64746e-07
1.96573e+02  3.88541e-07
1.92895e+02  4.18151e-07
1.89482e+02  4.51029e-07
1.89216e+02  4.53626e-07
1.85537e+02  4.92353e-07
1.81859e+02  5.39661e-07
1.80107e+02  5.62193e-07
1.78180e+02  5.87507e-07
1.74501e+02  6.35051e-07
1.70823e+02  6.91526e-07
1.70308e+02  6.98432e-07
1.67144e+02  7.31706e-07
1.63466e+02  7.73832e-07
1.59787e+02  8.25215e-07
1.58073e+02  8.64852e-07
1.56108e+02  9.14977e-07
1.52430e+02  1.02415e-06
1.50977e+02  1.06748e-06
1.48751e+02  1.13420e-06
1.45073e+02  1.23281e-06
1.42462e+02  1.31341e-06
1.41394e+02  1.34197e-06
1.37715e+02  1.44992e-06
1.34037e+02  1.59717e-06
1.33706e+02  1.61095e-06
1.30358e+02  1.77662e-06
1.27119e+02  1.96982e-06
1.26680e+02  1.99207e-06
1.23001e+02  2.18934e-06
1.19801e+02  2.40134e-06
1.19322e+02  2.43558e-06
1.15644e+02  2.71569e-06
1.13376e+02  2.91867e-06
1.11965e+02  3.05885e-06
1.08287e+02  3.47437e-06
1.07763e+02  3.53703e-06
1.04608e+02  3.88630e-06
1.01711e+02  4.27399e-06
1.00929e+02  4.41485e-06
9.72507e+01  5.14446e-06
9.72247e+01  5.14978e-06
9.35721e+01  5.76919e-06
9.15030e+01  6.18762e-06
8.98935e+01  6.62885e-06
8.72560e+01  7.41407e-06
8.62149e+01  7.71003e-06
8.26433e+01  8.85942e-06
8.25363e+01  8.90249e-06
7.88577e+01  1.04687e-05
7.86578e+01  1.05581e-05
7.51791e+01  1.22707e-05
7.46478e+01  1.25494e-05
7.15005e+01  1.45539e-05
7.10106e+01  1.48773e-05
6.78219e+01  1.74081e-05
6.75945e+01  1.75919e-05
6.43214e+01  2.07492e-05
6.41433e+01  2.09593e-05
6.11900e+01  2.44125e-05
6.04647e+01  2.54797e-05
5.82445e+01  2.86521e-05
5.67861e+01  3.12991e-05
5.54856e+01  3.35470e-05
5.31381e+01  3.91847e-05
5.31075e+01  3.92632e-05
5.04277e+01  4.56629e-05
4.94289e+01  4.95047e-05
4.83537e+01  5.30894e-05
4.60175e+01  6.15837e-05
4.57502e+01  6.32253e-05
4.41519e+01  7.12774e-05
4.20789e+01  8.23153e-05
4.20716e+01  8.23760e-05
4.02020e+01  9.48563e-05
3.85233e+01  1.09075e-04
3.83930e+01  1.10513e-04
3.66980e+01  1.25160e-04
3.53420e+01  1.43320e-04
3.47144e+01  1.52252e-04
3.36556e+01  1.63781e-04
3.23937e+01  1.86786e-04
3.11391e+01  2.12600e-04
3.10358e+01  2.15515e-04
2.96932e+01  2.41511e-04
2.86077e+01  2.73826e-04
2.75309e+01  3.09877e-04
2.73572e+01  3.19119e-04
2.64148e+01  3.50022e-04
2.52611e+01  3.94641e-04
2.43381e+01  4.44145e-04
2.37596e+01  4.98968e-04
2.36786e+01  5.05630e-04
2.25422e+01  5.59576e-04
2.15964e+01  6.26461e-04
2.09836e+01  7.00149e-04
2.03214e+01  7.81192e-04
2.00000e+01  8.38569e-04
