# ArgoNeuT  (HNLimits id: argoneut)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
2.34188e-01  9.22699e-01
2.42269e-01  8.41979e-01
2.52836e-01  6.55945e-01
2.61538e-01  4.36274e-01
2.82051e-01  1.85127e-01
2.96348e-01  1.09587e-01
3.21834e-01  5.53826e-02
3.34887e-01  4.13873e-02
3.55400e-01  2.82230e-02
3.74048e-01  2.02313e-02
3.90210e-01  1.57612e-02
4.01399e-01  1.37962e-02
4.17560e-01  1.10197e-02
4.36830e-01  8.80194e-03
4.60451e-01  6.57767e-03
4.89044e-01  4.91548e-03
5.05828e-01  4.16176e-03
5.30692e-01  3.29665e-03
5.54312e-01  2.69976e-03
5.67366e-01  2.40283e-03
5.79798e-01  2.17445e-03
5.86014e-01  2.08582e-03
5.95960e-01  1.88757e-03
6.14608e-01  1.61149e-03
6.23310e-01  1.54581e-03
6.33877e-01  1.41058e-03
6.44444e-01  1.33075e-03
6.55633e-01  1.20427e-03
6.63092e-01  1.14561e-03
6.82362e-01  9.86225e-04
7.12199e-01  8.28080e-04
7.22766e-01  7.55637e-04
7.50117e-01  6.34468e-04
7.79953e-01  5.37181e-04
7.89899e-01  4.98414e-04
7.99845e-01  4.74137e-04
8.11655e-01  4.32658e-04
8.29681e-01  4.08172e-04
8.40870e-01  3.75577e-04
8.57032e-01  3.51385e-04
8.69464e-01  3.26027e-04
8.78788e-01  3.20645e-04
8.96814e-01  2.97505e-04
9.17949e-01  2.71478e-04
9.39083e-01  2.80668e-04
9.55866e-01  2.87764e-04
9.67677e-01  3.07576e-04
9.77622e-01  3.39880e-04
9.82595e-01  3.81881e-04
9.86946e-01  4.51042e-04
9.87568e-01  4.98414e-04
9.88190e-01  5.69406e-04
9.88190e-01  4.90187e-04
2.34188e-01  9.22699e-01
4.71018e-01  8.63266e-01
4.81585e-01  6.83817e-01
5.07071e-01  4.90187e-01
5.33800e-01  3.60269e-01
5.57420e-01  2.71478e-01
5.67988e-01  2.49799e-01
5.84771e-01  2.04571e-01
5.96581e-01  1.86674e-01
6.08392e-01  1.58050e-01
6.16472e-01  1.50352e-01
6.24553e-01  1.36061e-01
6.40093e-01  1.15198e-01
6.50039e-01  1.04249e-01
6.69308e-01  8.39646e-02
6.79254e-01  7.59841e-02
6.96037e-01  6.17108e-02
7.11577e-01  5.26850e-02
7.27739e-01  4.42367e-02
7.46387e-01  3.53340e-02
7.70008e-01  2.68482e-02
7.87413e-01  2.14450e-02
8.06061e-01  1.72723e-02
8.13520e-01  1.53726e-02
8.34654e-01  1.19760e-02
8.57653e-01  8.87550e-03
8.83761e-01  6.25728e-03
8.90598e-01  5.47714e-03
9.09868e-01  4.19654e-03
9.27894e-01  3.00825e-03
9.45921e-01  2.12083e-03
9.59596e-01  1.65224e-03
9.76379e-01  1.05412e-03
9.80730e-01  9.30411e-04
9.84460e-01  8.07661e-04
9.86946e-01  6.83817e-04
9.88190e-01  5.46197e-04
9.88190e-01  4.90187e-04

# top
2.34188e-01  9.22699e-01
2.42269e-01  8.41979e-01
2.52836e-01  6.55945e-01
2.61538e-01  4.36274e-01
2.82051e-01  1.85127e-01
2.96348e-01  1.09587e-01
3.21834e-01  5.53826e-02
3.34887e-01  4.13873e-02
3.55400e-01  2.82230e-02
3.74048e-01  2.02313e-02
3.90210e-01  1.57612e-02
4.01399e-01  1.37962e-02
4.17560e-01  1.10197e-02
4.36830e-01  8.80194e-03
4.60451e-01  6.57767e-03
4.89044e-01  4.91548e-03
5.05828e-01  4.16176e-03
5.30692e-01  3.29665e-03
5.54312e-01  2.69976e-03
5.67366e-01  2.40283e-03
5.79798e-01  2.17445e-03
5.86014e-01  2.08582e-03
5.95960e-01  1.88757e-03
6.14608e-01  1.61149e-03
6.23310e-01  1.54581e-03
6.33877e-01  1.41058e-03
6.44444e-01  1.33075e-03
6.55633e-01  1.20427e-03
6.63092e-01  1.14561e-03
6.82362e-01  9.86225e-04
7.12199e-01  8.28080e-04
7.22766e-01  7.55637e-04
7.50117e-01  6.34468e-04
7.79953e-01  5.37181e-04
7.89899e-01  4.98414e-04
7.99845e-01  4.74137e-04
8.11655e-01  4.32658e-04
8.29681e-01  4.08172e-04
8.40870e-01  3.75577e-04
8.57032e-01  3.51385e-04
8.69464e-01  3.26027e-04
8.78788e-01  3.20645e-04
8.96814e-01  2.97505e-04
9.17949e-01  2.71478e-04
9.39083e-01  2.80668e-04
9.55866e-01  2.87764e-04
9.67677e-01  3.07576e-04
9.77622e-01  3.39880e-04
9.82595e-01  3.81881e-04
9.86946e-01  4.51042e-04
9.87568e-01  4.98414e-04
9.88190e-01  5.69406e-04
9.88190e-01  4.90187e-04
2.34188e-01  9.22699e-01
4.71018e-01  8.63266e-01
4.81585e-01  6.83817e-01
5.07071e-01  4.90187e-01
5.33800e-01  3.60269e-01
5.57420e-01  2.71478e-01
5.67988e-01  2.49799e-01
5.84771e-01  2.04571e-01
5.96581e-01  1.86674e-01
6.08392e-01  1.58050e-01
6.16472e-01  1.50352e-01
6.24553e-01  1.36061e-01
6.40093e-01  1.15198e-01
6.50039e-01  1.04249e-01
6.69308e-01  8.39646e-02
6.79254e-01  7.59841e-02
6.96037e-01  6.17108e-02
7.11577e-01  5.26850e-02
7.27739e-01  4.42367e-02
7.46387e-01  3.53340e-02
7.70008e-01  2.68482e-02
7.87413e-01  2.14450e-02
8.06061e-01  1.72723e-02
8.13520e-01  1.53726e-02
8.34654e-01  1.19760e-02
8.57653e-01  8.87550e-03
8.83761e-01  6.25728e-03
8.90598e-01  5.47714e-03
9.09868e-01  4.19654e-03
9.27894e-01  3.00825e-03
9.45921e-01  2.12083e-03
9.59596e-01  1.65224e-03
9.76379e-01  1.05412e-03
9.80730e-01  9.30411e-04
9.84460e-01  8.07661e-04
9.86946e-01  6.83817e-04
9.88190e-01  5.46197e-04
9.88190e-01  4.90187e-04
