# BaBar   (HNLimits id: babar_2022)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.00000e+02  2.31000e-02
2.00000e+02  1.95000e-02
3.00000e+02  9.67000e-03
4.00000e+02  2.14000e-03
5.00000e+02  5.85000e-04
6.00000e+02  6.22000e-04
7.00000e+02  4.85000e-04
8.00000e+02  3.85000e-04
9.00000e+02  5.38000e-05
1.00000e+03  9.11000e-05
1.10000e+03  4.78000e-05
1.20000e+03  5.04000e-06
1.30000e+03  4.09000e-05
