# BEBC\\(Barouki et al)  (HNLimits id: bebc_barouki)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.45769e-01  9.84034e-03
1.45769e-01  1.48969e-04
1.99588e-01  9.95556e-05
2.35034e-01  7.47533e-05
2.87359e-01  5.15409e-05
3.24493e-01  3.76260e-05
3.61627e-01  2.82422e-05
4.09884e-01  1.95141e-05
4.35895e-01  1.73470e-05
4.73029e-01  1.49625e-05
5.10162e-01  1.28524e-05
5.47296e-01  1.10529e-05
5.84430e-01  9.51668e-06
6.21564e-01  7.87557e-06
6.58698e-01  6.38392e-06
6.95832e-01  5.16868e-06
7.16280e-01  4.64766e-06
7.70100e-01  4.20213e-06
8.07233e-01  3.92812e-06
8.49929e-01  3.59487e-06
8.64816e-01  2.97714e-06
9.18635e-01  2.67429e-06
9.55769e-01  2.49105e-06
9.92903e-01  2.32448e-06
1.01689e+00  2.21548e-06
1.06717e+00  2.15754e-06
1.10430e+00  2.12839e-06
1.14144e+00  2.08108e-06
1.18910e+00  9.84034e-03
1.17857e+00  2.01447e-06
1.20677e+00  8.79719e-03
1.21571e+00  1.94768e-06
1.24946e+00  7.06739e-03
1.25284e+00  1.88422e-06
1.28660e+00  5.68060e-03
1.28997e+00  1.82283e-06
1.32373e+00  4.55053e-03
1.32155e+00  1.77759e-06
1.36087e+00  3.65607e-03
1.35312e+00  2.04811e-06
1.39800e+00  2.94264e-03
1.40138e+00  2.05175e-06
1.43513e+00  2.33643e-03
1.43851e+00  2.06270e-06
1.45002e+00  2.12809e-03
1.47564e+00  2.06606e-06
1.50940e+00  1.61626e-03
1.51278e+00  2.49105e-06
1.54316e+00  1.32390e-03
1.54991e+00  3.01726e-06
1.58367e+00  9.99817e-04
1.59817e+00  3.87807e-06
1.60730e+00  6.76358e-06
1.62080e+00  7.34741e-04
1.61338e+00  1.28023e-05
1.62128e+00  2.70350e-05
1.62812e+00  5.62285e-05
1.63363e+00  1.04035e-04
1.64049e+00  2.11118e-04
1.64781e+00  5.54005e-04

# top
1.45769e-01  9.84034e-03
1.45769e-01  1.48969e-04
1.99588e-01  9.95556e-05
2.35034e-01  7.47533e-05
2.87359e-01  5.15409e-05
3.24493e-01  3.76260e-05
3.61627e-01  2.82422e-05
4.09884e-01  1.95141e-05
4.35895e-01  1.73470e-05
4.73029e-01  1.49625e-05
5.10162e-01  1.28524e-05
5.47296e-01  1.10529e-05
5.84430e-01  9.51668e-06
6.21564e-01  7.87557e-06
6.58698e-01  6.38392e-06
6.95832e-01  5.16868e-06
7.16280e-01  4.64766e-06
7.70100e-01  4.20213e-06
8.07233e-01  3.92812e-06
8.49929e-01  3.59487e-06
8.64816e-01  2.97714e-06
9.18635e-01  2.67429e-06
9.55769e-01  2.49105e-06
9.92903e-01  2.32448e-06
1.01689e+00  2.21548e-06
1.06717e+00  2.15754e-06
1.10430e+00  2.12839e-06
1.14144e+00  2.08108e-06
1.18910e+00  9.84034e-03
1.17857e+00  2.01447e-06
1.20677e+00  8.79719e-03
1.21571e+00  1.94768e-06
1.24946e+00  7.06739e-03
1.25284e+00  1.88422e-06
1.28660e+00  5.68060e-03
1.28997e+00  1.82283e-06
1.32373e+00  4.55053e-03
1.32155e+00  1.77759e-06
1.36087e+00  3.65607e-03
1.35312e+00  2.04811e-06
1.39800e+00  2.94264e-03
1.40138e+00  2.05175e-06
1.43513e+00  2.33643e-03
1.43851e+00  2.06270e-06
1.45002e+00  2.12809e-03
1.47564e+00  2.06606e-06
1.50940e+00  1.61626e-03
1.51278e+00  2.49105e-06
1.54316e+00  1.32390e-03
1.54991e+00  3.01726e-06
1.58367e+00  9.99817e-04
1.59817e+00  3.87807e-06
1.60730e+00  6.76358e-06
1.62080e+00  7.34741e-04
1.61338e+00  1.28023e-05
1.62128e+00  2.70350e-05
1.62812e+00  5.62285e-05
1.63363e+00  1.04035e-04
1.64049e+00  2.11118e-04
1.64781e+00  5.54005e-04
