# Belle  (HNLimits id: belle_2024)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
3.59154e-01  7.95933e-01
3.59154e-01  2.02680e-02
3.83224e-01  1.45833e-02
4.17505e-01  1.03636e-02
4.48869e-01  8.18491e-03
4.63457e-01  7.31921e-03
4.85339e-01  6.83588e-03
5.08680e-01  6.50454e-03
5.80160e-01  5.10534e-03
6.53100e-01  3.83664e-03
7.07075e-01  3.01134e-03
7.69803e-01  2.30557e-03
8.43472e-01  1.83223e-03
8.71189e-01  1.63844e-03
9.19329e-01  1.48346e-03
9.52152e-01  1.38549e-03
9.72575e-01  1.37692e-03
9.92998e-01  1.27012e-03
1.01196e+00  1.25444e-03
1.05354e+00  1.23128e-03
1.07469e+00  1.14997e-03
1.11116e+00  1.10791e-03
1.14909e+00  1.08746e-03
1.19139e+00  1.07403e-03
1.21765e+00  1.05421e-03
1.27965e+00  1.09423e-03
1.34748e+00  1.22366e-03
1.39781e+00  1.42034e-03
1.42334e+00  1.53978e-03
1.44887e+00  1.77621e-03
1.47367e+00  1.94963e-03
1.48607e+00  2.27711e-03
1.52254e+00  3.34667e-03
1.53275e+00  7.36480e-03
1.53056e+00  9.50053e-03
1.51962e+00  1.52313e-02
1.49774e+00  2.05213e-02
1.48461e+00  2.28065e-02
1.47440e+00  2.66372e-02
1.44085e+00  3.39376e-02
1.41896e+00  4.13993e-02
1.38322e+00  5.17718e-02
1.37228e+00  5.71806e-02
1.31539e+00  7.94698e-02
1.25923e+00  1.14641e-01
1.21182e+00  1.55419e-01
1.17462e+00  1.96788e-01
1.13450e+00  2.47626e-01
1.12429e+00  2.76915e-01
1.05718e+00  4.09517e-01
1.04406e+00  4.63679e-01
1.01123e+00  5.62123e-01
9.98833e-01  6.89986e-01
9.79869e-01  7.91005e-01
3.59883e-01  7.95933e-01
1.52837e+00  4.76820e-03
1.37812e+00  1.34313e-03
1.34165e+00  6.80411e-02
1.28403e+00  9.81541e-02
1.23734e+00  1.33897e-01
1.09511e+00  3.27470e-01

# top
3.59154e-01  7.95933e-01
3.59154e-01  2.02680e-02
3.83224e-01  1.45833e-02
4.17505e-01  1.03636e-02
4.48869e-01  8.18491e-03
4.63457e-01  7.31921e-03
4.85339e-01  6.83588e-03
5.08680e-01  6.50454e-03
5.80160e-01  5.10534e-03
6.53100e-01  3.83664e-03
7.07075e-01  3.01134e-03
7.69803e-01  2.30557e-03
8.43472e-01  1.83223e-03
8.71189e-01  1.63844e-03
9.19329e-01  1.48346e-03
9.52152e-01  1.38549e-03
9.72575e-01  1.37692e-03
9.92998e-01  1.27012e-03
1.01196e+00  1.25444e-03
1.05354e+00  1.23128e-03
1.07469e+00  1.14997e-03
1.11116e+00  1.10791e-03
1.14909e+00  1.08746e-03
1.19139e+00  1.07403e-03
1.21765e+00  1.05421e-03
1.27965e+00  1.09423e-03
1.34748e+00  1.22366e-03
1.39781e+00  1.42034e-03
1.42334e+00  1.53978e-03
1.44887e+00  1.77621e-03
1.47367e+00  1.94963e-03
1.48607e+00  2.27711e-03
1.52254e+00  3.34667e-03
1.53275e+00  7.36480e-03
1.53056e+00  9.50053e-03
1.51962e+00  1.52313e-02
1.49774e+00  2.05213e-02
1.48461e+00  2.28065e-02
1.47440e+00  2.66372e-02
1.44085e+00  3.39376e-02
1.41896e+00  4.13993e-02
1.38322e+00  5.17718e-02
1.37228e+00  5.71806e-02
1.31539e+00  7.94698e-02
1.25923e+00  1.14641e-01
1.21182e+00  1.55419e-01
1.17462e+00  1.96788e-01
1.13450e+00  2.47626e-01
1.12429e+00  2.76915e-01
1.05718e+00  4.09517e-01
1.04406e+00  4.63679e-01
1.01123e+00  5.62123e-01
9.98833e-01  6.89986e-01
9.79869e-01  7.91005e-01
3.59883e-01  7.95933e-01
1.52837e+00  4.76820e-03
1.37812e+00  1.34313e-03
1.34165e+00  6.80411e-02
1.28403e+00  9.81541e-02
1.23734e+00  1.33897e-01
1.09511e+00  3.27470e-01
