# Borexino \\(Plestid)  (HNLimits id: borexino_plestid)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
2.77321e+00  9.93154e-01
2.84208e+00  9.15437e-01
3.00694e+00  7.54430e-01
3.17408e+00  6.31622e-01
3.36300e+00  5.23942e-01
3.59016e+00  4.24485e-01
3.81617e+00  3.51774e-01
4.06678e+00  2.90023e-01
4.35708e+00  2.35313e-01
4.65034e+00  1.94956e-01
4.96830e+00  1.61763e-01
5.32583e+00  1.32939e-01
5.70344e+00  1.10967e-01
6.10237e+00  9.33623e-02
6.51801e+00  7.95450e-02
6.95904e+00  6.82241e-02
7.45501e+00  5.90947e-02
7.99732e+00  5.16786e-02
8.56975e+00  4.62757e-02
9.18373e+00  4.24747e-02
9.83081e+00  4.03794e-02
1.05111e+01  4.02401e-02
1.12559e+01  4.28572e-02
1.19720e+01  4.95338e-02
1.25103e+01  5.94316e-02
1.29046e+01  7.13604e-02
1.32030e+01  8.51857e-02
1.34423e+01  1.00388e-01
1.36414e+01  1.15452e-01
1.38433e+01  1.36665e-01
1.40713e+01  1.64467e-01
1.43240e+01  1.99794e-01
1.46004e+01  2.40568e-01
1.48822e+01  2.70500e-01
1.52275e+01  3.01194e-01
1.58787e+01  3.46000e-01
1.65404e+01  4.12580e-01
1.70060e+01  4.94462e-01
1.73652e+01  5.86218e-01
1.75747e+01  6.91181e-01
1.78115e+01  8.32249e-01
1.79825e+01  9.87531e-01
