# CHARM \\(Boiarska et al)  (HNLimits id: charm_2021)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.01207e+00  5.15659e-03
1.10505e+00  2.66654e-03
1.18124e+00  1.63296e-03
1.24368e+00  1.06998e-03
1.32139e+00  6.55242e-04
1.40394e+00  3.81413e-04
1.44711e+00  2.81322e-04
1.47812e+00  2.25805e-04
1.52818e+00  1.50480e-04
1.54677e+00  1.18758e-04
1.57032e+00  8.90874e-05
1.58941e+00  6.68297e-05
1.60357e+00  2.30304e-05
1.60357e+00  2.30304e-05
1.59857e+00  1.53478e-05
1.58878e+00  1.09438e-05
1.57427e+00  8.07192e-06
1.54104e+00  5.47099e-06
1.49939e+00  3.83569e-06
1.42387e+00  2.78169e-06
1.36457e+00  2.34892e-06
1.25332e+00  1.95023e-06
1.17235e+00  1.88538e-06
1.08338e+00  1.95023e-06
1.02890e+00  2.01731e-06
9.95091e-01  1.88538e-06
9.36465e-01  1.82268e-06
8.81316e-01  1.98349e-06
8.09524e-01  2.27081e-06
7.39087e-01  2.73505e-06
6.66645e-01  3.52471e-06
5.86889e-01  5.02743e-06
4.46658e-01  1.09438e-05
3.17989e-01  3.01859e-05
2.49465e-01  6.24588e-05
2.02963e-01  1.12884e-04
1.89853e-01  1.20783e-04
1.75448e-01  1.33681e-04
1.57772e-01  1.72278e-04
1.21908e-01  3.44613e-04
1.00395e-01  6.12387e-04
1.00395e-01  5.15659e-03

# top
1.01207e+00  5.15659e-03
1.10505e+00  2.66654e-03
1.18124e+00  1.63296e-03
1.24368e+00  1.06998e-03
1.32139e+00  6.55242e-04
1.40394e+00  3.81413e-04
1.44711e+00  2.81322e-04
1.47812e+00  2.25805e-04
1.52818e+00  1.50480e-04
1.54677e+00  1.18758e-04
1.57032e+00  8.90874e-05
1.58941e+00  6.68297e-05
1.60357e+00  2.30304e-05
1.60357e+00  2.30304e-05
1.59857e+00  1.53478e-05
1.58878e+00  1.09438e-05
1.57427e+00  8.07192e-06
1.54104e+00  5.47099e-06
1.49939e+00  3.83569e-06
1.42387e+00  2.78169e-06
1.36457e+00  2.34892e-06
1.25332e+00  1.95023e-06
1.17235e+00  1.88538e-06
1.08338e+00  1.95023e-06
1.02890e+00  2.01731e-06
9.95091e-01  1.88538e-06
9.36465e-01  1.82268e-06
8.81316e-01  1.98349e-06
8.09524e-01  2.27081e-06
7.39087e-01  2.73505e-06
6.66645e-01  3.52471e-06
5.86889e-01  5.02743e-06
4.46658e-01  1.09438e-05
3.17989e-01  3.01859e-05
2.49465e-01  6.24588e-05
2.02963e-01  1.12884e-04
1.89853e-01  1.20783e-04
1.75448e-01  1.33681e-04
1.57772e-01  1.72278e-04
1.21908e-01  3.44613e-04
1.00395e-01  6.12387e-04
1.00395e-01  5.15659e-03
