# CHARM \\(Orloff et al)  (HNLimits id: charm)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.00000e+01  6.68675e-01
1.14286e+01  5.13572e-01
1.28571e+01  3.89276e-01
1.46939e+01  2.76224e-01
1.61224e+01  2.09371e-01
1.77551e+01  1.56618e-01
1.95918e+01  1.11134e-01
2.18367e+01  8.31325e-02
2.36735e+01  6.64278e-02
2.65306e+01  4.71360e-02
2.89796e+01  3.47974e-02
3.22449e+01  2.60299e-02
3.51020e+01  2.02577e-02
3.83673e+01  1.53549e-02
4.18367e+01  1.16386e-02
4.61224e+01  8.70619e-03
5.10204e+01  6.34296e-03
5.56141e+01  4.94185e-03
6.00000e+01  3.94447e-03
6.57143e+01  3.02953e-03
7.02041e+01  2.48551e-03
7.59184e+01  1.96003e-03
8.00000e+01  1.67300e-03
8.51020e+01  1.37257e-03
8.97959e+01  1.14106e-03
9.48980e+01  9.61187e-04
9.91837e+01  8.31325e-04
1.02722e+02  7.43544e-04
1.07809e+02  6.36556e-04
1.13262e+02  5.48825e-04
1.18262e+02  4.77020e-04
1.23692e+02  4.12523e-04
1.29611e+02  3.50751e-04
1.33812e+02  3.18633e-04
1.37917e+02  2.88894e-04
1.43613e+02  2.53470e-04
1.47792e+02  2.31346e-04
1.53118e+02  2.05660e-04
1.57767e+02  1.86300e-04
1.63321e+02  1.66397e-04
1.67902e+02  1.55052e-04
1.72898e+02  1.46254e-04
1.77038e+02  1.43127e-04
1.79796e+02  1.40001e-04
1.81904e+02  1.43802e-04
1.87551e+02  1.53549e-04
1.89796e+02  1.57655e-04
1.93469e+02  1.79893e-04
1.96735e+02  1.99922e-04
2.00000e+02  2.22180e-04
2.03673e+02  2.10757e-04
2.11414e+02  1.89753e-04
2.15520e+02  1.78572e-04
2.20930e+02  1.66006e-04
2.25290e+02  1.57674e-04
2.30411e+02  1.48320e-04
2.36075e+02  1.37999e-04
2.40584e+02  1.30090e-04
2.47178e+02  1.19190e-04
2.51880e+02  1.11597e-04
2.56716e+02  1.07400e-04
2.63269e+02  9.99764e-05
2.68002e+02  9.47290e-05
2.72468e+02  9.02311e-05
2.78314e+02  8.40296e-05
2.83524e+02  7.97847e-05
2.87078e+02  7.61646e-05
2.89796e+02  7.43122e-05
