# CMS \\(2024-I)  (HNLimits id: cms_2024_1)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
9.97299e-01  3.51119e-02
9.97299e-01  1.53038e-03
1.11276e+00  1.14320e-03
1.24240e+00  8.16717e-04
1.30790e+00  6.92686e-04
1.43552e+00  4.52624e-04
1.50236e+00  3.65880e-04
1.49899e+00  3.51119e-02
1.60027e+00  1.73161e-02
1.61985e+00  1.30691e-02
1.62458e+00  3.06085e-04
1.70088e+00  3.91872e-03
1.73531e+00  2.69588e-04
1.80081e+00  2.53440e-04
1.80149e+00  1.79822e-03
1.83862e+00  1.50952e-03
1.89602e+00  3.09252e-04
1.89804e+00  1.08958e-03
2.00000e+00  4.98272e-04

# top
9.97299e-01  3.51119e-02
9.97299e-01  1.53038e-03
1.11276e+00  1.14320e-03
1.24240e+00  8.16717e-04
1.30790e+00  6.92686e-04
1.43552e+00  4.52624e-04
1.50236e+00  3.65880e-04
1.49899e+00  3.51119e-02
1.60027e+00  1.73161e-02
1.61985e+00  1.30691e-02
1.62458e+00  3.06085e-04
1.70088e+00  3.91872e-03
1.73531e+00  2.69588e-04
1.80081e+00  2.53440e-04
1.80149e+00  1.79822e-03
1.83862e+00  1.50952e-03
1.89602e+00  3.09252e-04
1.89804e+00  1.08958e-03
2.00000e+00  4.98272e-04
