# CMS \\(2024-II)  (HNLimits id: cms_2024_2)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.00400e+01  7.81185e-04
1.50891e+01  4.89615e-04
2.01167e+01  6.14336e-04
2.51590e+01  4.96195e-04
2.98732e+01  5.59533e-04
3.02333e+01  5.23408e-04
3.98266e+01  5.37570e-04
4.03067e+01  7.70826e-04
5.00087e+01  8.69221e-04
5.98554e+01  1.78720e-03
7.51581e+01  2.28781e-02
7.54589e+01  9.86740e-01
8.47254e+01  9.86740e-01
8.54050e+01  2.85149e-01
1.00200e+02  1.09064e-01
1.26321e+02  1.12015e-01
1.99965e+02  1.98862e-01
2.51088e+02  1.86022e-01
3.01730e+02  2.12587e-01
3.51183e+02  2.52871e-01
4.49862e+02  3.77408e-01
5.05106e+02  4.92894e-01
7.00842e+02  7.96983e-01
9.01364e+02  1.57435e+00
9.92044e+02  2.11173e+00
