# DELPHI \\(long)  (HNLimits id: delphi_long)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
4.28280e-01  1.01030e-02
4.57148e-01  8.14665e-03
4.93168e-01  6.34208e-03
5.97685e-01  3.27993e-03
6.37232e-01  2.65492e-03
7.72281e-01  1.37997e-03
8.36676e-01  1.05154e-03
9.21077e-01  7.61939e-04
1.03367e+00  5.19736e-04
1.19779e+00  3.27092e-04
1.30601e+00  2.44276e-04
1.36155e+00  2.14311e-04
1.50853e+00  1.58447e-04
1.60835e+00  1.29552e-04
1.89988e+00  7.67535e-05
2.06949e+00  6.13527e-05
2.18035e+00  5.71053e-05
2.42362e+00  4.28076e-05
2.66029e+00  3.28337e-05
2.89986e+00  2.66708e-05
3.10100e+00  2.34119e-05
3.22477e+00  2.20156e-05
3.34256e+00  2.11313e-05
3.46967e+00  1.99180e-05
3.65216e+00  1.99180e-05
3.84423e+00  2.15885e-05
3.97329e+00  2.46429e-05
4.05181e+00  2.99406e-05
4.10501e+00  3.56393e-05
4.15892e+00  4.55778e-05
4.21353e+00  7.76618e-05
4.31083e+00  2.44751e-04
4.42615e+00  7.17279e-04
4.51223e+00  1.07071e-03
