# PMNS Unitarity  (HNLimits id: pmns_unitarity)
# Source: mhostert/Heavy-Neutrino-Limits sheet Utau4
# Flavor: Utau
# Format: blank line separates "bottom" and "top" curves.
# mass_GeV  U2
# bottom
1.77700e+00  1.84900e-03
1.78829e+00  1.84900e-03
1.79965e+00  1.84900e-03
1.81108e+00  1.84900e-03
1.82259e+00  1.84900e-03
1.83417e+00  1.84900e-03
1.84582e+00  1.84900e-03
1.85755e+00  1.84900e-03
1.86935e+00  1.84900e-03
1.88122e+00  1.84900e-03
1.89317e+00  1.84900e-03
1.90520e+00  1.84900e-03
1.91730e+00  1.84900e-03
1.92949e+00  1.84900e-03
1.94174e+00  1.84900e-03
1.95408e+00  1.84900e-03
1.96649e+00  1.84900e-03
1.97899e+00  1.84900e-03
1.99156e+00  1.84900e-03
2.00421e+00  1.84900e-03
2.01694e+00  1.84900e-03
2.02976e+00  1.84900e-03
2.04265e+00  1.84900e-03
2.05563e+00  1.84900e-03
2.06869e+00  1.84900e-03
2.08183e+00  1.84900e-03
2.09506e+00  1.84900e-03
2.10837e+00  1.84900e-03
2.12176e+00  1.84900e-03
2.13524e+00  1.84900e-03
2.14880e+00  1.84900e-03
2.16246e+00  1.84900e-03
2.17619e+00  1.84900e-03
2.19002e+00  1.84900e-03
2.20393e+00  1.84900e-03
2.21793e+00  1.84900e-03
2.23202e+00  1.84900e-03
2.24620e+00  1.84900e-03
2.26047e+00  1.84900e-03
2.27483e+00  1.84900e-03
2.28929e+00  1.84900e-03
2.30383e+00  1.84900e-03
2.31847e+00  1.84900e-03
2.33319e+00  1.84900e-03
2.34802e+00  1.84900e-03
2.36293e+00  1.84900e-03
2.37795e+00  1.84900e-03
2.39305e+00  1.84900e-03
2.40825e+00  1.84900e-03
2.42355e+00  1.84900e-03
2.43895e+00  1.84900e-03
2.45445e+00  1.84900e-03
2.47004e+00  1.84900e-03
2.48573e+00  1.84900e-03
2.50152e+00  1.84900e-03
2.51741e+00  1.84900e-03
2.53341e+00  1.84900e-03
2.54950e+00  1.84900e-03
2.56570e+00  1.84900e-03
2.58200e+00  1.84900e-03
2.59840e+00  1.84900e-03
2.61491e+00  1.84900e-03
2.63152e+00  1.84900e-03
2.64824e+00  1.84900e-03
2.66506e+00  1.84900e-03
2.68199e+00  1.84900e-03
2.69903e+00  1.84900e-03
2.71618e+00  1.84900e-03
2.73343e+00  1.84900e-03
2.75080e+00  1.84900e-03
2.76828e+00  1.84900e-03
2.78586e+00  1.84900e-03
2.80356e+00  1.84900e-03
2.82137e+00  1.84900e-03
2.83930e+00  1.84900e-03
2.85733e+00  1.84900e-03
2.87549e+00  1.84900e-03
2.89375e+00  1.84900e-03
2.91214e+00  1.84900e-03
2.93064e+00  1.84900e-03
2.94926e+00  1.84900e-03
2.96799e+00  1.84900e-03
2.98685e+00  1.84900e-03
3.00582e+00  1.84900e-03
3.02492e+00  1.84900e-03
3.04414e+00  1.84900e-03
3.06347e+00  1.84900e-03
3.08294e+00  1.84900e-03
3.10252e+00  1.84900e-03
3.12223e+00  1.84900e-03
3.14207e+00  1.84900e-03
3.16203e+00  1.84900e-03
3.18212e+00  1.84900e-03
3.20233e+00  1.84900e-03
3.22268e+00  1.84900e-03
3.24315e+00  1.84900e-03
3.26375e+00  1.84900e-03
3.28449e+00  1.84900e-03
3.30535e+00  1.84900e-03
3.32635e+00  1.84900e-03
3.34749e+00  1.84900e-03
3.36875e+00  1.84900e-03
3.39015e+00  1.84900e-03
3.41169e+00  1.84900e-03
3.43336e+00  1.84900e-03
3.45518e+00  1.84900e-03
3.47713e+00  1.84900e-03
3.49922e+00  1.84900e-03
3.52145e+00  1.84900e-03
3.54382e+00  1.84900e-03
