# FASER2 HNL |Ue|^2 projection
# Flavor scenario: single-flavor dominance in Ue
# Source: arXiv:1811.12522  -- FASER2 closed polygon
# Pulled from HNLimits bundle (FASER_2018/converted_HNLe_contour_FASER2.txt)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
1.00000e-01  1.48270e-04
1.00000e-01  1.83298e-04
1.00000e-01  2.80135e-04
1.00000e-01  4.28133e-04
1.00000e-01  9.99999e-04
1.27428e-01  9.99999e-04
1.62378e-01  9.99999e-04
2.06914e-01  9.99999e-04
2.63665e-01  9.99999e-04
3.35982e-01  9.99999e-04
4.28133e-01  9.99999e-04
5.45560e-01  9.99999e-04
6.95193e-01  9.99999e-04
8.85867e-01  9.99999e-04
1.12884e+00  9.99999e-04
1.43845e+00  9.99999e-04
1.62378e+00  9.99999e-04
1.72521e+00  9.99999e-04
1.75154e+00  9.99999e-04
1.77828e+00  9.99999e-04
1.79180e+00  9.99999e-04
1.80460e+00  9.99999e-04
1.80468e+00  9.98550e-04
1.80542e+00  9.85606e-04
1.80585e+00  9.73837e-04
1.80735e+00  9.51902e-04
1.80756e+00  9.48360e-04
1.80777e+00  9.44049e-04
1.80863e+00  9.29306e-04
1.80895e+00  9.23549e-04
1.80992e+00  9.07245e-04
1.81013e+00  8.99388e-04
1.81100e+00  8.89731e-04
1.81120e+00  8.85709e-04
1.81163e+00  8.75858e-04
1.81249e+00  8.64683e-04
1.81249e+00  8.63967e-04
1.81318e+00  8.52944e-04
1.81367e+00  8.43982e-04
1.81404e+00  8.38842e-04
1.81442e+00  8.30630e-04
1.81496e+00  8.23948e-04
1.81549e+00  8.14615e-04
1.81582e+00  8.08899e-04
1.81702e+00  7.90966e-04
1.81721e+00  7.84806e-04
1.81850e+00  7.67128e-04
1.81915e+00  7.57341e-04
1.81969e+00  7.47833e-04
1.81958e+00  7.47059e-04
1.81980e+00  7.46131e-04
1.82093e+00  7.30005e-04
1.82109e+00  7.27515e-04
1.82109e+00  7.24808e-04
1.82195e+00  7.12307e-04
1.82217e+00  7.08482e-04
1.82265e+00  7.03729e-04
1.82314e+00  6.95254e-04
1.82357e+00  6.89947e-04
1.82400e+00  6.83546e-04
1.82435e+00  6.78644e-04
1.82476e+00  6.71896e-04
1.82530e+00  6.64011e-04
1.82540e+00  6.62226e-04
1.82606e+00  6.54318e-04
1.82659e+00  6.46372e-04
1.82713e+00  6.37200e-04
1.82757e+00  6.30636e-04
1.82784e+00  6.26665e-04
1.82800e+00  6.20530e-04
1.82822e+00  6.14905e-04
