# DUNE HNL |Umu|^2 projection
# Flavor scenario: single-flavor dominance in Umu
# Source: arXiv:1905.00284  -- DUNE near detector (Ballett et al.)
# Pulled from HNLimits bundle (DUNE_Ballett/Umu4.dat)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
9.97601e-03  6.62423e-06
1.04836e-02  5.57963e-06
1.12649e-02  4.49343e-06
1.21045e-02  3.61868e-06
1.30066e-02  2.91997e-06
1.39760e-02  2.35618e-06
1.50176e-02  1.89749e-06
1.61369e-02  1.53112e-06
1.73395e-02  1.24036e-06
1.86318e-02  1.00482e-06
2.00204e-02  8.17226e-07
2.15125e-02  6.63344e-07
2.31158e-02  5.43769e-07
2.48385e-02  4.47510e-07
2.66895e-02  3.74882e-07
2.86785e-02  3.19031e-07
3.08153e-02  2.88039e-07
3.27876e-02  3.16465e-07
3.35566e-02  4.24771e-07
3.37344e-02  6.39794e-07
3.39312e-02  1.35594e-06
3.54979e-02  1.21210e-06
3.74787e-02  1.02572e-06
4.02720e-02  8.27667e-07
4.32734e-02  6.70496e-07
4.64986e-02  5.39969e-07
4.99641e-02  4.35710e-07
5.36879e-02  3.49509e-07
5.76893e-02  2.80915e-07
6.19890e-02  2.24452e-07
6.66091e-02  1.79338e-07
7.15736e-02  1.42447e-07
7.69082e-02  1.12700e-07
8.26403e-02  8.95166e-08
8.87998e-02  7.05441e-08
9.54183e-02  5.55927e-08
1.02530e-01  4.34662e-08
1.10172e-01  3.41863e-08
1.18384e-01  2.66766e-08
1.27208e-01  2.07755e-08
1.34072e-01  1.73923e-08
1.41060e-01  1.28933e-08
1.46752e-01  7.63470e-09
1.57334e-01  3.75066e-09
1.66328e-01  2.31726e-09
1.77567e-01  1.47726e-09
1.90807e-01  9.71109e-10
2.05032e-01  6.83969e-10
2.20316e-01  5.04070e-10
2.36739e-01  3.80380e-10
2.46689e-01  3.05728e-10
2.56634e-01  2.35279e-10
2.73355e-01  1.79620e-10
2.93730e-01  1.39611e-10
3.15620e-01  1.15578e-10
3.39139e-01  1.01311e-10
3.64403e-01  1.01741e-10
3.78958e-01  1.19841e-10
3.86296e-01  1.74672e-10
3.89040e-01  1.47593e-06
4.28435e-01  1.06911e-06
4.60367e-01  8.40862e-07
4.94680e-01  6.63954e-07
5.31550e-01  5.26336e-07
5.71167e-01  4.22205e-07
6.13736e-01  3.39344e-07
6.59478e-01  2.71672e-07
7.08629e-01  2.18785e-07
7.61443e-01  1.76541e-07
8.18192e-01  1.43017e-07
8.79170e-01  1.16316e-07
9.44692e-01  9.55369e-08
1.01510e+00  7.89353e-08
1.09075e+00  6.57347e-08
1.17203e+00  5.53929e-08
1.25937e+00  4.75135e-08
1.35321e+00  4.18126e-08
1.45404e+00  3.81998e-08
1.56236e+00  3.73914e-08
1.67872e+00  4.11135e-08
1.75721e+00  4.99809e-08
1.82023e+00  7.42980e-08
1.84074e+00  1.18645e-07
1.85623e+00  2.00404e-07

# upper edge
2.54327e-01  9.57908e-01
2.76933e-01  4.91140e-01
2.96615e-01  2.98381e-01
3.18735e-01  1.85250e-01
3.42503e-01  1.16841e-01
3.68042e-01  7.56061e-02
3.86401e-01  5.72364e-02
3.88765e-01  2.58802e-02
4.16766e-01  1.75598e-02
4.47839e-01  1.19131e-02
4.81229e-01  8.16223e-03
5.17107e-01  5.60338e-03
5.55660e-01  3.86953e-03
5.97088e-01  2.66693e-03
6.41604e-01  1.83446e-03
6.89440e-01  1.25193e-03
7.40842e-01  8.57761e-04
7.96078e-01  5.84229e-04
8.55434e-01  3.90158e-04
9.16227e-01  2.44626e-04
9.81342e-01  1.51874e-04
1.05452e+00  9.61681e-05
1.13316e+00  6.01786e-05
1.21766e+00  3.79557e-05
1.30846e+00  2.39394e-05
1.40603e+00  1.52786e-05
1.51088e+00  9.48574e-06
1.62355e+00  5.88923e-06
1.72761e+00  3.69604e-06
1.79377e+00  2.55586e-06
1.84521e+00  1.57110e-06
1.85623e+00  2.00404e-07
