# FASER2 HNL |Umu|^2 projection
# Flavor scenario: single-flavor dominance in Umu
# Source: arXiv:1811.12522  -- FASER2 closed polygon
# Pulled from HNLimits bundle (FASER_2018/converted_HNLmu_contour_FASER2.txt)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
1.00000e-01  1.64856e-04
1.00000e-01  1.83298e-04
1.00000e-01  2.80135e-04
1.00000e-01  4.28133e-04
1.00000e-01  9.99999e-04
1.27428e-01  9.99999e-04
1.62378e-01  9.99999e-04
2.06914e-01  9.99999e-04
2.63665e-01  9.99999e-04
3.35982e-01  9.99999e-04
4.28133e-01  9.99999e-04
5.45560e-01  9.99999e-04
6.95193e-01  9.99999e-04
8.85867e-01  9.99999e-04
1.12884e+00  9.99999e-04
1.27427e+00  9.99999e-04
1.35388e+00  9.99999e-04
1.43845e+00  9.99999e-04
1.46041e+00  9.99999e-04
1.48270e+00  9.99999e-04
1.48832e+00  9.99999e-04
1.49062e+00  9.99999e-04
1.49123e+00  9.93599e-04
1.49335e+00  9.75250e-04
1.49344e+00  9.73837e-04
1.49362e+00  9.73037e-04
1.49397e+00  9.69912e-04
1.49592e+00  9.52691e-04
1.49645e+00  9.48360e-04
1.49733e+00  9.40926e-04
1.49831e+00  9.32970e-04
1.49928e+00  9.23549e-04
1.50075e+00  9.13751e-04
1.50159e+00  9.07245e-04
1.50257e+00  8.99388e-04
1.50322e+00  8.94975e-04
1.50533e+00  8.79130e-04
1.50571e+00  8.76630e-04
1.50569e+00  8.75858e-04
1.50586e+00  8.74771e-04
1.50823e+00  8.58705e-04
1.50908e+00  8.52944e-04
1.51050e+00  8.42760e-04
1.51077e+00  8.41190e-04
1.51211e+00  8.30630e-04
1.51337e+00  8.24118e-04
1.51543e+00  8.11416e-04
1.51570e+00  8.08899e-04
1.51677e+00  8.03223e-04
1.51875e+00  7.91334e-04
1.52055e+00  7.80914e-04
1.52289e+00  7.67128e-04
1.52415e+00  7.59855e-04
1.52650e+00  7.47059e-04
1.52831e+00  7.38751e-04
1.52994e+00  7.30232e-04
1.53052e+00  7.27515e-04
1.53166e+00  7.21961e-04
1.53284e+00  7.15856e-04
1.53411e+00  7.10254e-04
1.53447e+00  7.08482e-04
