# FCCee HNL |Umu|^2 projection
# Flavor scenario: single-flavor dominance in Umu
# Source: arXiv:1805.08567  -- FCC-ee bonus
# Pulled from HNLimits bundle (1805.08567/FCCee_lower.dat)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
1.00167e+00  7.46413e-07
1.07722e+00  3.78145e-07
1.16786e+00  2.47301e-07
1.32902e+00  1.61803e-07
1.58754e+00  1.05911e-07
1.80661e+00  7.54492e-08
1.99054e+00  6.37002e-08
2.30212e+00  4.53856e-08
2.66248e+00  2.84622e-08
3.07924e+00  1.86249e-08
3.61925e+00  1.07290e-08
4.32327e+00  6.18139e-09
5.42073e+00  2.76029e-09
6.90750e+00  1.34227e-09
9.09116e+00  5.74680e-10
1.06855e+01  3.45434e-10
1.19651e+01  2.35797e-10
1.38381e+01  1.47873e-10
1.58754e+01  1.00962e-10
1.67991e+01  9.27753e-11
1.67991e+01  7.18750e-11
1.79207e+01  7.83049e-11
1.83604e+01  5.81508e-11
1.99054e+01  6.33624e-11
2.02296e+01  5.12292e-11
2.12344e+01  4.91175e-11
2.17554e+01  3.64757e-11
2.32079e+01  3.97387e-11
2.37773e+01  2.95108e-11
2.53649e+01  3.08117e-11
2.59872e+01  2.28814e-11
2.79472e+01  2.60137e-11
2.84025e+01  1.85123e-11
3.07924e+01  1.85261e-11
3.20618e+01  1.43580e-11
3.56124e+01  1.56482e-11
3.76845e+01  1.21294e-11
4.61193e+01  1.21520e-11
4.91986e+01  1.50413e-11
5.50903e+01  1.50571e-11
6.02104e+01  2.30597e-11
6.11912e+01  4.55545e-11

# upper edge
1.67991e+01  7.34202e-07
1.85093e+01  3.41697e-07
2.07259e+01  1.65961e-07
2.59872e+01  3.59574e-08
3.28484e+01  7.15565e-09
3.95563e+01  2.00043e-09
4.32327e+01  1.01360e-09
4.88027e+01  4.33349e-10
5.29092e+01  2.10414e-10
5.46470e+01  1.70147e-10
5.68997e+01  9.38268e-11
6.02104e+01  5.63436e-11
6.11912e+01  4.55545e-11
