# MATHUSLA HNL |Umu|^2 projection
# Flavor scenario: single-flavor dominance in Umu
# Source: arXiv:1805.08567  -- Bondarenko digitization of MATHUSLA paper
# Pulled from HNLimits bundle (1805.08567/mathusla_lower.dat)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
5.04056e-01  8.16196e-09
7.79745e-01  3.49969e-09
1.24584e+00  9.40073e-10
1.39503e+00  7.60741e-10
1.56209e+00  6.70291e-10
1.72112e+00  7.00048e-10
1.86595e+00  9.84596e-10
1.97452e+00  1.94579e-09
2.32079e+00  1.94870e-09
2.53649e+00  2.12350e-09
2.79472e+00  2.98709e-09
3.02989e+00  4.77316e-09
3.18038e+00  5.90716e-09
3.50416e+00  5.20404e-09
3.73813e+00  4.99027e-09
3.95563e+00  5.67255e-09
4.02007e+00  6.72583e-09
4.05268e+00  9.86416e-09

# upper edge
1.74916e+00  9.58189e-05
1.86595e+00  5.28506e-05
1.92724e+00  2.91420e-05
1.97452e+00  1.74947e-05
2.19319e+00  7.80350e-06
2.41647e+00  3.63174e-06
2.61980e+00  1.76340e-06
2.79472e+00  8.56097e-07
3.02989e+00  3.50636e-07
3.33835e+00  1.31918e-07
3.67821e+00  4.96306e-08
3.92380e+00  2.12077e-08
4.02007e+00  1.32849e-08
4.05268e+00  9.86416e-09
