# SHiP_TP_optimistic HNL |Umu|^2 projection
# Flavor scenario: single-flavor dominance in Umu
# Source: arXiv:1811.00930  -- SHiP TP optimistic
# Pulled from HNLimits bundle (1811.00930/Umu4_optimistic.dat)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
1.02181e-01  4.87206e-07
1.11274e-01  4.21250e-07
1.20432e-01  3.26341e-07
1.28556e-01  1.63012e-07
1.40061e-01  1.08331e-07
1.52212e-01  8.54519e-08
1.68293e-01  6.16005e-08
1.84550e-01  3.72145e-08
2.01065e-01  2.61777e-08
2.21118e-01  1.82581e-08
2.40905e-01  1.23818e-08
2.64448e-01  9.15511e-09
2.88937e-01  7.09562e-09
3.17572e-01  5.46717e-09
3.51925e-01  4.27612e-09
3.88395e-01  3.40861e-09
4.30409e-01  2.79331e-09
4.80904e-01  2.30530e-09
5.26397e-01  1.99477e-09
5.76193e-01  1.70856e-09
6.30701e-01  1.39781e-09
6.90364e-01  1.12050e-09
7.49488e-01  5.84063e-02
7.55672e-01  8.89095e-10
8.20389e-01  3.78939e-02
8.27158e-01  7.05482e-10
8.97997e-01  2.26027e-02
9.20047e-01  5.16623e-10
9.82946e-01  1.31427e-02
1.00924e+00  3.77010e-10
1.07152e+00  7.29548e-03
1.08481e+00  2.97436e-10
1.16808e+00  4.02298e-03
1.18743e+00  2.15653e-10
1.27858e+00  2.51222e-03
1.29976e+00  1.73753e-10
1.39953e+00  1.59297e-03
1.42272e+00  1.46565e-10
1.53192e+00  9.30989e-04
1.55730e+00  1.31093e-10
1.67684e+00  5.39960e-04
1.70462e+00  1.41949e-10
1.80555e+00  3.31796e-04
1.82045e+00  2.28230e-10
1.85976e+00  4.70440e-10
1.86492e+00  8.63514e-09
1.92823e+00  1.39312e-04
1.98635e+00  8.15676e-09
2.11064e+00  7.85657e-05
2.11064e+00  8.19268e-09
2.31030e+00  4.54510e-05
2.31030e+00  8.21821e-09
2.51848e+00  2.48533e-05
2.52885e+00  8.94421e-09
2.74543e+00  1.34936e-05
2.76808e+00  1.19355e-08
2.92478e+00  1.62791e-08
2.99282e+00  7.51705e-06
3.08914e+00  1.77485e-08
3.26251e+00  4.19403e-06
3.27649e+00  1.77550e-08
3.56400e+00  1.45319e-08
3.62447e+00  2.77166e-06
3.78015e+00  1.25943e-08
4.00940e+00  1.15598e-08
4.18162e+00  1.04581e-06
4.21694e+00  1.03096e-08
4.39807e+00  9.46181e-09
4.54856e+00  5.56590e-07
4.66480e+00  9.19755e-09
4.84475e+00  3.51827e-07
4.86517e+00  9.19996e-09
5.05285e+00  2.49408e-07
5.11700e+00  9.74641e-09
5.29209e+00  1.06248e-08
5.33679e+00  1.40552e-07
5.33679e+00  1.53186e-07
5.47318e+00  1.19194e-08
5.54267e+00  9.68157e-08
5.66045e+00  1.63462e-08
5.68431e+00  6.66838e-08
5.73232e+00  2.11641e-08
5.75648e+00  4.21383e-08
5.78074e+00  2.90198e-08
