# SHiP HNL |Umu|^2 projection
# Flavor scenario: single-flavor dominance in Umu
# Source: arXiv:1811.00930  -- Current SHiP
# Pulled from HNLimits bundle (SHiP/Umu4.dat)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
5.64444e-01  1.81393e-09
6.20741e-01  1.47266e-09
6.71111e-01  1.20753e-09
7.19170e-01  9.97654e-10
7.57261e-01  8.88851e-10
7.79998e-01  7.91866e-10
8.15394e-01  7.31577e-10
8.38131e-01  6.50625e-10
8.73528e-01  6.02131e-10
8.95139e-01  5.38323e-10
9.32326e-01  4.82231e-10
9.70417e-01  4.34501e-10
9.93154e-01  3.85920e-10
1.02691e+00  3.57973e-10
1.05025e+00  3.17497e-10
1.08735e+00  2.83291e-10
1.12544e+00  2.55173e-10
1.14818e+00  2.27625e-10
1.18377e+00  2.13885e-10
1.21134e+00  1.96653e-10
1.25308e+00  1.88028e-10
1.29571e+00  1.75071e-10
1.33834e+00  1.63971e-10
1.38097e+00  1.54485e-10
1.42360e+00  1.46581e-10
1.46623e+00  1.39657e-10
1.50886e+00  1.34243e-10
1.55149e+00  1.30803e-10
1.59413e+00  1.27526e-10
1.63676e+00  1.27000e-10
1.67939e+00  1.31966e-10
1.71814e+00  1.37414e-10
1.78045e+00  1.69889e-10
1.80728e+00  1.74590e-10
1.84216e+00  2.83021e-10
1.85766e+00  3.99702e-10
1.86541e+00  6.88274e-10
1.86541e+00  2.97930e-10
1.86735e+00  9.70254e-10
1.86929e+00  1.68570e-09
1.87123e+00  5.78609e-09
1.97185e+00  8.19961e-09
2.02625e+00  8.18842e-09
2.18902e+00  8.00449e-09
2.29173e+00  8.07566e-09
2.45450e+00  8.48103e-09
2.55527e+00  8.93306e-09
2.67704e+00  1.00997e-08
2.80148e+00  1.20753e-08
2.95057e+00  1.55908e-08
2.99321e+00  1.65697e-08
3.03584e+00  1.74632e-08
3.07847e+00  1.80180e-08
3.12110e+00  1.82642e-08
3.16373e+00  1.81460e-08
3.20636e+00  1.82104e-08
3.24899e+00  1.80180e-08
3.29162e+00  1.73912e-08
3.33425e+00  1.66089e-08
3.37689e+00  1.62023e-08
3.41952e+00  1.58992e-08
3.46215e+00  1.56018e-08
3.50478e+00  1.52109e-08
3.54741e+00  1.47165e-08
3.59004e+00  1.42214e-08
3.63267e+00  1.37835e-08
3.67530e+00  1.33512e-08
3.71794e+00  1.29477e-08
3.76057e+00  1.25491e-08
3.80320e+00  1.22275e-08
3.84583e+00  1.19704e-08
3.88846e+00  1.17188e-08
3.93109e+00  1.14522e-08
3.97372e+00  1.12049e-08
4.01635e+00  1.09888e-08
4.05899e+00  1.07515e-08
4.10162e+00  1.05628e-08
4.14425e+00  1.03653e-08
4.18688e+00  1.01774e-08
4.22951e+00  9.99290e-09
4.27214e+00  9.82335e-09
4.31477e+00  9.67950e-09
4.35740e+00  9.53213e-09
4.40004e+00  9.40363e-09
4.44267e+00  9.27140e-09
4.48530e+00  9.15722e-09
4.52793e+00  9.06047e-09
4.57056e+00  8.99654e-09
4.61319e+00  8.99654e-09
4.65582e+00  8.98593e-09
4.69845e+00  8.98063e-09
4.74109e+00  8.99654e-09
4.78372e+00  9.01248e-09
4.82635e+00  9.07652e-09
4.86898e+00  9.11409e-09
4.91161e+00  9.20055e-09
4.95424e+00  9.29331e-09
4.99687e+00  9.39254e-09
5.03950e+00  9.52089e-09
5.08214e+00  9.65668e-09
5.12477e+00  9.84076e-09
5.16740e+00  1.00402e-08
5.21003e+00  1.02195e-08
5.25266e+00  1.04020e-08
5.29529e+00  1.06505e-08
5.33792e+00  1.09048e-08
5.38055e+00  1.11917e-08
5.42319e+00  1.16156e-08
5.46582e+00  1.21340e-08
5.50845e+00  1.26831e-08
5.55108e+00  1.34302e-08
