# FASER2 HNL |Utau|^2 projection
# Flavor scenario: single-flavor dominance in Utau
# Source: arXiv:1811.12522  -- FASER2 closed polygon
# Pulled from HNLimits bundle (FASER_2018/converted_HNLtau_contour_FASER2.txt)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
1.00000e-01  4.83293e-04
1.00000e-01  7.84760e-04
1.00000e-01  2.06914e-03
1.00000e-01  5.45559e-03
1.00000e-01  1.43845e-02
1.00000e-01  3.79269e-02
1.00000e-01  9.99999e-02
1.27428e-01  9.99999e-02
1.62378e-01  9.99999e-02
2.06914e-01  9.99999e-02
2.63665e-01  9.99999e-02
3.35982e-01  9.99999e-02
4.28133e-01  9.99999e-02
5.45560e-01  9.99999e-02
6.95193e-01  9.99999e-02
8.85867e-01  9.99999e-02
9.41205e-01  9.99999e-02
1.00000e+00  9.99999e-02
1.01526e+00  9.99999e-02
1.03076e+00  9.99999e-02
1.04649e+00  9.99999e-02
1.05445e+00  9.99999e-02
1.05845e+00  9.99999e-02
1.06046e+00  9.99999e-02
1.06200e+00  9.99999e-02
1.06209e+00  9.98580e-02
1.06247e+00  9.96691e-02
1.06310e+00  9.92453e-02
1.06360e+00  9.89170e-02
1.06426e+00  9.85781e-02
1.06423e+00  9.84965e-02
1.06436e+00  9.84498e-02
1.06448e+00  9.84265e-02
1.06511e+00  9.79849e-02
1.06562e+00  9.77532e-02
1.06650e+00  9.72225e-02
1.06663e+00  9.70616e-02
1.06675e+00  9.70156e-02
1.06738e+00  9.66947e-02
1.06814e+00  9.61469e-02
1.06928e+00  9.55571e-02
1.07055e+00  9.48809e-02
1.07137e+00  9.44105e-02
1.07181e+00  9.41204e-02
1.07442e+00  9.27712e-02
1.07435e+00  9.27054e-02
1.07448e+00  9.26615e-02
1.07461e+00  9.26615e-02
1.07722e+00  9.13116e-02
1.07779e+00  9.10095e-02
1.07869e+00  9.05797e-02
1.07996e+00  8.99388e-02
1.08111e+00  8.93870e-02
1.08278e+00  8.86285e-02
1.08284e+00  8.85866e-02
1.08445e+00  8.77934e-02
1.08560e+00  8.72547e-02
1.08689e+00  8.67708e-02
1.08798e+00  8.62894e-02
1.08869e+00  8.59429e-02
1.09101e+00  8.49921e-02
1.09140e+00  8.47711e-02
1.09466e+00  8.35263e-02
1.09489e+00  8.33781e-02
1.09502e+00  8.33387e-02
1.09515e+00  8.33190e-02
1.09828e+00  8.21246e-02
1.09866e+00  8.19304e-02
1.09931e+00  8.17464e-02
1.10152e+00  8.08899e-02
1.10247e+00  8.05937e-02
1.10348e+00  8.02226e-02
1.10508e+00  7.96738e-02
1.10622e+00  7.92600e-02
1.10766e+00  7.87923e-02
1.10845e+00  7.84759e-02
1.11009e+00  7.79760e-02
1.11187e+00  7.74059e-02
1.11213e+00  7.72961e-02
1.11404e+00  7.67310e-02
1.11562e+00  7.62602e-02
1.11582e+00  7.61340e-02
1.11609e+00  7.60979e-02
1.11807e+00  7.55237e-02
1.11986e+00  7.49894e-02
1.12032e+00  7.48652e-02
1.12204e+00  7.43179e-02
1.12324e+00  7.38619e-02
1.12457e+00  7.33089e-02
1.12539e+00  7.29627e-02
1.12590e+00  7.27515e-02
1.12810e+00  7.18445e-02
1.12857e+00  7.16577e-02
1.12864e+00  7.16068e-02
1.12884e+00  7.15391e-02
1.13191e+00  7.02803e-02
1.13393e+00  6.95192e-02
1.13529e+00  6.89987e-02
1.13742e+00  6.81668e-02
1.13857e+00  6.77165e-02
1.13931e+00  6.74446e-02
1.14187e+00  6.64620e-02
1.14268e+00  6.62108e-02
1.14471e+00  6.54318e-02
1.14532e+00  6.52617e-02
1.14607e+00  6.50035e-02
1.14743e+00  6.44481e-02
1.14865e+00  6.40527e-02
1.15043e+00  6.34792e-02
1.15192e+00  6.28512e-02
1.15396e+00  6.15848e-02
1.15478e+00  6.11210e-02
1.15649e+00  6.01015e-02
1.15711e+00  5.97469e-02
1.15848e+00  5.89881e-02
1.15875e+00  5.87651e-02
1.15916e+00  5.86331e-02
1.16040e+00  5.79639e-02
1.16122e+00  5.74993e-02
1.16205e+00  5.70924e-02
1.16356e+00  5.63473e-02
1.16370e+00  5.62607e-02
1.16370e+00  5.62341e-02
1.16391e+00  5.61676e-02
1.16618e+00  5.50488e-02
1.16715e+00  5.45559e-02
1.16798e+00  5.42485e-02
1.16867e+00  5.38630e-02
1.16978e+00  5.34060e-02
1.17088e+00  5.29278e-02
1.17137e+00  5.27402e-02
1.17241e+00  5.22927e-02
1.17394e+00  5.16164e-02
1.17470e+00  5.13483e-02
1.17644e+00  5.06482e-02
1.17672e+00  5.05524e-02
1.17686e+00  5.04926e-02
1.17860e+00  4.98159e-02
1.17944e+00  4.94986e-02
1.18048e+00  4.90670e-02
1.18132e+00  4.88121e-02
1.18223e+00  4.84782e-02
1.18272e+00  4.83293e-02
1.18370e+00  4.79873e-02
1.18391e+00  4.79079e-02
1.18482e+00  4.76027e-02
1.18510e+00  4.74901e-02
1.18580e+00  4.72658e-02
1.18696e+00  4.68870e-02
1.18806e+00  4.65346e-02
1.19030e+00  4.58119e-02
1.19115e+00  4.54877e-02
1.19242e+00  4.51659e-02
1.19404e+00  4.46874e-02
1.19599e+00  4.41303e-02
1.19716e+00  4.38076e-02
1.19935e+00  4.32001e-02
1.20028e+00  4.29452e-02
1.20077e+00  4.28133e-02
1.20255e+00  4.23597e-02
1.20348e+00  4.21098e-02
1.20576e+00  4.15356e-02
1.20678e+00  4.13028e-02
1.20847e+00  4.08918e-02
1.21005e+00  4.05065e-02
1.21105e+00  4.02961e-02
1.21349e+00  3.97467e-02
1.21493e+00  3.94467e-02
1.21658e+00  3.90935e-02
1.21766e+00  3.88537e-02
1.22040e+00  3.82695e-02
1.22232e+00  3.79269e-02
1.22692e+00  3.70572e-02
1.22779e+00  3.69002e-02
1.22837e+00  3.67950e-02
1.23136e+00  3.62676e-02
1.23464e+00  3.56970e-02
1.23522e+00  3.55789e-02
1.23625e+00  3.54444e-02
1.24123e+00  3.46317e-02
1.24314e+00  3.43541e-02
1.24565e+00  3.39901e-02
1.24830e+00  3.35982e-02
1.25130e+00  3.31911e-02
1.25512e+00  3.26727e-02
1.25579e+00  3.25955e-02
1.25854e+00  3.22425e-02
1.25943e+00  3.20599e-02
1.26137e+00  3.16227e-02
1.26234e+00  3.13916e-02
1.26466e+00  3.08977e-02
1.26533e+00  3.07445e-02
1.26556e+00  3.06790e-02
1.26661e+00  3.04908e-02
1.26841e+00  3.01178e-02
1.26946e+00  2.99401e-02
1.27036e+00  2.97635e-02
1.27134e+00  2.95879e-02
1.27164e+00  2.95179e-02
1.27277e+00  2.93160e-02
1.27427e+00  2.90707e-02
1.27503e+00  2.89437e-02
1.27518e+00  2.88753e-02
1.27673e+00  2.86608e-02
1.27684e+00  2.86438e-02
1.27805e+00  2.84411e-02
1.27835e+00  2.83739e-02
1.27911e+00  2.82867e-02
1.28062e+00  2.80135e-02
1.28199e+00  2.78417e-02
1.28366e+00  2.75924e-02
1.28396e+00  2.75728e-02
1.28564e+00  2.73194e-02
1.28670e+00  2.71775e-02
1.28884e+00  2.69087e-02
1.28948e+00  2.68229e-02
1.28975e+00  2.67689e-02
1.29143e+00  2.65795e-02
1.29204e+00  2.65041e-02
1.29319e+00  2.63665e-02
1.29327e+00  2.63291e-02
1.29373e+00  2.62979e-02
1.29533e+00  2.60995e-02
1.29648e+00  2.59701e-02
1.29725e+00  2.58597e-02
1.29817e+00  2.57741e-02
1.29863e+00  2.57284e-02
1.29940e+00  2.56403e-02
1.29994e+00  2.55796e-02
1.30110e+00  2.54468e-02
1.30144e+00  2.54137e-02
1.30341e+00  2.52070e-02
1.30325e+00  2.51951e-02
1.30356e+00  2.51831e-02
1.30512e+00  2.49355e-02
1.30557e+00  2.48163e-02
1.30681e+00  2.45708e-02
1.30773e+00  2.43854e-02
1.30851e+00  2.42243e-02
1.30928e+00  2.40757e-02
1.30976e+00  2.39840e-02
1.31041e+00  2.38516e-02
1.31114e+00  2.37137e-02
1.31176e+00  2.35906e-02
1.31270e+00  2.34125e-02
1.31301e+00  2.33572e-02
1.31301e+00  2.33240e-02
1.31347e+00  2.32744e-02
1.31487e+00  2.30060e-02
1.31581e+00  2.28216e-02
1.31690e+00  2.26602e-02
1.31846e+00  2.23936e-02
1.31877e+00  2.23408e-02
1.31916e+00  2.22720e-02
1.32064e+00  2.19839e-02
1.32346e+00  2.15767e-02
1.32456e+00  2.13986e-02
1.32503e+00  2.13278e-02
1.32629e+00  2.11466e-02
1.32758e+00  2.09501e-02
1.32848e+00  2.08191e-02
1.32927e+00  2.06914e-02
1.33053e+00  2.05061e-02
1.33352e+00  2.01214e-02
1.33368e+00  2.00834e-02
1.33384e+00  2.00739e-02
1.33417e+00  2.00347e-02
1.33613e+00  1.97721e-02
1.33684e+00  1.96694e-02
1.33842e+00  1.94840e-02
1.33826e+00  1.94748e-02
1.33842e+00  1.94656e-02
1.33858e+00  1.94656e-02
1.33953e+00  1.93279e-02
1.34017e+00  1.92733e-02
1.34080e+00  1.91820e-02
1.34179e+00  1.90756e-02
1.34310e+00  1.89250e-02
1.34334e+00  1.88936e-02
1.34342e+00  1.88802e-02
1.34366e+00  1.88601e-02
1.34573e+00  1.86096e-02
1.34668e+00  1.84954e-02
1.34796e+00  1.83732e-02
1.34828e+00  1.83298e-02
1.34876e+00  1.82865e-02
1.35020e+00  1.81313e-02
1.35084e+00  1.80542e-02
1.35332e+00  1.78123e-02
1.35356e+00  1.77828e-02
1.35372e+00  1.77744e-02
1.35388e+00  1.77575e-02
1.35612e+00  1.75154e-02
1.35725e+00  1.74245e-02
1.35901e+00  1.72562e-02
1.35905e+00  1.72521e-02
1.35917e+00  1.72439e-02
1.36078e+00  1.70814e-02
1.36175e+00  1.69927e-02
1.36417e+00  1.67888e-02
1.36453e+00  1.67551e-02
1.36449e+00  1.67372e-02
1.36550e+00  1.66720e-02
1.36821e+00  1.64311e-02
1.36935e+00  1.63477e-02
1.37068e+00  1.62378e-02
1.37210e+00  1.61229e-02
1.37357e+00  1.59936e-02
1.37454e+00  1.59256e-02
1.37593e+00  1.58167e-02
1.37682e+00  1.57532e-02
1.37976e+00  1.55384e-02
1.37992e+00  1.55237e-02
1.38057e+00  1.54797e-02
1.38335e+00  1.52831e-02
1.38385e+00  1.52325e-02
1.38499e+00  1.51695e-02
1.38663e+00  1.50533e-02
1.38803e+00  1.49574e-02
1.38992e+00  1.48270e-02
1.39226e+00  1.46890e-02
1.39552e+00  1.44870e-02
1.39653e+00  1.44263e-02
1.39718e+00  1.43845e-02
1.40082e+00  1.41716e-02
1.40086e+00  1.41699e-02
1.40098e+00  1.41615e-02
1.40447e+00  1.39552e-02
1.40522e+00  1.39189e-02
1.40613e+00  1.38696e-02
1.40963e+00  1.36740e-02
1.41247e+00  1.35388e-02
1.41364e+00  1.34175e-02
1.41682e+00  1.31503e-02
1.41691e+00  1.31378e-02
1.41699e+00  1.31347e-02
1.41718e+00  1.31215e-02
1.42022e+00  1.28655e-02
1.42169e+00  1.27427e-02
1.42220e+00  1.27081e-02
1.42359e+00  1.26003e-02
1.42599e+00  1.24182e-02
1.42658e+00  1.23625e-02
1.42700e+00  1.23420e-02
1.42760e+00  1.22983e-02
1.42929e+00  1.21766e-02
1.43047e+00  1.20904e-02
1.43200e+00  1.19935e-02
1.43301e+00  1.19284e-02
1.43412e+00  1.18496e-02
1.43658e+00  1.16964e-02
1.43743e+00  1.16356e-02
1.43785e+00  1.16163e-02
1.43845e+00  1.15834e-02
1.44050e+00  1.14607e-02
1.44169e+00  1.13904e-02
1.44293e+00  1.13191e-02
1.44340e+00  1.12884e-02
1.44391e+00  1.12617e-02
1.44545e+00  1.11661e-02
1.44630e+00  1.11187e-02
1.44939e+00  1.09671e-02
1.44956e+00  1.09567e-02
1.44956e+00  1.09515e-02
1.45009e+00  1.09301e-02
1.45153e+00  1.08509e-02
1.45291e+00  1.07868e-02
1.45360e+00  1.07486e-02
1.45489e+00  1.06903e-02
1.45566e+00  1.06473e-02
1.45627e+00  1.06247e-02
1.45782e+00  1.05495e-02
1.46041e+00  1.04303e-02
1.46214e+00  1.03566e-02
1.46326e+00  1.03076e-02
1.46595e+00  1.01924e-02
1.46647e+00  1.01671e-02
1.46890e+00  1.00713e-02
1.47047e+00  9.99999e-03
1.47151e+00  9.92689e-03
1.47343e+00  9.75222e-03
